#       r                g_cl(r)        g_cl-cl(r)         g_11(r)
        75.50000         0.00000         0.00000         0.11452
        76.00000         0.00000         0.00000         0.10541
        76.50000         0.00000         0.00000         0.09483
        77.00000         0.00000         0.00000         0.08475
        77.50000         0.00000         0.00000         0.07764
        78.00000         0.00000         0.00000         0.06951
        78.50000         0.00000         0.00000         0.06217
        79.00000         0.00000         0.00000         0.05509
        79.50000         0.00000         0.00000         0.04974
        80.00000         0.00000         0.00000         0.04446
        80.50000         0.00000         0.00000         0.03911
        81.00000         0.00000         0.00000         0.03486
        81.50000         0.00000         0.00000         0.03041
        82.00000         0.00000         0.00000         0.02672
        82.50000         0.00000         0.00000         0.02366
        83.00000         0.00000         0.00000         0.02016
        83.50000         0.00000         0.00000         0.01739
        84.00000         0.00000         0.00000         0.01571
        84.50000         0.00000         0.00000         0.01319
        85.00000         0.00000         0.00000         0.01148
        85.50000         0.00000         0.00000         0.00980
        86.00000         0.00000         0.00000         0.00816
        86.50000         0.00000         0.00000         0.00692
        87.00000         0.00000         0.00000         0.00597
        87.50000         0.00000         0.00000         0.00536
        88.00000         0.00000         0.00000         0.00424
        88.50000         0.00000         0.00000         0.00410
        89.00000         0.00000         0.00000         0.00333
        89.50000         0.00000         0.00000         0.00300
        90.00000         0.00000         0.00000         0.00267
        90.50000         0.00000         0.00000         0.00242
        91.00000         0.00000         0.00000         0.00232
        91.50000         0.00000         0.00000         0.00224
        92.00000         0.00000         0.00000         0.00218
        92.50000         0.00000         0.00000         0.00236
        93.00000         0.00000         0.00000         0.00245
        93.50000         0.00000         0.00000         0.00266
        94.00000         0.00000         0.00000         0.00290
        94.50000         0.00000         0.00000         0.00323
        95.00000         0.00000         0.00000         0.00382
        95.50000         0.00000         0.00000         0.00393
        96.00000         0.00000         0.00000         0.00469
        96.50000         0.00000         0.00000         0.00490
        97.00000         0.00000         0.00000         0.00560
        97.50000         0.00000         0.00000         0.00642
        98.00000         0.00000         0.00000         0.00722
        98.50000         0.00000         0.00000         0.00793
        99.00000         0.00000         0.00000         0.00896
        99.50000         0.00000         0.00000         0.00972
       100.00000         0.00000         0.00000         0.01080
       100.50000         0.00000         0.00000         0.01197
       101.00000         0.00000         0.00000         0.01284
       101.50000         0.00000         0.00000         0.01440
       102.00000         0.00000         0.00000         0.01582
       102.50000         0.00000         0.00000         0.01750
       103.00000         0.00000         0.00000         0.01916
       103.50000         0.00000         0.00000         0.02039
       104.00000         0.00000         0.00000         0.02253
       104.50000         0.00000         0.00000         0.02372
       105.00000         0.00000         0.00000         0.02612
       105.50000         0.00000         0.00000         0.02851
       106.00000         0.00000         0.00000         0.03069
       106.50000         0.00000         0.00000         0.03296
       107.00000         0.00000         0.00000         0.03615
       107.50000         0.00000         0.00000         0.03817
       108.00000         0.00000         0.00000         0.04122
       108.50000         0.00000         0.00000         0.04402
       109.00000         0.00000         0.00000         0.04658
       109.50000         0.00000         0.00000         0.04999
       110.00000         0.00000         0.00000         0.05332
       110.50000         0.00000         0.00000         0.05756
       111.00000         0.00000         0.00000         0.06107
       111.50000         0.00000         0.00000         0.06514
       112.00000         0.00000         0.00000         0.06884
       112.50000         0.00000         0.00000         0.07215
       113.00000         0.00000         0.00000         0.07766
       113.50000         0.00000         0.00000         0.08107
       114.00000         0.00000         0.00000         0.08606
       114.50000         0.00000         0.00000         0.09184
       115.00000         0.00000         0.00000         0.09607
       115.50000         0.00000         0.00000         0.10100
       116.00000         0.00000         0.00000         0.10689
       116.50000         0.00000         0.00000         0.11090
       117.00000         0.00000         0.00000         0.11746
       117.50000         0.00000         0.00000         0.12428
       118.00000         0.00000         0.00000         0.12867
       118.50000         0.00000         0.00000         0.13642
       119.00000         0.00000         0.00000         0.14188
       119.50000         0.00000         0.00000         0.14965
       120.00000         0.00000         0.00000         0.15541
       120.50000         0.00000         0.00000         0.16064
       121.00000         0.00000         0.00000         0.17020
       121.50000         0.00000         0.00000         0.17627
       122.00000         0.00000         0.00000         0.18498
       122.50000         0.00000         0.00000         0.19266
       123.00000         0.00000         0.00000         0.19953
       123.50000         0.00000         0.00000         0.20762
       124.00000         0.00000         0.00000         0.21563
       124.50000         0.00000         0.00000         0.22331
       125.00000         0.00000         0.00000         0.23244
       125.50000         0.00000         0.00000         0.24176
       126.00000         0.00000         0.00000         0.25031
       126.50000         0.00000         0.00000         0.26041
       127.00000         0.00000         0.00000         0.26959
