#      rho_cl        %clusters(rho_c)   
      0.0009919      0.0000000
      0.0019838      0.0000000
      0.0029757      0.0000000
      0.0039676      0.0000000
      0.0049595      0.0000000
      0.0059515      0.0000000
      0.0069434      0.0000000
      0.0079353      0.0000000
      0.0089272      0.0000000
      0.0099191      0.0000000
      0.0109110      0.0000000
      0.0119029      1.3075960
      0.0128948      0.0000000
      0.0138867      1.3075960
      0.0148786      6.5379801
      0.0158706      1.3075960
      0.0168625      2.6151919
      0.0178544      0.0000000
      0.0188463      0.0000000
      0.0198382      0.0000000
      0.0208301      5.2303839
      0.0218220      0.0000000
      0.0228139      2.6151919
      0.0238058      1.3075960
      0.0247977      3.9227879
      0.0257896      0.0000000
      0.0267816      3.9227879
      0.0277735      2.6151919
      0.0287654      0.0000000
      0.0297573      2.6151919
      0.0307492      2.6151919
      0.0317411      6.5379801
      0.0327330      1.3075960
      0.0337249      2.6151919
      0.0347168      3.9227879
      0.0357087      2.6151919
      0.0367007      5.2303839
      0.0376926      6.5379801
      0.0386845      5.2303839
      0.0396764     10.4607677
      0.0406683     19.6139393
      0.0416602     16.9987469
      0.0426521     22.2291317
      0.0436440     20.9215355
      0.0446359     37.9202843
      0.0456278     37.9202843
      0.0466197     56.2266273
      0.0476117     73.2253723
      0.0486036     71.9177780
      0.0495955    121.6064224
      0.0505874     96.7621002
      0.0515793    105.9152756
      0.0525712     98.0696945
      0.0535631     50.9962425
      0.0545550     35.3050919
      0.0555469     19.6139393
      0.0565388     22.2291317
      0.0575308      6.5379801
      0.0585227      1.3075960
      0.0595146      0.0000000
      0.0605065      1.3075960
      0.0614984      1.3075960
      0.0624903      0.0000000
      0.0634822      0.0000000
      0.0644741      0.0000000
      0.0654660      1.3075960
      0.0664579      0.0000000
      0.0674498      0.0000000
      0.0684418      1.3075960
      0.0694337      0.0000000
      0.0704256      0.0000000
      0.0714175      1.3075960
      0.0724094      0.0000000
      0.0734013      0.0000000
      0.0743932      0.0000000
      0.0753851      0.0000000
      0.0763770      0.0000000
      0.0773689      0.0000000
      0.0783609      0.0000000
      0.0793528      0.0000000
      0.0803447      0.0000000
      0.0813366      0.0000000
      0.0823285      0.0000000
      0.0833204      2.6151919
      0.0843123      0.0000000
      0.0853042      0.0000000
      0.0862961      0.0000000
      0.0872880      0.0000000
      0.0882799      0.0000000
      0.0892719      0.0000000
      0.0902638      0.0000000
      0.0912557      0.0000000
      0.0922476      0.0000000
      0.0932395      0.0000000
      0.0942314      0.0000000
      0.0952233      0.0000000
      0.0962152      0.0000000
      0.0972071      0.0000000
      0.0981990      0.0000000
      0.0991910      1.3075960
      0.1001829      0.0000000
      0.1011748      0.0000000
      0.1021667      0.0000000
      0.1031586      0.0000000
      0.1041505      0.0000000
      0.1051424      0.0000000
      0.1061343      0.0000000
      0.1071262      0.0000000
      0.1081181      0.0000000
      0.1091100      0.0000000
      0.1101020      0.0000000
      0.1110939      0.0000000
      0.1120858      0.0000000
      0.1130777      0.0000000
      0.1140696      0.0000000
      0.1150615      0.0000000
      0.1160534      0.0000000
      0.1170453      0.0000000
      0.1180372      0.0000000
      0.1190291      0.0000000
      0.1200211      0.0000000
      0.1210130      0.0000000
      0.1220049      0.0000000
      0.1229968      0.0000000
      0.1239887      0.0000000
      0.1249806      0.0000000
      0.1259725      0.0000000
      0.1269644      0.0000000
      0.1279563      0.0000000
      0.1289482      0.0000000
      0.1299402      0.0000000
      0.1309321      0.0000000
      0.1319240      0.0000000
      0.1329159      0.0000000
      0.1339078      0.0000000
      0.1348997      0.0000000
      0.1358916      0.0000000
      0.1368835      0.0000000
      0.1378754      0.0000000
      0.1388673      0.0000000
      0.1398592      0.0000000
      0.1408512      0.0000000
      0.1418431      0.0000000
      0.1428350      0.0000000
      0.1438269      0.0000000
      0.1448188      0.0000000
      0.1458107      0.0000000
      0.1468026      0.0000000
      0.1477945      0.0000000
      0.1487864      0.0000000
      0.1497783      0.0000000
      0.1507702      0.0000000
      0.1517622      0.0000000
      0.1527541      0.0000000
      0.1537460      0.0000000
      0.1547379      0.0000000
      0.1557298      0.0000000
      0.1567217      0.0000000
      0.1577136      0.0000000
      0.1587055      0.0000000
      0.1596974      0.0000000
      0.1606893      0.0000000
      0.1616812      0.0000000
      0.1626732      0.0000000
      0.1636651      0.0000000
      0.1646570      0.0000000
      0.1656489      0.0000000
      0.1666408      0.0000000
      0.1676327      0.0000000
      0.1686246      0.0000000
      0.1696165      0.0000000
      0.1706084      0.0000000
      0.1716003      0.0000000
      0.1725923      0.0000000
      0.1735842      0.0000000
      0.1745761      0.0000000
      0.1755680      0.0000000
      0.1765599      0.0000000
      0.1775518      0.0000000
      0.1785437      0.0000000
      0.1795356      0.0000000
      0.1805275      0.0000000
      0.1815194      0.0000000
      0.1825114      0.0000000
      0.1835033      0.0000000
      0.1844952      0.0000000
      0.1854871      0.0000000
      0.1864790      0.0000000
      0.1874709      0.0000000
      0.1884628      0.0000000
      0.1894547      0.0000000
      0.1904466      0.0000000
      0.1914385      0.0000000
      0.1924305      0.0000000
      0.1934224      0.0000000
      0.1944143      0.0000000
      0.1954062      0.0000000
      0.1963981      0.0000000
      0.1973900      0.0000000
      0.1983819      0.0000000
