#      r                  RG_cl(r)
      2.6148868      0.0049601
      3.1378641      0.0148804
      3.6608415      0.0173604
      4.1838188      0.0074402
      9.9365692      0.0049601
     10.4595470      0.0024801
     12.0284786      0.0049601
     12.5514565      0.0049601
     13.5974112      0.0024801
     14.1203880      0.0024801
     14.6433659      0.0049601
     15.1663437      0.0049601
     15.6893206      0.0024801
     16.2122974      0.0024801
     16.7352753      0.0049601
     17.2582531      0.0049601
     17.7812309      0.0074402
     18.3042068      0.0049601
     18.8271847      0.0099203
     19.3501625      0.0124003
     19.8731384      0.0272807
     20.3961163      0.0272807
     20.9190941      0.0148804
     21.4420719      0.0372009
     21.9650497      0.0223206
     22.4880257      0.0297608
     23.0110035      0.0372009
     23.5339813      0.0793620
     24.0569572      0.0669617
     24.5799351      0.1264832
     25.1029129      0.1240032
     25.6258907      0.1686443
     26.1488686      0.1959250
     26.6718445      0.1884848
     27.1948223      0.1562440
     27.7178001      0.1512838
     28.2407761      0.1264832
     28.7637539      0.1066427
     29.2867317      0.0471212
     29.8097095      0.0322408
     30.3326874      0.0124003
     30.8556633      0.0049601
     31.3786411      0.0024801
