#       Q              S_11(Q)
       0.0012379      14.1509438
       0.0024757      15.1742258
       0.0037136      14.9326458
       0.0049514      23.1501980
       0.0061893      16.8701420
       0.0074271      19.2379684
       0.0086650      12.0593548
       0.0099028      25.0517521
       0.0111407      22.8432293
       0.0123785      21.9426861
       0.0136164      24.0898113
       0.0148542      19.3255424
       0.0160921      19.0248470
       0.0173299      24.7850227
       0.0185678      24.2300510
       0.0198056      32.0699539
       0.0210435      27.7995968
       0.0222814      38.8131599
       0.0235192      47.4679794
       0.0247571      63.9074097
       0.0259949      87.3878326
       0.0272328      81.8832092
       0.0284706      97.6876450
       0.0297085     164.4222565
       0.0309463     154.7993927
       0.0321842     230.1984711
       0.0334220     307.6521606
       0.0346599     461.7175293
       0.0358977     505.3972473
       0.0371356     432.9233704
       0.0383734     492.6364746
       0.0396113     322.2528992
       0.0408491     221.8701172
       0.0420870     151.3227997
       0.0433249     117.8387070
       0.0445627     110.3034210
       0.0458006      84.1351700
       0.0470384      73.5051727
       0.0482763      73.4436798
       0.0495141      49.5033150
       0.0507520      55.1858063
       0.0519898      67.0330582
       0.0532277      43.3917694
       0.0544655      48.4176254
       0.0557034      47.9290695
       0.0569412      49.9753685
       0.0581791      52.9782600
       0.0594169      46.0868073
       0.0606548      53.0615120
       0.0618926      48.5955544
       0.0631305      58.1731224
       0.0643683      54.3856468
       0.0656062      61.9662895
       0.0668441      58.9955711
       0.0680819      48.4185982
       0.0693198      45.1251106
       0.0705576      51.3159866
       0.0717955      46.7765503
       0.0730333      41.9213829
       0.0742712      38.5623970
       0.0755090      30.2343521
       0.0767469      30.0194778
       0.0779847      22.2647572
       0.0792226      19.6356087
       0.0804604      15.1238985
       0.0816983      12.7021046
       0.0829361      11.4067297
       0.0841740       9.3106966
       0.0854118       7.7562833
       0.0866497       6.0202136
       0.0878876       6.1634021
       0.0891254       4.5565305
       0.0903633       4.7396441
       0.0916011       3.5530529
       0.0928390       3.1786251
       0.0940768       2.5922883
       0.0953147       2.1842701
       0.0965525       1.6917999
       0.0977904       2.1677923
       0.0990282       1.4556855
       0.1002661       1.4788766
       0.1015039       1.1262795
       0.1027418       0.9798136
       0.1039796       0.8456113
       0.1052175       0.9714265
       0.1064553       0.7612236
       0.1076932       0.8560007
       0.1089310       0.7422664
       0.1101689       0.8300408
       0.1114068       0.8548317
       0.1126446       1.0386474
       0.1138825       1.1007334
       0.1151203       1.1647731
       0.1163582       1.1324576
       0.1175960       1.2823608
       0.1188339       1.1695640
       0.1200717       1.3924559
       0.1213096       1.4466316
       0.1225474       1.3984629
       0.1237853       1.6371130
       0.1250231       1.4973893
       0.1262610       1.8007925
       0.1274989       1.8575613
       0.1287367       1.7551708
       0.1299745       1.8551822
       0.1312124       2.0869758
       0.1324503       1.9608088
       0.1336881       2.1900244
       0.1349260       2.1638792
       0.1361638       2.1644177
       0.1374017       2.2935066
       0.1386395       2.2282398
       0.1398774       2.0479207
       0.1411152       2.2806194
       0.1423531       2.0834711
       0.1435909       1.9423511
       0.1448288       1.9570023
       0.1460666       2.0032349
       0.1473045       1.8558863
       0.1485423       1.7214886
       0.1497802       1.7671323
       0.1510181       1.4944608
       0.1522559       1.3976102
       0.1534937       1.3503116
       0.1547316       1.0877912
       0.1559695       1.1954049
       0.1572073       0.9928814
       0.1584452       0.9723751
       0.1596830       1.0170677
       0.1609209       0.7084067
       0.1621587       0.8709894
       0.1633966       0.7092674
       0.1646344       0.5786673
       0.1658723       0.6056805
       0.1671101       0.5784155
       0.1683480       0.4785107
       0.1695858       0.5101303
       0.1708237       0.4361560
       0.1720615       0.3537596
       0.1732994       0.3162926
       0.1745373       0.2984082
       0.1757751       0.3189768
       0.1770130       0.3043609
       0.1782508       0.2720407
       0.1794887       0.2670737
       0.1807265       0.2497171
       0.1819644       0.2515213
       0.1832022       0.3204628
       0.1844401       0.2411515
       0.1881536       0.2072949
       0.1918672       0.2519145
       0.1955808       0.3522796
       0.1992943       0.3239632
       0.2030079       0.4193017
       0.2067214       0.3602340
       0.2104350       0.6201130
       0.2141485       0.5031975
       0.2178621       0.2808089
       0.2215757       0.1621220
       0.2252892       0.1325868
       0.2290028       0.2091209
       0.2327163       0.2675291
       0.2364299       0.1626308
       0.2401434       0.1272728
       0.2438570       0.1054638
       0.2475706       0.0675598
       0.2512841       0.0964275
       0.2549977       0.0871257
       0.2587112       0.1156616
       0.2624248       0.1188661
       0.2661384       0.1188063
       0.2698519       0.1245991
       0.2735655       0.1513368
       0.2772790       0.1218304
       0.2809926       0.0822283
       0.2847061       0.1406798
       0.2884197       0.1920301
       0.2921333       0.2238819
       0.2958468       0.0855308
       0.2995604       0.0597987
       0.3032739       0.0826235
       0.3069875       0.1334179
       0.3107011       0.0869735
       0.3144146       0.0697251
       0.3181282       0.1100725
       0.3218417       0.1351163
       0.3255553       0.0758840
       0.3292688       0.0797498
       0.3329824       0.1247279
       0.3366960       0.1195555
       0.3404095       0.0980757
       0.3441231       0.0804662
       0.3478366       0.0421496
       0.3515502       0.1415525
       0.3552638       0.1892287
       0.3589773       0.1354356
       0.3626909       0.1114421
