#      r                  rho_cl(r)
       0.000000       0.000000
       0.522977       0.076984
       1.045955       0.081135
       1.568932       0.074971
       2.091909       0.074154
       2.614887       0.070795
       3.137864       0.076858
       3.660841       0.073641
       4.183819       0.075757
       4.706796       0.073126
       5.229774       0.074191
       5.752751       0.071358
       6.275728       0.074216
       6.798706       0.072456
       7.321683       0.072941
       7.844660       0.069487
       8.367638       0.072408
       8.890615       0.073565
       9.413592       0.071156
       9.936569       0.070509
      10.459547       0.072531
      10.982525       0.072060
      11.505502       0.069471
      12.028479       0.070388
      12.551456       0.071009
      13.074434       0.070372
      13.597411       0.069349
      14.120388       0.068877
      14.643366       0.068897
      15.166344       0.068552
      15.689321       0.069361
      16.212297       0.066661
      16.735275       0.067739
      17.258253       0.065549
      17.781231       0.064575
      18.304207       0.068833
      18.827185       0.065915
      19.350163       0.065255
      19.873138       0.062962
      20.396116       0.063844
      20.919094       0.061493
      21.442072       0.063877
      21.965050       0.063578
      22.488026       0.061661
      23.011003       0.061186
      23.533981       0.058870
      24.056957       0.060331
      24.579935       0.057891
      25.102913       0.059169
      25.625891       0.057561
      26.148869       0.057965
      26.671844       0.055703
      27.194822       0.054095
      27.717800       0.054214
      28.240776       0.052357
      28.763754       0.052132
      29.286732       0.051592
      29.809710       0.050621
      30.332687       0.048265
      30.855663       0.047344
      31.378641       0.046291
      31.901619       0.044777
      32.424595       0.044591
      32.947575       0.042685
      33.470551       0.040673
      33.993526       0.040779
      34.516506       0.038252
      35.039482       0.034527
      35.562462       0.035118
      36.085438       0.032979
      36.608414       0.030675
      37.131393       0.029392
      37.654369       0.026919
      38.177345       0.024524
      38.700325       0.021796
      39.223301       0.020116
      39.746277       0.017945
      40.269257       0.015056
      40.792233       0.012821
      41.315212       0.011235
      41.838188       0.008736
      42.361164       0.007790
      42.884144       0.006148
      43.407120       0.005247
      43.930099       0.003450
      44.453075       0.002513
      44.976051       0.002194
      45.499031       0.001570
      46.022007       0.001235
      46.544983       0.000611
      47.067963       0.000411
      47.590939       0.000307
      48.113914       0.000139
      48.636894       0.000154
      49.159870       0.000064
      49.682850       0.000040
      50.205826       0.000016
      50.728802       0.000008
      51.251781       0.000008
      51.774757       0.000000
      52.297737       0.000008
      52.820713       0.000000
      53.343689       0.000000
      53.866669       0.000000
      54.389645       0.000000
      54.912621       0.000000
      55.435600       0.000000
      55.958576       0.000000
      56.481552       0.000000
      57.004532       0.000000
      57.527508       0.000000
      58.050488       0.000000
      58.573463       0.000000
      59.096439       0.000000
      59.619419       0.000000
      60.142395       0.000000
      60.665375       0.000000
      61.188351       0.000000
      61.711327       0.000000
      62.234306       0.000000
      62.757282       0.000000
      63.280258       0.000000
      63.803238       0.000000
      64.326218       0.000000
      64.849190       0.000000
      65.372169       0.000000
      65.895149       0.000000
      66.418121       0.000000
      66.941101       0.000000
      67.464081       0.000000
      67.987053       0.000000
      68.510033       0.000000
      69.033012       0.000000
      69.555984       0.000000
      70.078964       0.000000
      70.601944       0.000000
      71.124924       0.000000
      71.647896       0.000000
      72.170876       0.000000
      72.693855       0.000000
      73.216827       0.000000
      73.739807       0.000000
      74.262787       0.000000
      74.785759       0.000000
      75.308739       0.000000
      75.831718       0.000000
      76.354691       0.000000
      76.877670       0.000000
      77.400650       0.000000
      77.923622       0.000000
      78.446602       0.000000
      78.969582       0.000000
      79.492554       0.000000
      80.015533       0.000000
      80.538513       0.000000
      81.061493       0.000000
      81.584465       0.000000
      82.107445       0.000000
      82.630424       0.000000
      83.153397       0.000000
      83.676376       0.000000
      84.199356       0.000000
      84.722328       0.000000
      85.245308       0.000000
      85.768288       0.000000
      86.291260       0.000000
      86.814240       0.000000
      87.337219       0.000000
      87.860199       0.000000
      88.383171       0.000000
      88.906151       0.000000
      89.429131       0.000000
      89.952103       0.000000
      90.475082       0.000000
      90.998062       0.000000
      91.521034       0.000000
      92.044014       0.000000
      92.566994       0.000000
      93.089966       0.000000
      93.612946       0.000000
      94.135925       0.000000
      94.658897       0.000000
      95.181877       0.000000
      95.704857       0.000000
      96.227829       0.000000
      96.750809       0.000000
      97.273788       0.000000
      97.796768       0.000000
      98.319740       0.000000
      98.842720       0.000000
      99.365700       0.000000
      99.888672       0.000000
     100.411652       0.000000
     100.934631       0.000000
     101.457603       0.000000
     101.980583       0.000000
     102.503563       0.000000
     103.026535       0.000000
     103.549515       0.000000
     104.072495       0.000000
     104.595474       0.000000
