#           Q       S_NN(Q)          n(Q)
      0.0012379     14.1509438           3
      0.0024757     15.1742258           4
      0.0037136     14.9326458           5
      0.0049514     23.1501980           9
      0.0061893     16.8701420           8
      0.0074271     19.2379684          11
      0.0086650     12.0593548          11
      0.0099028     25.0517521          13
      0.0111407     22.8432293          18
      0.0123785     21.9426861          15
      0.0136164     24.0898113          19
      0.0148542     19.3255424          18
      0.0160921     19.0248470          23
      0.0173299     24.7850227          23
      0.0185678     24.2300510          22
      0.0198056     32.0699539          29
      0.0210435     27.7995968          29
      0.0222814     38.8131599          29
      0.0235192     47.4679794          30
      0.0247571     63.9074097          29
      0.0259949     87.3878326          37
      0.0272328     81.8832092          36
      0.0284706     97.6876450          37
      0.0297085    164.4222717          37
      0.0309463    154.7993927          43
      0.0321842    230.1984711          42
      0.0334220    307.6521606          41
      0.0346599    461.7175293          47
      0.0358977    505.3972473          44
      0.0371356    432.9233704          51
      0.0383734    492.6364746          49
      0.0396113    322.2528992          48
      0.0408491    221.8701172          53
      0.0420870    151.3227997          57
      0.0433249    117.8387070          57
      0.0445627    110.3034210          58
      0.0458006     84.1351700          57
      0.0470384     73.5051727          63
      0.0482763     73.4436798          60
      0.0495141     49.5033150          67
      0.0507520     55.1858063          63
      0.0519898     67.0330582          67
      0.0532277     43.3917694          70
      0.0544655     48.4176254          67
      0.0557034     47.9290695          73
      0.0569412     49.9753685          70
      0.0581791     52.9782600          77
      0.0594169     46.0868073          77
      0.0606548     53.0615120          79
      0.0618926     48.5955544          80
      0.0631305     58.1731224          81
      0.0643683     54.3856468          87
      0.0656062     61.9662895          80
      0.0668441     58.9955711          85
      0.0680819     48.4185982          89
      0.0693198     45.1251106          86
      0.0705576     51.3159866          95
      0.0717955     46.7765503          85
      0.0730333     41.9213829          99
      0.0742712     38.5623970          96
      0.0755090     30.2343521          93
      0.0767469     30.0194778         101
      0.0779847     22.2647572          92
      0.0792226     19.6356087         111
      0.0804604     15.1238985         101
      0.0816983     12.7021046         107
      0.0829361     11.4067297         106
      0.0841740      9.3106966         105
      0.0854118      7.7562833         113
      0.0866497      6.0202136         108
      0.0878876      6.1634021         109
      0.0891254      4.5565305         121
      0.0903633      4.7396441         112
      0.0916011      3.5530529         119
      0.0928390      3.1786251         115
      0.0940768      2.5922883         123
      0.0953147      2.1842701         126
      0.0965525      1.6917999         119
      0.0977904      2.1677923         125
      0.0990282      1.4556855         124
      0.1002661      1.4788766         135
      0.1015039      1.1262795         129
      0.1027418      0.9798136         129
      0.1039796      0.8456113         130
      0.1052175      0.9714265         139
      0.1064553      0.7612236         137
      0.1076932      0.8560007         136
      0.1089310      0.7422664         135
      0.1101689      0.8300408         147
      0.1114068      0.8548317         140
      0.1126446      1.0386474         145
      0.1138825      1.1007334         143
      0.1151203      1.1647731         149
      0.1163582      1.1324576         146
      0.1175960      1.2823608         149
      0.1188339      1.1695640         151
      0.1200717      1.3924559         154
      0.1213096      1.4466316         167
      0.1225474      1.3984629         149
      0.1237853      1.6371130         161
      0.1250231      1.4973893         150
      0.1262610      1.8007925         167
      0.1274989      1.8575613         169
      0.1287367      1.7551708         156
      0.1299745      1.8551822         167
      0.1312124      2.0869758         165
      0.1324503      1.9608088         171
      0.1336881      2.1900244         174
      0.1349260      2.1638792         169
      0.1361638      2.1644177         181
      0.1374017      2.2935064         168
      0.1386395      2.2282398         177
      0.1398774      2.0479207         177
      0.1411152      2.2806194         180
      0.1423531      2.0834711         187
      0.1435909      1.9423511         183
      0.1448288      1.9570023         183
      0.1460666      2.0032349         182
      0.1473045      1.8558863         185
      0.1485423      1.7214886         195
      0.1497802      1.7671323         194
      0.1510181      1.4944608         193
      0.1522559      1.3976102         199
      0.1534937      1.3503116         191
      0.1547316      1.0877912         196
      0.1559695      1.1954049         195
      0.1572073      0.9928814         209
      0.1584452      0.9723751         198
      0.1596830      1.0170677         205
      0.1609209      0.7084067         201
      0.1621587      0.8709894         204
      0.1633966      0.7092674         213
      0.1646344      0.5786673         209
      0.1658723      0.6056805         215
      0.1671101      0.5784155         208
      0.1683480      0.4785107         221
      0.1695858      0.5101303         213
      0.1708237      0.4361560         212
      0.1720615      0.3537596         223
      0.1732994      0.3162926         225
      0.1745373      0.2984082         223
      0.1757751      0.3189768         220
      0.1770130      0.3043609         217
      0.1782508      0.2720407         235
      0.1794887      0.2670737         234
      0.1807265      0.2497171         231
      0.1819644      0.2515213         227
      0.1832022      0.3204628         102
      0.1844401      0.2411515           2
      0.1881536      0.2072949           2
      0.1918672      0.2519145           2
      0.1955808      0.3522796           2
      0.1992943      0.3239632           2
      0.2030079      0.4193017           2
      0.2067214      0.3602340           2
      0.2104350      0.6201130           2
      0.2141485      0.5031975           2
      0.2178621      0.2808089           2
      0.2215757      0.1621220           2
      0.2252892      0.1325868           2
      0.2290028      0.2091209           2
      0.2327163      0.2675291           2
      0.2364299      0.1626308           2
      0.2401434      0.1272728           2
      0.2438570      0.1054638           2
      0.2475706      0.0675598           2
      0.2512841      0.0964275           2
      0.2549977      0.0871257           2
      0.2587112      0.1156616           2
      0.2624248      0.1188661           2
      0.2661384      0.1188063           2
      0.2698519      0.1245991           2
      0.2735655      0.1513368           2
      0.2772790      0.1218304           2
      0.2809926      0.0822283           2
      0.2847061      0.1406798           2
      0.2884197      0.1920301           2
      0.2921333      0.2238819           2
      0.2958468      0.0855308           2
      0.2995604      0.0597987           2
      0.3032739      0.0826235           2
      0.3069875      0.1334179           2
      0.3107011      0.0869735           2
      0.3144146      0.0697251           2
      0.3181282      0.1100725           2
      0.3218417      0.1351163           2
      0.3255553      0.0758840           2
      0.3292688      0.0797498           2
      0.3329824      0.1247279           2
      0.3366960      0.1195555           2
      0.3404095      0.0980757           2
      0.3441231      0.0804662           2
      0.3478366      0.0421496           2
      0.3515502      0.1415525           2
      0.3552638      0.1892287           2
      0.3589773      0.1354356           2
      0.3626909      0.1114421           2
      0.3664044      0.0569708           2
      0.3701180      0.0502012           2
      0.3738316      0.0747872           2
      0.3775451      0.0901444           2
      0.3812587      0.0812538           2
      0.3849722      0.1040461           2
      0.3886858      0.0826082           2
      0.3923993      0.0931264           2
      0.3961129      0.0800360           2
      0.3998265      0.0693290           2
      0.4035400      0.0744471           2
      0.4072536      0.0958323           2
      0.4109671      0.0870406           2
      0.4146807      0.1047325           2
      0.4183943      0.1380503           2
      0.4221078      0.1052284           2
      0.4258214      0.0730390           2
      0.4295349      0.0567276           2
      0.4332485      0.0653894           2
      0.4369621      0.0770206           2
      0.4406756      0.0900783           2
      0.4443892      0.0459426           2
      0.4481027      0.1145887           2
      0.4518163      0.1358026           2
      0.4555298      0.0667356           2
      0.4592434      0.0550762           2
      0.4629570      0.0563139           2
