#           Q       S_NN(Q)          n(Q)
      0.4666705      0.0772715           2
      0.4703841      0.0962798           2
      0.4740976      0.0856064           2
      0.4778112      0.1440715           2
      0.4815248      0.0752609           2
      0.4852383      0.0867738           2
      0.4889519      0.0851074           2
      0.4926654      0.0693929           2
      0.4963790      0.0786349           2
      0.5000926      0.1385812           2
      0.5038061      0.1318951           2
      0.5075197      0.0758225           2
      0.5112332      0.0683129           2
      0.5149468      0.0507755           2
      0.5186604      0.1103535           2
      0.5223739      0.1675618           2
      0.5260875      0.1097807           2
      0.5298010      0.0853397           2
      0.5335146      0.0810032           2
      0.5372281      0.0806361           2
      0.5409417      0.0909781           2
      0.5446553      0.1008254           2
      0.5483688      0.0772101           2
      0.5520824      0.0675304           2
      0.5557959      0.1235542           2
      0.5595095      0.1270594           2
      0.5632231      0.1565808           2
      0.5669366      0.2090190           2
      0.5706502      0.1223911           2
      0.5743637      0.0752967           2
      0.5780773      0.0880443           2
      0.5817909      0.1608451           2
      0.5855044      0.1122860           2
      0.5892180      0.1037366           2
      0.5929315      0.0685967           2
      0.5966451      0.0564598           2
      0.6003586      0.0845065           2
      0.6040722      0.1030327           2
      0.6077858      0.0974084           2
      0.6114993      0.1060481           2
      0.6152129      0.1016392           2
      0.6189264      0.1323643           2
      0.6226400      0.0666425           2
      0.6263536      0.0441289           2
      0.6300671      0.1082674           2
      0.6337807      0.0868624           2
      0.6374942      0.0886161           2
      0.6412078      0.0832167           2
      0.6449214      0.0631803           2
      0.6486349      0.0442929           2
      0.6523485      0.1313724           2
      0.6560620      0.2398684           2
      0.6597756      0.1806500           2
      0.6634891      0.1026664           2
      0.6672027      0.1399723           2
      0.6709163      0.0774618           2
      0.6746298      0.0913318           2
      0.6783434      0.1121102           2
      0.6820569      0.1114857           2
      0.6857705      0.1641138           2
      0.6894841      0.1570295           2
      0.6931976      0.1462318           2
      0.6969112      0.0574848           2
      0.7006247      0.1173479           2
      0.7043383      0.1077228           2
      0.7080518      0.0618847           2
      0.7117654      0.0661332           2
      0.7154790      0.1007833           2
      0.7191925      0.0564161           2
      0.7229061      0.1494246           2
      0.7266196      0.0942074           2
      0.7303332      0.0883649           2
      0.7340468      0.1103788           2
      0.7377603      0.0919622           2
      0.7414739      0.0506967           2
      0.7451874      0.0397645           2
      0.7489009      0.0610626           2
      0.7526146      0.1140228           2
      0.7563281      0.1111419           2
      0.7600417      0.1407454           2
      0.7637552      0.1043148           2
      0.7674688      0.1447576           2
      0.7711823      0.0613975           2
      0.7748959      0.0872306           2
      0.7786095      0.0978906           2
      0.7823230      0.1057000           2
      0.7860366      0.1263754           2
      0.7897501      0.1292443           2
      0.7934636      0.1731850           2
      0.7971773      0.1224868           2
      0.8008908      0.1231378           2
      0.8046044      0.0572782           2
      0.8083179      0.0834142           2
      0.8120314      0.1272825           2
      0.8157451      0.0922501           2
      0.8194586      0.0776666           2
      0.8231722      0.1219480           2
      0.8268857      0.1097239           2
      0.8305992      0.1316295           2
      0.8343128      0.1709551           2
      0.8380264      0.1302586           2
      0.8417400      0.1119065           2
      0.8454535      0.1883035           2
      0.8491670      0.2113015           2
      0.8528806      0.2020917           2
      0.8565941      0.3117141           2
      0.8603078      0.2417098           2
      0.8640213      0.1362018           2
      0.8677348      0.1741344           2
      0.8714484      0.2007847           2
      0.8751619      0.1656312           2
      0.8788755      0.1672220           2
      0.8825891      0.0802105           2
      0.8863026      0.0748469           2
      0.8900162      0.1372040           2
      0.8937297      0.1371311           2
      0.8974433      0.0856936           2
      0.9011569      0.0986374           2
      0.9048705      0.1308912           2
      0.9085840      0.1824777           2
      0.9122975      0.1706537           2
      0.9160111      0.0944660           2
      0.9197246      0.1389827           2
      0.9234383      0.1588817           2
      0.9271518      0.1592942           2
      0.9308653      0.2768784           2
      0.9345789      0.2164607           2
      0.9382924      0.1961385           2
      0.9420060      0.2947572           2
      0.9457196      0.2504652           2
      0.9494331      0.1683816           2
      0.9531467      0.1303532           2
      0.9568602      0.1730814           2
      0.9605738      0.1624099           2
      0.9642873      0.1314164           2
      0.9680009      0.2408533           2
      0.9717145      0.1848998           2
      0.9754280      0.1919662           2
      0.9791416      0.2050041           2
      0.9828551      0.1723015           2
      0.9865687      0.1190135           2
      0.9902823      0.1487612           2
      0.9939958      0.2213371           2
      0.9977094      0.1845850           2
      1.0014230      0.1581368           2
      1.0051365      0.2412498           2
      1.0088501      0.1955080           2
      1.0125636      0.2178137           2
      1.0162772      0.2711972           2
      1.0199908      0.2650248           2
      1.0237043      0.1396588           2
      1.0274179      0.1050473           2
      1.0311314      0.1891228           2
      1.0348450      0.2137769           2
      1.0385585      0.1778997           2
      1.0422721      0.2766373           2
      1.0459857      0.2898371           2
      1.0496992      0.2540078           2
      1.0534128      0.2697786           2
      1.0571263      0.2198827           2
      1.0608399      0.1921121           2
      1.0645535      0.2076414           2
      1.0682670      0.1917192           2
      1.0719806      0.2986406           2
      1.0756941      0.3159698           2
      1.0794077      0.2797476           2
      1.0831213      0.2314226           2
      1.0868348      0.1653791           2
      1.0905484      0.2748046           2
      1.0942619      0.3205777           2
      1.0979755      0.2505191           2
      1.1016890      0.2139382           2
      1.1054026      0.3518244           2
      1.1091162      0.4518726           2
      1.1128297      0.3115705           2
      1.1165433      0.3032533           2
      1.1202568      0.3469393           2
      1.1239704      0.4941050           2
      1.1276840      0.2650086           2
      1.1313975      0.2989509           2
      1.1351111      0.2944127           2
      1.1388246      0.2249365           2
      1.1425382      0.3363156           2
      1.1462517      0.4224099           2
      1.1499653      0.5654112           2
      1.1536789      0.4414096           2
      1.1573924      0.4779088           2
      1.1611060      0.5684013           2
      1.1648195      0.2487764           2
      1.1685331      0.5599133           2
      1.1722467      0.3790389           2
      1.1759602      0.3938689           2
      1.1796738      0.5706760           2
      1.1833873      0.6345229           2
      1.1871009      0.4237414           2
      1.1908145      0.2835408           2
      1.1945280      0.2936210           2
      1.1982416      0.2598980           2
      1.2019551      0.1921871           2
      1.2056687      0.2051193           2
      1.2093822      0.2242677           2
      1.2130958      0.3103370           2
      1.2168094      0.3992852           2
      1.2205229      0.6803144           2
      1.2242365      0.5059574           2
      1.2279500      0.2949782           2
      1.2316636      0.2903294           2
      1.2353772      0.2850491           2
      1.2390907      0.4875333           2
      1.2428043      0.4557749           2
      1.2465178      0.4021303           2
      1.2502314      0.3209116           2
      1.2539450      0.4868058           2
      1.2576585      0.5811685           2
      1.2613721      0.4101323           2
      1.2650856      0.2977355           2
      1.2687992      0.2510755           2
      1.2725127      0.2428792           2
      1.2762263      0.3530861           2
      1.2799399      0.5499151           2
      1.2836534      0.8844662           2
      1.2873670      1.0529078           2
      1.2910805      0.9705286           2
      1.2947941      0.4523367           2
      1.2985077      0.3874144           2
      1.3022212      0.5996669           2
      1.3059348      0.6410621           2
      1.3096483      0.3653194           2
      1.3133619      0.5785486           2
      1.3170754      0.3329983           2
      1.3207890      0.4142086           2
      1.3245026      0.4899848           2
      1.3282161      0.5665348           2
      1.3319297      0.4023195           2
      1.3356432      0.6315190           2
      1.3393568      0.7209252           2
      1.3430704      0.6320710           2
      1.3467839      0.5341098           2
      1.3504975      0.7225267           2
      1.3542110      0.7783855           2
      1.3579246      0.6338983           2
      1.3616382      0.4668918           2
      1.3653517      0.5248638           2
      1.3690653      0.6686714           2
      1.3727788      0.4406891           2
      1.3764924      0.5286398           2
      1.3802059      0.6036875           2
      1.3839195      0.6661497           2
      1.3876331      0.4498442           2
      1.3913466      0.6941704           2
      1.3950602      0.4510027           2
      1.3987737      0.7836295           2
      1.4024873      0.6025389           2
      1.4062009      0.5037098           2
      1.4099144      0.7221912           2
      1.4136280      0.8418002           2
      1.4173415      0.6763974           2
      1.4210551      0.7478851           2
      1.4247687      0.8837383           2
      1.4284822      1.3876233           2
      1.4321958      1.2561493           2
      1.4359093      0.7746712           2
      1.4396229      0.4820135           2
      1.4433364      0.7011248           2
      1.4470500      0.8010920           2
      1.4507636      0.7592085           2
      1.4544771      0.4616354           2
      1.4581907      1.0933965           2
      1.4619042      0.9472338           2
      1.4656178      1.0095578           2
      1.4693314      1.1868116           2
      1.4730449      1.4521110           2
      1.4767585      1.1904958           2
      1.4804720      1.2339191           2
      1.4841856      1.1913258           2
      1.4878991      0.8592699           2
      1.4916127      0.7776134           2
      1.4953263      1.5274355           2
      1.4990398      1.7270010           2
      1.5027534      0.9069656           2
      1.5064669      0.6617149           2
      1.5101805      1.1541650           2
      1.5138941      1.0137066           2
      1.5176076      1.7672088           2
      1.5213212      1.5274119           2
      1.5250347      0.9125040           2
      1.5287483      1.2310197           2
      1.5324619      1.0462201           2
      1.5361754      1.0999137           2
      1.5398890      1.9848350           2
      1.5436025      1.5392065           2
      1.5473161      0.8727624           2
      1.5510296      1.5586647           2
      1.5547432      1.1479234           2
      1.5584568      2.0179613           2
      1.5621703      1.4691361           2
      1.5658839      0.8605092           2
      1.5695974      0.4793184           2
      1.5733110      0.7703055           2
      1.5770246      0.5546402           2
      1.5807381      1.1376386           2
      1.5844517      2.1501966           2
      1.5881652      1.8054144           2
      1.5918788      1.1950066           2
      1.5955924      1.4969597           2
      1.5993059      2.4086246           2
      1.6030195      2.0825841           2
      1.6067330      1.9030159           2
      1.6104466      2.1504078           2
      1.6141601      1.6572292           2
      1.6178737      2.4228804           2
      1.6215873      1.8639332           2
      1.6253008      1.4769769           2
      1.6290144      2.1964164           2
      1.6327279      1.2250274           2
      1.6364415      1.2444811           2
      1.6401551      2.0523288           2
      1.6438686      2.6946697           2
      1.6475822      2.6953657           2
      1.6512957      1.8892167           2
      1.6550093      1.4982210           2
      1.6587228      2.1246307           2
      1.6624364      2.2428327           2
      1.6661500      1.7165686           2
      1.6698635      2.5995326           2
      1.6735771      1.9656738           2
      1.6772906      1.3259147           2
      1.6810042      1.4855728           2
      1.6847178      2.1718106           2
      1.6884313      2.0920546           2
      1.6921449      1.5032176           2
      1.6958584      2.5829005           2
      1.6995720      1.8673102           2
      1.7032856      2.2973981           2
      1.7069991      2.4102359           2
      1.7107127      1.1574732           2
      1.7144262      1.3500060           2
      1.7181398      1.9932163           2
      1.7218533      2.8121960           2
      1.7255669      2.6692810           2
      1.7292805      1.9693466           2
      1.7329940      1.6557688           2
      1.7367076      1.9272267           2
      1.7404211      2.5430722           2
      1.7441347      2.0301628           2
      1.7478483      1.6128266           2
      1.7515618      1.4306353           2
      1.7552754      2.0784190           2
      1.7589889      3.0978978           2
      1.7627025      2.4145298           2
      1.7664161      2.0169551           2
      1.7701296      2.0065835           2
      1.7738432      2.1820030           2
      1.7775567      1.5680491           2
      1.7812703      2.2614408           2
      1.7849838      1.8375604           2
      1.7886974      1.8100121           2
      1.7924110      2.2748163           2
      1.7961245      2.2870860           2
      1.7998381      2.2118378           2
      1.8035516      2.3326523           2
      1.8072652      3.0501602           2
      1.8109788      3.0597520           2
      1.8146923      2.3549662           2
      1.8184059      2.0812132           2
      1.8221194      2.8397884           2
      1.8258330      4.7498040           2
      1.8295465      3.7563548           2
      1.8332601      2.5508349           2
      1.8369737      2.3444302           2
      1.8406872      2.1305652           2
      1.8444008      2.9895718           2
      1.8481143      3.0056651           2
      1.8518279      2.2755971           2
      1.8555415      2.5013552           2
      1.8592550      1.2819281           2
      1.8629686      2.3945365           2
      1.8666821      3.3048472           2
      1.8703957      4.3673239           2
      1.8741093      2.6643214           2
      1.8778228      1.4216316           2
      1.8815364      2.9360218           2
      1.8852499      3.5167477           2
      1.8889635      2.5467496           2
      1.8926769      3.5546403           2
      1.8963906      2.8869557           2
      1.9001042      2.2999375           2
      1.9038177      1.4737196           2
      1.9075313      1.5830851           2
      1.9112448      2.1630657           2
      1.9149584      2.1125569           2
      1.9186720      1.5581716           2
      1.9223855      2.0276084           2
      1.9260991      2.7928472           2
      1.9298126      3.5404727           2
      1.9335262      3.5443008           2
      1.9372398      2.4706728           2
      1.9409533      1.4739521           2
      1.9446669      1.5004790           2
      1.9483804      1.4511862           2
      1.9520940      1.3607361           2
      1.9558074      2.0290387           2
      1.9595211      1.8056959           2
      1.9632347      1.0570723           2
      1.9669482      1.8555107           2
      1.9706618      1.1495531           2
      1.9743752      0.7608673           2
      1.9780889      0.8385782           2
      1.9818025      1.1084336           2
      1.9855160      1.1203449           2
      1.9892296      0.7674438           2
      1.9929430      0.6532341           2
      1.9966567      1.0438221           2
      2.0003703      0.8761131           2
      2.0040839      1.0810850           2
      2.0077972      1.5252103           2
      2.0115108      2.2403069           2
      2.0152245      2.2362568           2
      2.0189381      0.9636341           2
      2.0226517      0.9875622           2
      2.0263650      0.3651460           2
      2.0300786      0.5084156           2
      2.0337923      0.8598412           2
      2.0375059      1.5259651           2
      2.0412192      1.3586446           2
      2.0449328      0.9837977           2
      2.0486465      1.1476851           2
      2.0523601      0.8390105           2
      2.0560737      0.5398942           2
      2.0597870      1.1941692           2
      2.0635006      0.7671120           2
      2.0672143      0.5792818           2
      2.0709279      0.6583959           2
      2.0746415      0.5617851           2
      2.0783548      0.7498006           2
      2.0820684      0.8080846           2
      2.0857821      0.6065238           2
      2.0894957      1.1601063           2
      2.0932093      0.9086992           2
      2.0969226      0.5184190           2
      2.1006362      0.6605263           2
      2.1043499      0.7972865           2
      2.1080635      0.6879903           2
      2.1117771      0.6002758           2
      2.1154904      0.7799349           2
      2.1192040      0.6849049           2
      2.1229177      0.6710803           2
      2.1266313      0.7368917           2
      2.1303449      0.8124784           2
      2.1340582      0.6599350           2
      2.1377718      1.0053422           2
      2.1414855      0.8361707           2
      2.1451991      0.8128618           2
      2.1489124      0.7394707           2
      2.1526260      0.6891305           2
      2.1563396      0.9881350           2
      2.1600533      0.9109476           2
      2.1637669      0.4258572           2
      2.1674802      0.6196007           2
      2.1711938      0.6026539           2
      2.1749074      0.6564475           2
      2.1786211      0.7094356           2
      2.1823347      0.3965928           2
      2.1860480      0.5703027           2
      2.1897616      0.6444446           2
      2.1934752      0.7341089           2
      2.1971889      0.7471725           2
      2.2009025      1.0511690           2
      2.2046158      1.1303798           2
      2.2083294      0.8177185           2
      2.2120430      0.6106943           2
      2.2157567      0.7220953           2
      2.2194703      0.7933648           2
      2.2231836      0.7550116           2
      2.2268972      0.4068663           2
      2.2306108      0.3506681           2
      2.2343245      0.4668791           2
      2.2380381      0.4125727           2
      2.2417514      0.6296166           2
      2.2454650      0.5795396           2
      2.2491786      0.6422085           2
      2.2528923      0.8848780           2
      2.2566056      0.9881448           2
      2.2603192      0.7874884           2
      2.2640328      0.5860648           2
      2.2677464      0.7983744           2
      2.2714601      0.6685088           2
      2.2751734      0.6403420           2
      2.2788870      0.7247139           2
      2.2826006      0.7803336           2
      2.2863142      0.7079278           2
      2.2900279      0.4178193           2
      2.2937412      0.7366756           2
      2.2974548      0.6601728           2
      2.3011684      0.6951302           2
      2.3048820      0.6241041           2
      2.3085957      0.2568217           2
      2.3123090      0.3031538           2
      2.3160226      0.4681879           2
      2.3197362      0.6742107           2
      2.3234499      0.6768700           2
      2.3271635      0.1510077           2
      2.3308768      0.2747387           2
      2.3345904      0.7149892           2
      2.3383040      0.6033567           2
      2.3420177      0.6110642           2
      2.3457313      0.5769275           2
      2.3494446      0.3431192           2
      2.3531582      0.4928756           2
      2.3568718      0.6032430           2
      2.3605855      1.0548840           2
      2.3642991      0.9758365           2
      2.3680124      0.6992151           2
      2.3717260      0.4123684           2
      2.3754396      0.6607326           2
      2.3791533      0.8315815           2
      2.3828666      0.6254381           2
      2.3865802      0.6809366           2
      2.3902938      0.4928820           2
      2.3940074      0.4773036           2
      2.3977211      0.5556587           2
      2.4014344      0.3821064           2
      2.4051480      0.6208890           2
      2.4088616      0.9550293           2
      2.4125752      0.6934763           2
      2.4162889      0.6686877           2
      2.4200022      0.6343007           2
      2.4237158      0.5976861           2
      2.4274294      0.5341814           2
      2.4311430      0.3422665           2
      2.4348567      0.4129581           2
      2.4385700      0.3170120           2
      2.4422836      0.6132425           2
      2.4459972      0.7648062           2
      2.4497108      0.5729400           2
      2.4534245      0.6097649           2
      2.4571378      0.5846493           2
      2.4608514      0.4225560           2
      2.4645650      0.6657756           2
      2.4682786      0.7170045           2
      2.4719923      0.3419427           2
      2.4757056      0.4641377           2
      2.4794192      0.7137310           2
      2.4831328      0.6119420           2
      2.4868464      0.5289311           2
      2.4905598      0.3870339           2
      2.4942734      0.3220195           2
      2.4979870      0.4616968           2
      2.5017006      0.6220098           2
      2.5054142      0.6442355           2
      2.5091276      0.6171650           2
      2.5128412      0.5211173           2
      2.5165548      0.6101979           2
      2.5202684      0.4470180           2
      2.5239820      0.4117247           2
      2.5276954      0.6501104           2
      2.5314090      0.5314158           2
      2.5351226      0.5456836           2
      2.5388362      0.3411583           2
      2.5425498      0.6114687           2
      2.5462632      0.8911715           2
      2.5499768      0.6967347           2
      2.5536904      0.9481900           2
      2.5574040      0.6653528           2
      2.5611176      0.5376846           2
      2.5648310      0.8465573           2
      2.5685446      0.7878906           2
      2.5722582      0.7763848           2
      2.5759718      0.6115185           2
      2.5796854      0.4138083           2
      2.5833988      0.6679593           2
      2.5871124      0.6826898           2
      2.5908260      0.7470332           2
      2.5945396      0.4388608           2
      2.5982530      0.6504446           2
      2.6019666      0.6208334           2
      2.6056802      0.4101175           2
      2.6093938      0.3651074           2
      2.6131074      0.3931582           2
      2.6168208      0.6140598           2
      2.6205344      0.5070294           2
      2.6242480      0.2547964           2
      2.6279616      0.6019185           2
      2.6316752      0.9285137           2
      2.6353886      0.4755417           2
      2.6391022      0.5626898           2
      2.6428158      0.7349278           2
      2.6465294      0.5971905           2
      2.6502430      0.4236194           2
      2.6539564      0.6267111           2
      2.6576700      0.5843860           2
      2.6613836      0.3007117           2
      2.6650972      0.4461378           2
      2.6688108      0.8369969           2
      2.6725242      0.6872944           2
      2.6762378      0.4877358           2
      2.6799514      0.3927521           2
      2.6836650      0.5518250           2
      2.6873786      0.4580648           2
      2.6910920      0.5968686           2
      2.6948056      0.7880899           2
      2.6985192      0.8618740           2
      2.7022328      0.8210350           2
      2.7059462      0.5058557           2
      2.7096598      0.7190676           2
      2.7133734      0.8227078           2
      2.7170870      1.0947969           2
      2.7208006      1.2729136           2
      2.7245140      1.2859958           2
      2.7282276      1.2192357           2
      2.7319412      1.0559586           2
      2.7356548      0.9029576           2
      2.7393684      0.5480074           2
      2.7430818      0.7615901           2
      2.7467954      0.9452664           2
      2.7505090      0.6385468           2
      2.7542226      0.5502919           2
      2.7579362      0.6496965           2
      2.7616496      0.6162661           2
      2.7653632      0.9233573           2
      2.7690768      1.0543625           2
      2.7727904      0.7578050           2
      2.7765040      0.6881508           2
      2.7802174      0.7395670           2
      2.7839310      0.6568757           2
      2.7876446      0.5257007           2
      2.7913582      0.4816158           2
      2.7950718      0.5356804           2
      2.7987852      0.8099858           2
      2.8024988      0.9625021           2
      2.8062124      1.0098521           2
      2.8099260      0.5728090           2
      2.8136396      0.6330134           2
      2.8173530      0.8461601           2
      2.8210666      0.7881867           2
      2.8247802      0.7577247           2
      2.8284938      0.4065965           2
      2.8322072      0.5308770           2
      2.8359208      1.0329318           2
      2.8396344      1.0424941           2
      2.8433480      0.9835285           2
      2.8470616      0.6214523           2
      2.8507750      1.4630148           2
      2.8544886      1.0191995           2
      2.8582022      0.3227910           2
      2.8619158      0.5507510           2
      2.8656294      0.7629417           2
      2.8693428      1.0000653           2
      2.8730564      1.0844280           2
      2.8767700      0.5038387           2
      2.8804836      0.6530720           2
      2.8841972      0.8935851           2
      2.8879106      1.4927721           2
      2.8916242      1.2124932           2
      2.8953378      0.7792908           2
      2.8990514      0.5598134           2
      2.9027650      0.4352376           2
      2.9064784      0.4353758           2
      2.9101920      0.6792995           2
      2.9139056      0.8445605           2
      2.9176192      1.4392569           2
      2.9213328      1.1224273           2
      2.9250462      0.9894820           2
      2.9287598      1.2167103           2
      2.9324734      1.4007633           2
      2.9361870      1.6446114           2
      2.9399004      1.5964510           2
      2.9436140      0.8242302           2
      2.9473276      0.6889202           2
      2.9510412      0.6347352           2
      2.9547548      0.8570186           2
      2.9584682      1.1713938           2
      2.9621818      0.5435039           2
      2.9658954      0.9358488           2
      2.9696090      0.7657330           2
      2.9733226      0.8323156           2
      2.9770360      1.2140582           2
      2.9807496      0.7599612           2
      2.9844632      0.5952767           2
      2.9881768      1.0761235           2
      2.9918904      1.1542898           2
      2.9956038      0.6882250           2
      2.9993174      0.8053985           2
      3.0030310      1.0860646           2
      3.0067446      1.5519693           2
      3.0104582      1.1877742           2
      3.0141716      1.1002216           2
      3.0178852      1.0290310           2
      3.0215988      1.0811141           2
      3.0253124      0.9303427           2
      3.0290260      0.8681008           2
      3.0327394      0.9013016           2
      3.0364530      0.6629758           2
      3.0401666      1.2556895           2
      3.0438802      1.7262733           2
      3.0475936      0.9679952           2
      3.0513072      1.0284290           2
      3.0550208      1.0556008           2
      3.0587344      0.8487875           2
      3.0624480      1.0760658           2
      3.0661614      1.0030454           2
      3.0698750      0.4298803           2
      3.0735886      0.5765809           2
      3.0773022      0.8280433           2
      3.0810158      1.0254198           2
      3.0847292      0.9656395           2
