#      Q            S_cl-cl(Q)
      0.0012379      0.2900946
      0.0024757      0.0933755
      0.0037136      0.1462222
      0.0049514      0.1306494
      0.0061893      0.1175710
      0.0074271      0.0957778
      0.0086650      0.1501414
      0.0099028      0.0855246
      0.0111407      0.1404038
      0.0123785      0.1193376
      0.0136164      0.1224650
      0.0148542      0.1355941
      0.0160921      0.1193039
      0.0173299      0.1804754
      0.0185678      0.1282179
      0.0198056      0.1498962
      0.0210435      0.1339538
      0.0222814      0.2087507
      0.0235192      0.2394799
      0.0247571      0.2727606
      0.0259949      0.3175992
      0.0272328      0.3641111
      0.0284706      0.4840467
      0.0297085      0.7822919
      0.0309463      0.7624969
      0.0321842      1.0508306
      0.0334220      1.5905205
      0.0346599      2.4910483
      0.0358977      2.9813311
      0.0371356      2.7344477
      0.0383734      3.1493218
      0.0396113      2.0220780
      0.0408491      1.6212003
      0.0420870      1.1540345
      0.0433249      0.9272512
      0.0445627      0.9602985
      0.0458006      0.7789612
      0.0470384      0.6666844
      0.0482763      0.7106937
      0.0495141      0.5076548
      0.0507520      0.6035984
      0.0519898      0.7469743
      0.0532277      0.4732969
      0.0544655      0.6174977
      0.0557034      0.5220525
      0.0569412      0.6617066
      0.0581791      0.7394944
      0.0594169      0.6685134
      0.0606548      0.8475418
      0.0618926      0.7147050
      0.0631305      0.9812040
      0.0643683      1.0370183
      0.0656062      1.3082289
      0.0668441      1.2444087
      0.0680819      1.1280601
      0.0693198      1.1438897
      0.0705576      1.3986466
      0.0717955      1.4430463
      0.0730333      1.4129311
      0.0742712      1.4567775
      0.0755090      1.2000979
      0.0767469      1.3593490
      0.0779847      1.1069536
      0.0792226      1.1178106
      0.0804604      0.9670976
      0.0816983      0.9028952
      0.0829361      0.8916362
      0.0841740      0.8774650
      0.0854118      0.7824063
      0.0866497      0.7342670
      0.0878876      0.8502324
      0.0891254      0.6674964
      0.0903633      0.8338409
      0.0916011      0.7733757
      0.0928390      0.7305657
      0.0940768      0.8340647
      0.0953147      0.8365310
      0.0965525      0.9592075
      0.0977904      1.0040127
      0.0990282      0.9516203
      0.1002661      1.0156765
      0.1015039      0.8734782
      0.1027418      0.9669414
      0.1039796      1.1578323
      0.1052175      1.0437688
      0.1064553      1.0412165
      0.1076932      1.2479826
      0.1089310      0.9368222
      0.1101689      1.2438130
      0.1114068      1.2835888
      0.1126446      1.0956331
      0.1138825      1.0478348
      0.1151203      0.9167444
      0.1163582      1.0142139
      0.1175960      1.0415519
      0.1188339      0.9204220
      0.1200717      0.8984168
      0.1213096      0.8609418
      0.1225474      0.8664993
      0.1237853      0.9467555
      0.1250231      0.9186325
      0.1262610      0.7804127
      0.1274989      0.8222880
      0.1287367      0.8155888
      0.1299745      0.9255407
      0.1312124      0.8933423
      0.1324503      0.9397071
      0.1336881      0.9450172
      0.1349260      0.9371619
      0.1361638      0.9936453
      0.1374017      1.1031462
      0.1386395      1.0236549
      0.1398774      1.0790566
      0.1411152      1.0573092
      0.1423531      1.0499145
      0.1435909      0.9623277
      0.1448288      1.0113773
      0.1460666      1.1572554
      0.1473045      1.0874046
      0.1485423      1.1103153
      0.1497802      1.1758493
      0.1510181      0.9984862
      0.1522559      0.9843484
      0.1534937      0.9958925
      0.1547316      0.9148625
      0.1559695      1.0351106
      0.1572073      0.7956221
      0.1584452      0.9212510
      0.1596830      1.0188212
      0.1609209      0.9280847
      0.1621587      1.0318271
      0.1633966      0.8798230
      0.1646344      0.9015411
      0.1658723      0.9489230
      0.1671101      1.0038358
      0.1683480      1.0071734
      0.1695858      0.9971736
      0.1708237      1.0344254
      0.1720615      1.0123681
      0.1732994      0.9845504
      0.1745373      0.9379745
      0.1757751      0.9863057
      0.1770130      0.9955887
      0.1782508      1.1299186
      0.1794887      1.0047133
      0.1807265      1.1491649
      0.1819644      1.1132823
      0.1832022      1.0795438
