#    Conf       T(K)      KE (eV)        PE (eV)         Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
      188     2149.72021     7682.35059  -145187.76563  -100632.54688   -98911.20313  -115965.01563   -87021.42188     1562.74500    11060.87793    -4733.19678
      190     2188.90186     7822.37158  -145333.73438  -104083.84375  -113408.49219  -117122.53906   -81720.49219     9756.16992    -5174.99756    -6368.46094
      192     2258.03296     8069.42236  -145581.90625  -111601.96875  -132918.40625  -115719.30469   -86168.19531    17607.86133   -20259.05469   -20088.96875
      194     2315.33252     8274.19141  -145787.01563  -119340.28125  -145587.34375  -107910.86719  -104522.64063    17878.87891   -23844.02539   -27946.19141
      196     2331.95483     8333.59375  -145850.54688  -124302.07031  -155002.50000   -92583.00000  -125320.71094    10992.35059   -17965.84375   -19461.49609
      198     2253.33057     8052.61768  -145566.14063  -125493.00781  -164852.29688   -71330.07031  -140296.65625    -1982.65967   -11632.19336     -634.12311
      200     2131.92383     7618.75293  -145125.39063  -124435.50781  -168410.82813   -56518.35547  -148377.34375   -17800.10547    -9247.42773    13767.16406
      202     2047.87659     7318.39648  -144825.70313  -122670.01563  -162664.60938   -55914.14844  -149431.29688   -26404.00000    -8421.64941    20478.40625
      204     1990.08057     7111.85400  -144617.15625  -119267.46094  -150297.28125   -58766.52344  -148738.56250   -28115.89453    -7844.94678    23285.03906
      206     1980.15723     7076.39111  -144579.39063  -117234.71875  -136849.40625   -65364.33984  -149490.40625   -29947.46680    -6542.55908    19040.89258
      208     2041.10144     7294.18506  -144799.51563  -118969.27344  -131174.57813   -70488.53125  -155244.71875   -27794.81836     1913.67334     8477.86523
      210     2131.89966     7618.66650  -145132.14063  -122500.87500  -136758.59375   -70636.56250  -160107.46875   -20658.62305    11837.12793    -1551.54651
      212     2140.59229     7649.73047  -145164.65625  -122180.13281  -140526.12500   -64339.45313  -161674.81250   -14519.35352    19647.51563    -8900.48242
      214     2052.31592     7334.26172  -144842.85938  -117191.00781  -134786.64063   -58132.45703  -158653.93750   -10473.78320    25479.36719   -15896.31348
      216     1951.19580     6972.89355  -144476.45313  -111954.88281  -127690.14844   -58480.26563  -149694.25000    -7292.21436    28842.73828   -23170.60938
      218     1893.05542     6765.12012  -144267.95313  -108901.21094  -129426.88281   -58424.55859  -138852.18750    -7922.80371    28525.54883   -25410.73438
      220     1879.60962     6717.06982  -144221.81250  -107763.66406  -133491.84375   -55602.68750  -134196.45313    -8210.19727    28980.86133   -26405.11133
      222     1872.31677     6691.00732  -144196.85938  -106540.89063  -131186.03125   -51928.83984  -136507.79688    -5697.19092    28954.76758   -24599.60742
      224     1858.88574     6643.00928  -144146.35938  -104649.96094  -123226.44531   -54241.53125  -136481.90625     -350.60416    28884.44922   -20169.00195
      226     1860.16956     6647.59717  -144153.89063  -103161.07813  -114895.51563   -67448.83594  -127138.88281     3795.66675    26782.51953   -17224.08984
      228     1855.80042     6631.98389  -144135.78125  -101612.75781  -111255.82813   -84185.50781  -109396.94531     4397.44580    22096.28125   -14003.61133
      230     1875.62927     6702.84521  -144207.20313  -101848.71094  -114792.26563   -97417.73438   -93336.13281     3761.83276    20224.71094   -11578.39746
      232     1935.56750     6917.04346  -144421.71875  -104103.42969  -122238.70313  -106125.32813   -83946.25781     8791.33301    22571.03320   -10751.23730
      234     2021.83948     7225.34912  -144733.93750  -107479.98438  -130264.72656  -109209.23438   -82965.98438    14136.66895    27242.99023    -6779.28809
      236     2069.88599     7397.05078  -144911.43750  -109798.54688  -137537.95313  -104502.01563   -87355.66406    14738.78320    32602.74414    -3158.72241
      238     2016.58801     7206.58252  -144715.76563  -108646.95313  -137683.06250   -96010.70313   -92247.09375    11571.88867    35022.25391    -3392.90576
      240     1936.21057     6919.34131  -144422.23438  -106208.09375  -128011.60938   -92956.83594   -97655.83594    10765.38770    29862.59375    -4030.12476
      242     1918.67529     6856.67676  -144359.87500  -105813.44531  -114775.82813   -96349.40625  -106315.10938    11267.99121    20307.94141    -3297.16602
      244     1966.85071     7028.83838  -144537.53125  -107656.93750  -105976.48438  -103942.78906  -113051.53906     7334.33203    13991.52051    -9323.47363
      246     2015.31665     7202.03906  -144711.71875  -108612.47656  -100651.71094  -108677.11719  -116508.60938     3513.64673    11760.65723   -18152.35742
      248     2048.98535     7322.35889  -144830.32813  -108246.82031  -101722.17188  -104383.02344  -118635.25781    -2594.69482    12044.07227   -23799.89844
      250     2102.49414     7513.58105  -145022.67188  -109337.82031  -109883.99219   -94869.53125  -123259.93750   -18410.55664    13914.50586   -26696.72266
      252     2164.76050     7736.09912  -145249.14063  -112001.01563  -117425.75781   -85400.84375  -133176.45313   -36842.91797    10294.35645   -28493.18750
      254     2188.80737     7822.03467  -145335.28125  -114386.12500  -119521.84375   -77566.89844  -146069.64063   -39620.06250     2959.69580   -24462.51563
      256     2168.32642     7748.84229  -145260.23438  -114846.37500  -117677.93750   -73655.19531  -153206.00000   -24462.24219     -437.27390   -15847.14941
      258     2125.03223     7594.12402  -145105.26563  -112375.74219  -114351.35938   -75911.85938  -146864.01563    -4852.41797    -3124.82886    -9502.79199
      260     2072.55420     7406.58643  -144913.95313  -108075.07031  -109087.05469   -78834.21875  -136303.93750     8445.73926    -6361.11670    -4127.09912
      262     2078.96265     7429.48779  -144934.31250  -106237.19531  -105887.02344   -88511.34375  -124313.21875    12899.47852   -11831.02930     4105.94531
      264     2164.04248     7733.53369  -145248.10938  -107426.32813  -102852.29688  -111984.12500  -107442.55469     8526.23145   -19391.27930    12085.98535
      266     2216.34570     7920.44678  -145431.20313  -106752.04688  -101688.21875  -125640.84375   -92927.08594      534.72296   -22315.72266    17171.38867
      268     2266.49268     8099.65479  -145610.73438  -105580.55469  -108269.18750  -120068.82031   -88403.67188     -169.13005   -18138.12109    10907.28809
      270     2308.56250     8249.99805  -145766.21875  -104990.69531  -118900.54688  -102779.82031   -93291.71875     9384.59082    -9973.56250    -1414.91187
      272     2279.66382     8146.72363  -145658.10938  -103013.43750  -116906.28906   -88845.31250  -103288.70313    19980.88477       26.37804    -7829.58057
      274     2232.26758     7977.34570  -145489.50000  -100676.88281  -101416.58594   -87260.32813  -113353.72656    23389.55859     8136.26318    -9416.70215
      276     2166.81738     7743.45020  -145255.48438   -97548.69531   -86444.18750   -87639.14844  -118562.75000    17238.66797     9427.13184    -5185.87354
      278     2077.01196     7422.51709  -144930.73438   -94626.95313   -85232.75781   -84912.73438  -113735.35938    -1056.33521     6166.91748     3438.82788
      280     2005.61609     7167.37256  -144672.18750   -93379.78906   -90767.18750   -81188.55469  -108183.61719   -16440.49414     3056.24585    12201.10938
      282     1988.40881     7105.87988  -144613.18750   -93684.58594   -96682.10156   -80699.42969  -103672.21875   -19419.41797     1728.65149    15924.05469
      284     1989.36145     7109.28418  -144617.85938   -93959.98438   -99666.73438   -84748.32031   -97464.89844   -13064.82031     2085.90088    14347.21973
      286     1986.44556     7098.86377  -144605.15625   -93727.21875   -97541.61719   -91263.00000   -92377.05469    -5602.16016     6631.94092    10527.20996
      288     1999.26379     7144.67139  -144652.84375   -93361.06250   -90322.94531   -97890.21094   -91870.02344    -1414.33398    14500.56445     8505.33203
      290     1998.60852     7142.32959  -144653.43750   -90968.53125   -78158.11719  -102285.11719   -92462.36719     -556.61932    22503.05273    13194.44922
