#         w(THz)       w(meV)            Z(w)
      193.35899      799.53949        0.00046
      194.33554      803.57745        0.00090
      195.31212      807.61566        0.00042
      196.28867      811.65369        0.00085
      197.26523      815.69177        0.00054
      198.24179      819.72986        0.00079
      199.21835      823.76794        0.00081
      200.19490      827.80597        0.00059
      201.17148      831.84412        0.00091
      202.14803      835.88214        0.00053
      203.12460      839.92029        0.00087
      204.10115      843.95831        0.00043
      205.07770      847.99634        0.00066
      206.05428      852.03448        0.00057
      207.03084      856.07251        0.00045
      208.00740      860.11066        0.00080
      208.98396      864.14868        0.00033
      209.96051      868.18677        0.00081
      210.93709      872.22485        0.00040
      211.91364      876.26294        0.00062
      212.89018      880.30096        0.00059
      213.86676      884.33911        0.00040
