# Cluster    x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
  317   399.77405   257.73166   311.08286     0.11696     0.32521     0.22693     0.22838     0.31881
  318   588.06482   131.37480   463.15485     0.12837     0.18215     0.26631     0.22926     0.30455
  319    31.37353   360.36401   333.79962     0.08833     0.20492     0.17242     0.16085     0.32635
  320   155.55963   455.46860   644.24847     0.10651     0.28581     0.26380     0.20698     0.28803
  321   608.13647   611.71875   154.14189     0.11818     0.21232     0.24937     0.14945     0.29003
  322   318.86707   599.14038   576.66003     0.05454     0.34664     0.11735     0.20078     0.33718
  323   639.45715   584.83447   412.33566     0.10546     0.25071     0.22544     0.22980     0.28682
  324   270.61307   279.40359   228.37918     0.05077     0.24296     0.20000     0.17595     0.26537
  325   503.04489   582.03265   151.87164     0.12691     0.32474     0.29455     0.26308     0.35622
  326   504.78027   509.39752   323.85706     0.05316     0.30194     0.24327     0.23076     0.28179
  327   431.43219   197.05769    92.92233     0.15095     0.25276     0.33262     0.28044     0.30856
  328    64.71264   587.81897   602.56836     0.06893     0.30224     0.16779     0.24820     0.20834
  329   341.02466   408.72101   159.35876     0.08285     0.22362     0.19880     0.19677     0.20169
  330   562.76282    25.90224   496.93073     0.05413     0.29123     0.18820     0.18892     0.30357
  331   576.78369   540.26855   368.01743     0.06036     0.19647     0.19863     0.25421     0.30334
  332    80.12418   564.81158   421.83862     0.08359     0.27053     0.19243     0.22583     0.29630
  333    54.34095    72.99723   277.35660     0.08183     0.37000     0.23626     0.24144     0.39511
  334   590.97418   476.20871    49.93290     0.09880     0.33709     0.21532     0.21054     0.33266
  335   625.88995   205.71321   496.74121     0.09455     0.25776     0.24188     0.22440     0.39820
  336    58.43135    54.09673   494.91409     0.09369     0.30937     0.31858     0.25356     0.33196
  337   557.79919   205.97639   340.31699     0.12483     0.31541     0.27922     0.28692     0.36896
  338   148.29927   591.48962   565.21741     0.08076     0.26472     0.19001     0.23274     0.35698
  339   497.65411    35.89085   346.67117     0.11422     0.21993     0.27692     0.23794     0.31143
  340   545.73425   285.96979   477.26157     0.12562     0.32424     0.24365     0.22508     0.38104
  341   649.73792   191.88760   199.00426     0.08241     0.30096     0.21712     0.20415     0.30660
  342   343.54553   536.77325   531.04205     0.07411     0.33309     0.25781     0.24754     0.35985
  343   448.71692    32.31781   274.08047     0.08591     0.33763     0.27724     0.23534     0.23714
  344   123.87326   374.56613   500.10406     0.08070     0.32125     0.22209     0.30560     0.36152
  345   383.97470   278.80093   464.69604     0.10745     0.26191     0.22333     0.22057     0.35456
  346   545.16730   264.33426   654.30481     0.11467     0.22145     0.22996     0.17921     0.35450
  347   360.91742   594.88257   653.38116     0.07425     0.35361     0.16320     0.19820     0.28070
  348   643.50842   235.80275   120.59950     0.11635     0.19533     0.18275     0.18936     0.24600
  349    95.17599   648.22888   272.63437     0.06734     0.27410     0.26591     0.17149     0.23494
  350    50.16216   317.44125   639.44458     0.17181     0.36232     0.26745     0.25481     0.33486
  351   371.95712   513.42706   382.14609     0.08819     0.19825     0.20511     0.18240     0.26563
  352   183.44403    87.50656   527.61621     0.12772     0.31669     0.27207     0.32787     0.35920
  353    57.60314   400.07211   658.53168     0.04572     0.25096     0.26101     0.16249     0.25192
  354   414.23624   378.76004    99.13757     0.12301     0.17278     0.21095     0.19145     0.23576
  355    19.37473   510.29419   382.97903     0.05694     0.25294     0.19989     0.16622     0.29910
  356   407.10138   556.76697   581.87183     0.12295     0.23134     0.28168     0.28077     0.35000
  357   581.99402   243.76476   563.81384     0.05431     0.18651     0.19488     0.15108     0.26237
  358   119.54200   245.56070   542.06982     0.07544     0.21454     0.17596     0.13337     0.30128
  359   263.87204   266.69659    81.69416     0.10174     0.27524     0.18366     0.21540     0.29836
  360    36.01163   309.91263   418.78479     0.09754     0.24562     0.17264     0.21721     0.27949
  361   564.67896   291.04367   129.06738     0.06549     0.30736     0.13417     0.20337     0.30066
  362    85.82611   465.00565   589.51666     0.06583     0.19742     0.21931     0.22481     0.29388
  363    30.44795    79.62751    16.14248     0.06982     0.18867     0.23090     0.18530     0.24864
  364   205.49518   255.62012   495.06119     0.13004     0.33669     0.23064     0.20716     0.26357
  365   610.22021   293.23935    56.85036     0.08101     0.21792     0.13415     0.18331     0.24271
  366   139.49557    70.71218   283.97729     0.04977     0.26728     0.25078     0.18593     0.28739
  367   415.49777   449.25751   173.14738     0.04149     0.23807     0.20936     0.18442     0.25360
  368     7.94950     9.91057   117.73009     0.14706     0.23283     0.22620     0.20034     0.40815
  369   542.63885   485.65015   636.32410     0.10165     0.22050     0.26783     0.18877     0.32147
  370   231.21031   622.24707   574.21143     0.14173     0.21130     0.22414     0.24432     0.29834
  371   563.17419   449.30365   481.71295     0.09415     0.27938     0.30355     0.25572     0.32297
  372     1.90580   232.96410   424.09656     0.08028     0.26448     0.23171     0.25141     0.40053
  373   437.02426   606.95203   518.35498     0.12035     0.33605     0.23510     0.25253     0.35623
  374    70.17594   170.59273    46.32701     0.10233     0.32380     0.21412     0.26625     0.31149
  375   654.09143   322.13632   132.64734     0.09457     0.28354     0.29000     0.19581     0.26384
  376   507.06421   154.24832   451.52014     0.07269     0.19724     0.18233     0.21281     0.30292
  377   137.75812   621.91028   646.90741     0.07726     0.26369     0.23150     0.19861     0.29480
  378   124.77116   594.18353    71.18937     0.07869     0.28893     0.18641     0.20259     0.29948
  379   377.37793   332.44913   347.39963     0.12671     0.27863     0.18433     0.21819     0.33595
  380   634.34930   160.49277   380.62445     0.12294     0.26601     0.24057     0.21372     0.28082
  381     1.64850   533.11969   177.34494     0.13118     0.27417     0.21452     0.20772     0.34045
  382   363.62820   248.87105   229.08701     0.14591     0.33227     0.16732     0.25381     0.38474
  383    63.01012   216.96416   490.80908     0.19677     0.27476     0.21811     0.24788     0.31803
  384   499.13007   268.37076   547.75055     0.13802     0.15269     0.15584     0.25912     0.27904
  385   476.84952   471.02643   504.61087     0.11889     0.24397     0.14600     0.20786     0.23652
  386   575.22321    27.95757   188.87569     0.09086     0.21488     0.23199     0.30287     0.28934
  387   610.02130   505.72812   442.10822     0.05745     0.25378     0.21495     0.19061     0.26407
  388   268.91428   148.42867   294.24707     0.04846     0.25224     0.22923     0.21084     0.36001
  389   359.09894   627.00092   494.90833     0.07217     0.24195     0.29440     0.22257     0.28282
  390   159.84038   530.20374   406.30884     0.10413     0.19969     0.15743     0.19570     0.26855
  391    10.95463   652.08051   294.52878     0.07976     0.18148     0.24421     0.17065     0.28942
  392   346.22720   259.81567   536.99152     0.13145     0.24929     0.31281     0.27110     0.35785
  393   552.03809   600.38373   220.05659     0.07928     0.20911     0.27953     0.25480     0.31628
  394   501.15469   405.52084   449.74112     0.05670     0.26805     0.28685     0.26169     0.32321
  395   309.73611   606.47565    65.80929     0.08553     0.36187     0.25441     0.23625     0.39798
  396   356.19144   383.85284    33.17625     0.06738     0.28131     0.18696     0.14921     0.24491
  397   296.41351   604.31409   359.27243     0.08285     0.26771     0.24021     0.21865     0.30864
  398   168.99509   265.28290   384.58978     0.05769     0.26148     0.20309     0.19912     0.29973
  399   138.15228   304.44421   304.00287     0.12194     0.19488     0.16636     0.21046     0.32106
  400   129.03653   604.90253   484.81253     0.09197     0.25564     0.25337     0.22026     0.26865
  401   113.60356   330.92078   378.82870     0.08353     0.26638     0.22768     0.18862     0.34709
  402   340.87674   261.37811   376.35629     0.07902     0.34414     0.13745     0.19693     0.32528
  403    45.53622   197.04355   350.00195     0.11728     0.35086     0.29817     0.26309     0.35621
  404   300.06168    23.72914   304.63983     0.10808     0.27046     0.26657     0.25001     0.37187
  405   643.98761    90.17059    83.44357     0.13934     0.28833     0.23098     0.27944     0.28773
  406   134.56827   289.69992   619.49243     0.10314     0.21525     0.15151     0.19451     0.28754
  407   351.66507   128.19804   495.23871     0.06214     0.28937     0.24003     0.22021     0.34734
  408   514.74518   328.01938   189.72009     0.10689     0.28674     0.16942     0.22481     0.38216
  409   137.16388    31.25680   491.68546     0.08335     0.26032     0.17890     0.21170     0.28474
  410   523.77527   344.94986   385.15009     0.10147     0.23343     0.14741     0.20128     0.33022
  411   427.64896   550.81946   169.65556     0.11993     0.23319     0.16841     0.27311     0.32415
  412   302.81305   336.00522   389.79437     0.07482     0.30659     0.20575     0.20400     0.30926
  413   193.65332   489.05423   323.11218     0.11090     0.21690     0.21442     0.20956     0.30719
  414    61.32333   318.67773   258.94708     0.07468     0.22848     0.21666     0.21306     0.29397
  415   218.90062   272.96109   154.85303     0.08420     0.25746     0.20020     0.21135     0.42400
  416   315.29755   317.46198   594.68835     0.05794     0.20034     0.23474     0.17882     0.27737
  417   428.36139   218.58588   580.13525     0.10443     0.20562     0.27791     0.22144     0.27388
  418   281.15482    85.19522    80.91380     0.10033     0.26000     0.16145     0.22936     0.28654
  419   224.06377   322.05023   440.01624     0.13603     0.28471     0.25323     0.23365     0.30672
  420   168.24031   502.94760   565.09253     0.06789     0.27165     0.20336     0.13552     0.25337
  421   528.76471   120.73981   634.04041     0.07369     0.29428     0.17577     0.24331     0.34633
  422   434.84653   110.61225   244.75452     0.04757     0.27196     0.18429     0.22261     0.29283
  423   449.27792   398.41852   556.23981     0.13065     0.27417     0.14684     0.25350     0.30282
  424   148.83936    58.89952   134.74138     0.05770     0.24528     0.13240     0.21920     0.32182
  425   529.81940   121.21938   378.22141     0.08652     0.18461     0.25249     0.21448     0.30304
  426   369.67496   119.07117   197.09245     0.09347     0.34863     0.21556     0.25830     0.29354
  427   438.10983   103.26096   483.47629     0.04372     0.25227     0.15012     0.17250     0.25423
  428   558.23907   283.64139   327.34445     0.09547     0.20232     0.19429     0.19508     0.26025
  429   342.10544   324.17517    86.23106     0.09924     0.28998     0.25854     0.23614     0.36498
  430    38.31503   498.27548   653.62317     0.06953     0.20770     0.27497     0.21878     0.31986
  431    76.26975   158.96484   431.46191     0.07735     0.24958     0.21169     0.19337     0.31557
  432   202.79102   543.64191   497.88004     0.11577     0.24322     0.14690     0.19196     0.28680
  433   556.96991   577.36877   439.31122     0.09340     0.21514     0.22328     0.17756     0.29174
  434   468.55408   323.66080   443.41949     0.10751     0.17091     0.22448     0.19537     0.35497
  435   245.76070    61.12448   478.81494     0.09916     0.26232     0.21773     0.18852     0.24432
  436   409.33572   601.06396   435.05408     0.05551     0.26607     0.23088     0.25314     0.35077
  437   593.64282   652.55164   265.07538     0.07416     0.31076     0.23016     0.29290     0.36035
  438   248.88921   413.67163   355.83380     0.15628     0.28268     0.28206     0.21661     0.26244
  439    80.86591   425.62180   356.93686     0.09771     0.20489     0.20731     0.22745     0.29858
  440   220.85503   467.73965   420.36533     0.09055     0.30569     0.26422     0.21747     0.31868
  441   400.12799    17.62150   190.54710     0.09850     0.32275     0.30605     0.26340     0.38343
  442   562.35492   559.71259   289.13333     0.06112     0.28536     0.24491     0.25527     0.33025
  443   474.26996    61.12451   194.77002     0.08502     0.27231     0.23861     0.23567     0.25798
  444   148.78346   370.93362   148.61308     0.08491     0.26537     0.19622     0.20922     0.28360
  445   635.85120   246.32542   337.87851     0.15837     0.35810     0.25236     0.30140     0.40818
  446   536.63599   212.71182   501.04932     0.08509     0.28685     0.16489     0.23674     0.28808
  447    32.43773   478.44421   298.28159     0.04389     0.30755     0.25575     0.22594     0.31871
  448   546.49231   556.76147    20.77492     0.11521     0.22887     0.21443     0.22057     0.32633
  449   152.09627   167.60335   383.03177     0.05752     0.26896     0.21250     0.21642     0.30494
  450   361.46500   417.75052   387.09192     0.10542     0.18026     0.19413     0.16815     0.32473
  451   355.34921   223.95464   623.49506     0.16970     0.25872     0.35145     0.29246     0.33872
  452   120.91279   243.90648    36.68028     0.07380     0.25760     0.17124     0.17618     0.29541
  453   431.47992   459.07904   341.07431     0.11137     0.36160     0.24492     0.24658     0.35092
  454   159.39050   418.30966   563.11243     0.06361     0.27661     0.18804     0.19125     0.31893
  455   577.00793   130.14369    58.78522     0.07963     0.24537     0.23109     0.20035     0.33836
  456   339.52850   197.37276   440.24252     0.10497     0.29080     0.29593     0.23469     0.36037
  457   446.08044   150.05049   633.10010     0.11486     0.29012     0.23165     0.22309     0.29395
  458   344.38266    11.38236   100.59452     0.10267     0.26025     0.29226     0.25452     0.30830
  459   170.62059   199.28349   240.70290     0.11253     0.20366     0.21155     0.19431     0.25651
  460   506.04034   168.82199    33.41457     0.07017     0.30215     0.24736     0.27351     0.37540
  461   223.14758    32.03609    95.26204     0.11655     0.26589     0.21000     0.27197     0.32246
  462   642.30957   414.21118   273.66290     0.05493     0.22035     0.20879     0.21381     0.29068
  463   297.05130    10.93743   536.21057     0.11516     0.32494     0.25103     0.31147     0.41831
  464   515.02972   423.73508   355.73630     0.11527     0.34962     0.20964     0.22273     0.40330
  465    90.43851   477.87225   427.65857     0.07031     0.33389     0.18481     0.23536     0.30172
  466   188.56047   617.53119   414.69891     0.08067     0.24311     0.19513     0.19509     0.27139
  467    68.73476   441.81555   507.63937     0.06886     0.21227     0.24738     0.20262     0.21816
  468   448.89572   103.28645   390.22705     0.07749     0.35041     0.16111     0.24290     0.29238
  469   644.93030    33.87049   466.98535     0.15546     0.22474     0.19931     0.26094     0.28026
  470   165.55040    13.13256   571.18719     0.11335     0.24733     0.27377     0.21283     0.29453
  471   567.40125   217.29263    71.78998     0.14777     0.15312     0.16605     0.20282     0.30357
  472   554.34875   607.14496    86.53014     0.09863     0.13968     0.24703     0.27876     0.35133
  473   275.34250   562.33618   129.88307     0.10144     0.28867     0.23340     0.21742     0.33571
  474   119.36173   530.95355   635.43707     0.08984     0.22097     0.25069     0.18415     0.27987
  475    58.61945   567.61981   287.47845     0.08719     0.28515     0.23907     0.24055     0.28938
  476   640.13727   442.22781   645.95325     0.09872     0.31105     0.25514     0.19614     0.25261
  477   401.26337   598.55035   231.91685     0.10166     0.27407     0.23427     0.18931     0.31156
  478     0.06997   405.68686   133.46532     0.05261     0.30115     0.17428     0.18771     0.37040
  479   299.76981   472.65671   401.30316     0.10808     0.24090     0.18054     0.19918     0.35466
  480   305.87451   363.61795   232.06671     0.08305     0.23072     0.14775     0.18485     0.31985
  481   616.51563    87.78535   529.29456     0.07757     0.19298     0.20271     0.22374     0.27460
  482   379.78918   328.77936   259.28961     0.06209     0.29410     0.19939     0.19484     0.28636
  483    99.58622   508.34735   348.42731     0.11662     0.29288     0.25276     0.26430     0.32980
  484   603.05957   473.38504   580.01776     0.06379     0.23374     0.22194     0.22269     0.29452
  485   432.33032   657.84229   368.09637     0.06696     0.27417     0.30838     0.27729     0.29683
  486   363.72958   388.09702   548.66791     0.10099     0.34801     0.20211     0.28763     0.33621
  487   550.31482   441.62616   125.14089     0.08238     0.30436     0.21775     0.22212     0.36775
  488   180.85977   634.93054   137.20157     0.14596     0.29604     0.20149     0.25345     0.34198
  489    39.96959   610.06689   360.72699     0.06815     0.22121     0.22870     0.18992     0.27579
  490   370.56256   642.83868   301.59714     0.08695     0.26334     0.26263     0.21607     0.26574
  491   652.40985   429.42377   353.64749     0.10848     0.32532     0.22426     0.28838     0.39987
  492   465.99875   448.46198   100.50435     0.09519     0.31880     0.24273     0.18052     0.31310
  493   182.90845   628.44647   287.68604     0.06420     0.25923     0.24732     0.17833     0.25761
  494   646.30377   366.04578   208.03198     0.08728     0.40635     0.19384     0.28599     0.43295
  495   114.96696   300.78241   180.46535     0.08168     0.22360     0.19543     0.22445     0.32299
  496    90.77402   361.34180   578.67285     0.08499     0.23505     0.21096     0.23753     0.27448
  497   642.53638   167.32602   567.30048     0.10248     0.28631     0.16081     0.19904     0.35453
  498   286.24078    86.98406   249.47179     0.06361     0.20241     0.23550     0.22720     0.32312
  499   648.93500    16.10464   383.59238     0.11512     0.27965     0.21176     0.20193     0.33349
  500   387.07764   508.97400   228.71231     0.10458     0.32944     0.25417     0.19062     0.30647
  501   349.80545   475.15939   309.43173     0.09398     0.18477     0.25505     0.15942     0.25586
  502   129.15218    47.94786   649.23431     0.07969     0.22061     0.25367     0.21482     0.30886
  503   266.39838    58.21153   398.47867     0.10742     0.27607     0.17481     0.18174     0.23708
  504   115.00906    93.93742    61.30883     0.06657     0.26671     0.25695     0.20372     0.31680
  505   217.81104   282.81854   302.82104     0.19683     0.38974     0.27806     0.28888     0.42654
  506   608.61810   539.80414   524.83264     0.08846     0.25276     0.28336     0.26802     0.31215
  507   209.44186   570.96490   340.76395     0.07695     0.29854     0.23718     0.21694     0.35663
  508   456.63980   310.74448   349.41977     0.10872     0.31156     0.16845     0.21434     0.36564
  509    69.53975   313.71118   115.64956     0.09703     0.27183     0.17016     0.21256     0.27165
  510   604.96997   435.00842   200.36632     0.08759     0.25333     0.24025     0.17096     0.34310
  511   540.70703   517.23328   501.03308     0.06840     0.29606     0.15931     0.28725     0.30744
  512   320.15402   467.42892   211.64632     0.07602     0.29985     0.24287     0.19984     0.26816
  513   514.88861   165.10367   284.71240     0.05437     0.19580     0.22183     0.16491     0.27455
  514   438.52222   614.63190   299.52173     0.18320     0.25294     0.20891     0.23114     0.37597
  515   287.53354   128.31944   154.66957     0.08362     0.32272     0.20721     0.18234     0.35587
  516   599.50354    80.84104   400.44794     0.10050     0.27122     0.16864     0.25131     0.27859
  517   468.14389   112.43111   314.73544     0.10291     0.37876     0.26919     0.25817     0.36306
  518    71.60079   400.94772   270.55353     0.08235     0.31954     0.26945     0.23511     0.44707
  519   379.47421   589.64026   358.32251     0.12643     0.20048     0.16932     0.24770     0.29977
  520   514.64862   421.90567    36.75782     0.08062     0.25203     0.14547     0.19268     0.27725
  521   450.48788   318.88879   147.13525     0.09574     0.32659     0.23302     0.31325     0.41206
  522   628.39758   588.15503    49.10385     0.12015     0.23515     0.20397     0.25269     0.43306
  523   599.68042   159.75812   137.86752     0.07968     0.27257     0.23856     0.25345     0.24996
  524   472.82620   639.45752   212.87450     0.13512     0.32688     0.30906     0.26584     0.37648
  525   221.98071   460.02328    56.97195     0.10086     0.33503     0.30052     0.23370     0.33687
  526   174.49521   281.83167   233.76294     0.14994     0.23905     0.21711     0.22402     0.32958
  527   199.24553   343.07501   353.62772     0.09606     0.27054     0.30419     0.26320     0.36342
  528   253.34021   268.93484   372.98917     0.09254     0.38307     0.14481     0.28781     0.34420
  529   643.70496   367.59778   402.46854     0.07623     0.30593     0.19377     0.21815     0.32609
  530   403.38950   252.37523   150.43117     0.06953     0.30499     0.17829     0.29099     0.32998
  531    93.44154   536.59894   544.86963     0.08530     0.23484     0.24851     0.30038     0.27690
  532   519.12006    98.15743   505.04819     0.08241     0.38515     0.20120     0.29403     0.35518
  533   493.65466   222.44241   230.03027     0.15209     0.28339     0.25496     0.24941     0.38364
  534   238.19308   220.33543   264.69641     0.16132     0.19409     0.29358     0.23622     0.30324
  535   369.79431   448.63376   616.99994     0.08790     0.23739     0.21810     0.13752     0.32606
  536   287.66019   336.28860   150.21227     0.06760     0.24132     0.23209     0.20661     0.29160
  537   394.75986   294.86450   598.56683     0.14235     0.30970     0.25498     0.33300     0.37072
  538   288.50311   390.91602   528.79169     0.09940     0.30607     0.20437     0.24240     0.37869
  539   120.99229   468.29840   278.11121     0.09844     0.27629     0.22839     0.20676     0.32467
  540   519.29803   406.39914   277.49161     0.15344     0.24857     0.20896     0.27638     0.23393
  541   161.91692    89.19292   361.65097     0.14653     0.35056     0.17423     0.22442     0.38739
  542   193.06691   252.26125   573.98956     0.08542     0.36487     0.19881     0.25497     0.33538
  543    76.50206   530.24780    66.63166     0.07700     0.22566     0.23192     0.30907     0.30629
  544   230.92046   390.82639   578.56171     0.12575     0.29108     0.16923     0.23826     0.28712
  545   267.69308   421.99762   188.86562     0.09178     0.25268     0.22593     0.27504     0.28038
  546   126.56504   523.73883   479.31079     0.13258     0.28567     0.16316     0.21050     0.26654
  547   573.64777   407.92212   624.44220     0.10016     0.22663     0.19582     0.25135     0.35661
  548   240.81250   389.67847   577.98767     0.10886     0.25263     0.18436     0.23224     0.32655
