# Cluster    x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
   74    92.67908   457.61917    44.86437     0.09097     0.22558     0.23417     0.20783     0.28666
   75   548.85938   274.41425   248.28877     0.09321     0.20212     0.20368     0.21007     0.38739
   76   398.45227    65.83694   336.96237     0.11142     0.26255     0.23252     0.19118     0.20100
   77   596.52875   208.66341   264.95316     0.09979     0.24584     0.24472     0.20181     0.26838
   78   443.95618   116.98801   140.15323     0.10148     0.22397     0.22316     0.10489     0.31705
   79   518.16406   638.36151   285.36746     0.06284     0.25346     0.18590     0.19091     0.33146
   80   466.32291   578.04413   639.15411     0.14233     0.20206     0.22890     0.25701     0.27363
   81    73.61213    19.05745    60.43238     0.11639     0.26284     0.19921     0.16985     0.31976
   82   652.99707     2.47883   206.44504     0.14019     0.27444     0.22177     0.18439     0.30596
   83   561.82135    59.07988    10.35283     0.07158     0.26955     0.21406     0.24343     0.28174
   84   415.83633   518.82202    89.72781     0.14154     0.31304     0.26298     0.31233     0.37137
   85   502.26956    86.91091    74.09212     0.05674     0.30652     0.21853     0.21469     0.27778
   86   472.73630    23.58256   515.08441     0.08616     0.30843     0.21020     0.18447     0.31617
   87   145.49510   224.39017   165.57993     0.07494     0.22654     0.24349     0.21462     0.27677
   88    42.11887   625.28101   467.43921     0.07074     0.15421     0.20529     0.19311     0.28597
   89    10.98694   433.52841    59.31039     0.07065     0.29927     0.20703     0.23709     0.31435
   90    93.08441   643.77777   135.79533     0.12283     0.25607     0.15577     0.24106     0.23308
   91   419.77124   292.64206    77.62812     0.08909     0.24463     0.21784     0.21221     0.25407
   92   544.73792   476.50800   248.15665     0.07555     0.25998     0.23638     0.26463     0.35953
   93   142.51907   293.45590   102.14489     0.09450     0.29012     0.20693     0.16308     0.23100
   94     4.95078   443.35034   434.57336     0.07201     0.29849     0.17894     0.25319     0.38909
   95   523.72528   493.86880   417.56757     0.07715     0.14592     0.18107     0.21391     0.33999
   96    52.71399   477.19244   126.57758     0.05547     0.28107     0.19560     0.22305     0.25222
   97   109.65009    82.13887   425.04410     0.11132     0.28379     0.21997     0.20964     0.32120
   98   551.51324    64.96032   575.95703     0.09573     0.21096     0.20599     0.18624     0.33136
   99   209.87445   644.04767   492.76300     0.08246     0.24248     0.20523     0.25388     0.32960
  100   588.11957   135.16455   307.91861     0.11621     0.22987     0.18011     0.26480     0.29276
  101   320.86255   394.26581   312.29510     0.06317     0.19143     0.15311     0.20991     0.33549
  102   301.63617   308.10999   305.52567     0.11033     0.28496     0.20660     0.23877     0.38471
  103   147.84953   601.67053   208.17313     0.13228     0.33142     0.17750     0.19899     0.36375
  104   486.88797   248.21710   308.77029     0.09103     0.25686     0.17670     0.19755     0.25738
  105   429.19351    36.16620    94.61633     0.09277     0.23365     0.23646     0.21192     0.28187
  106   101.07130   550.86542   143.89322     0.09377     0.24793     0.21447     0.20401     0.29938
  107   313.83759   464.66687   558.12854     0.04223     0.22044     0.13246     0.16049     0.29558
  108    47.83667   597.99963    26.53209     0.09710     0.30983     0.23564     0.25715     0.27099
  109   219.11800   340.36856   102.84354     0.07171     0.23068     0.19370     0.25083     0.35683
  110   305.03268   395.21555   616.93060     0.12935     0.25409     0.23305     0.17551     0.29724
  111   291.73529   393.30038    86.35000     0.09163     0.22933     0.25282     0.17350     0.28146
  112   421.10791   186.00917   201.97281     0.08121     0.22440     0.28334     0.27964     0.25916
  113   356.82416   135.52754   639.94641     0.13670     0.27916     0.15797     0.24580     0.36932
  114   583.09003   369.87204   154.83366     0.06538     0.39795     0.17900     0.20662     0.32517
  115   199.51283   430.31839   234.09117     0.12320     0.17246     0.14425     0.17565     0.27514
  116   416.41751   388.67203   476.26630     0.06904     0.23692     0.17602     0.17522     0.22056
  117   426.95441   432.91989    21.40132     0.06969     0.24044     0.22534     0.25933     0.33583
  118   609.73627   108.92806   623.04163     0.05402     0.30233     0.21616     0.27216     0.37282
  119   423.34125   116.58215    57.59320     0.06826     0.23632     0.18589     0.19759     0.30937
  120   354.22473   598.78986   154.28780     0.09187     0.26773     0.24828     0.13402     0.39473
  121   506.54361     2.60253    41.30476     0.11355     0.29764     0.20128     0.20662     0.30598
  122   484.80334   329.23819   272.52661     0.10943     0.25678     0.22251     0.25877     0.26010
  123   142.76785   205.26799   467.60565     0.06860     0.32500     0.20723     0.24700     0.32262
  124    52.97122   281.62286   335.26501     0.07630     0.27929     0.21223     0.23237     0.33590
  125   432.37656   626.93182   136.77774     0.16151     0.35529     0.27188     0.25818     0.30867
  126   191.38670   550.23279   127.40092     0.08936     0.27221     0.26388     0.25740     0.32775
  127   629.27222   501.19290   245.94058     0.11001     0.23421     0.22012     0.29023     0.39996
  128   210.65469     5.02433   646.66675     0.13096     0.29416     0.20022     0.25499     0.32715
  129   257.44284   539.29553   564.06018     0.09047     0.26296     0.17736     0.20755     0.37113
  130   124.10783   153.00250   127.74847     0.10324     0.22442     0.21470     0.19186     0.28381
  131   168.88960   143.57912   305.79242     0.09529     0.27624     0.20530     0.23505     0.31104
  132   580.83807   140.82182   219.37291     0.07326     0.30706     0.23853     0.20723     0.35602
  133   504.38406   366.96292   110.42194     0.10722     0.20171     0.24713     0.22085     0.28435
  134   252.21283   534.02173    37.20403     0.06255     0.28351     0.19246     0.18762     0.25804
  135    13.05174   158.39267   642.63013     0.10174     0.26244     0.20702     0.24485     0.28178
  136   371.99362   417.04758   245.23466     0.10291     0.24946     0.13753     0.18018     0.29474
  137    78.33461   517.53894   222.23833     0.06096     0.21943     0.18677     0.17373     0.29716
  138   358.97168    59.97651    34.86877     0.08016     0.22314     0.24378     0.25867     0.31549
  139    77.74940   232.03955   116.99300     0.11922     0.26171     0.21508     0.17630     0.34506
  140   222.71024   349.86478   192.74545     0.09702     0.29603     0.16090     0.20848     0.30946
  141   487.44696   244.59908   146.97284     0.10721     0.18814     0.26169     0.20546     0.29771
  142   471.47043   306.74664   614.99854     0.07447     0.19836     0.26564     0.21062     0.27771
  143   207.66702   125.54070   102.05153     0.07587     0.24332     0.20467     0.22293     0.25371
  144   249.12762   167.35103    35.01503     0.12871     0.28488     0.15274     0.21291     0.30174
  145   302.21481   185.70886   217.66336     0.07090     0.13835     0.19613     0.21712     0.29102
  146    19.60203   348.09485    57.70046     0.07488     0.32352     0.23993     0.17109     0.28783
  147   472.08456   168.73781   527.78436     0.11475     0.20507     0.22659     0.14458     0.22975
  148   631.33759    72.21693   254.29152     0.03498     0.25186     0.17686     0.19604     0.27359
  149   337.03403   565.01068   293.75995     0.11025     0.26060     0.25625     0.18909     0.25228
  150   377.31253   181.36598   358.06027     0.11291     0.29909     0.26210     0.22698     0.29283
  151   245.98775   163.79005   608.43378     0.15172     0.18561     0.29491     0.25348     0.28100
  152    31.82096   264.12457    48.47129     0.06359     0.27904     0.19569     0.19081     0.24229
  153   364.97617   301.82159     7.53580     0.10585     0.32836     0.25505     0.23078     0.34147
  154   222.47043   180.08504   174.99614     0.10199     0.28658     0.22184     0.25295     0.30633
  155   189.75514   124.83300   449.45377     0.06700     0.17401     0.21360     0.18264     0.26268
  156   456.80392   474.12537   613.75385     0.13712     0.20007     0.20637     0.18651     0.29323
  157   563.45142   222.15956   181.97429     0.13607     0.20174     0.21917     0.18768     0.25944
  158   640.94806   261.50845   632.46460     0.13391     0.26228     0.18501     0.18050     0.29818
  159   435.86865   186.04622   285.35873     0.10699     0.27548     0.21622     0.22300     0.29122
  160    54.77058     8.02536   629.42029     0.09323     0.28253     0.19474     0.16472     0.26425
  161    22.45673   136.26715   499.75629     0.11420     0.28273     0.23649     0.19123     0.37317
  162   232.86101   597.87366   199.01920     0.07985     0.19224     0.27427     0.19199     0.34984
  163   467.78326    88.84298   573.81555     0.09166     0.27879     0.25874     0.19031     0.30668
  164   522.68896   606.90265   524.06696     0.06319     0.20353     0.19641     0.17883     0.27310
  165   375.65399    99.76231   415.27548     0.09048     0.32399     0.26029     0.25422     0.42108
  166   502.58853   285.86142    65.73914     0.11839     0.26623     0.26616     0.20381     0.31899
  167   309.94907   551.41663   215.84799     0.07646     0.33238     0.24339     0.18935     0.37616
  168   575.39203   360.31509   455.68506     0.11193     0.25241     0.21088     0.21440     0.33451
  169    75.48002    39.59781   206.13660     0.07133     0.25138     0.16062     0.14036     0.25643
  170   141.13260   193.49422   605.27002     0.11285     0.17103     0.18578     0.18409     0.28465
  171   212.82674   427.84631   134.69391     0.08945     0.25647     0.20592     0.21187     0.34615
  172   405.31030   367.45456   623.10229     0.07279     0.22012     0.22057     0.19300     0.31063
  173   632.94055    32.89646   620.35162     0.04902     0.27781     0.21590     0.26782     0.35721
  174   495.03891   388.06375   623.49780     0.08527     0.26872     0.22382     0.23094     0.31045
  175    19.18024   407.50958   577.94873     0.10801     0.26120     0.26177     0.26586     0.31888
  176   500.60535    58.33988   434.38617     0.10152     0.27499     0.16759     0.17789     0.24019
  177     9.46707   151.70586   283.27487     0.10618     0.18521     0.17043     0.23165     0.28403
