#         w(THz)       w(meV)            Z(w)
       37.69445      155.86655       -0.00010
       37.88976      156.67415       -0.00005
       38.08506      157.48174       -0.00012
       38.28037      158.28935       -0.00004
       38.47568      159.09694       -0.00013
       38.67099      159.90454       -0.00003
       38.86629      160.71214       -0.00014
       39.06160      161.51974       -0.00003
       39.25691      162.32735       -0.00014
       39.45222      163.13493       -0.00002
       39.64753      163.94255       -0.00014
       39.84284      164.75014       -0.00003
       40.03815      165.55774       -0.00014
       40.23345      166.36534       -0.00003
       40.42876      167.17293       -0.00013
       40.62407      167.98051       -0.00004
       40.81937      168.78813       -0.00012
       41.01469      169.59573       -0.00005
       41.20999      170.40332       -0.00011
       41.40530      171.21094       -0.00007
       41.60061      172.01852       -0.00009
       41.79591      172.82613       -0.00008
       41.99123      173.63373       -0.00008
       42.18653      174.44131       -0.00010
       42.38184      175.24892       -0.00007
       42.57715      176.05650       -0.00011
       42.77246      176.86414       -0.00005
       42.96776      177.67172       -0.00012
       43.16307      178.47932       -0.00004
       43.35838      179.28691       -0.00013
       43.55369      180.09451       -0.00004
       43.74900      180.90210       -0.00014
       43.94431      181.70972       -0.00003
       44.13961      182.51730       -0.00014
       44.33492      183.32492       -0.00003
       44.53023      184.13251       -0.00014
       44.72554      184.94009       -0.00004
       44.92085      185.74771       -0.00013
       45.11615      186.55530       -0.00005
       45.31146      187.36290       -0.00012
       45.50677      188.17049       -0.00006
       45.70208      188.97810       -0.00011
       45.89738      189.78569       -0.00007
       46.09269      190.59331       -0.00010
       46.28800      191.40089       -0.00008
       46.48331      192.20850       -0.00009
       46.67862      193.01608       -0.00009
       46.87393      193.82368       -0.00007
       47.06923      194.63130       -0.00011
       47.26454      195.43889       -0.00006
       47.45985      196.24649       -0.00012
       47.65516      197.05408       -0.00005
       47.85046      197.86168       -0.00013
       48.04577      198.66927       -0.00005
       48.24108      199.47688       -0.00014
       48.43639      200.28448       -0.00004
       48.63170      201.09209       -0.00014
       48.82700      201.89967       -0.00004
       49.02232      202.70729       -0.00014
       49.21762      203.51488       -0.00004
       49.41293      204.32248       -0.00013
       49.60824      205.13007       -0.00005
       49.80355      205.93768       -0.00013
       49.99885      206.74527       -0.00006
       50.19416      207.55286       -0.00012
       50.38947      208.36047       -0.00007
       50.58477      209.16806       -0.00011
       50.78009      209.97566       -0.00008
       50.97539      210.78325       -0.00010
       51.17070      211.59085       -0.00009
       51.36601      212.39847       -0.00008
       51.56132      213.20607       -0.00010
       51.75663      214.01366       -0.00007
       51.95193      214.82126       -0.00012
       52.14724      215.62885       -0.00006
       52.34255      216.43646       -0.00012
       52.53786      217.24405       -0.00005
       52.73317      218.05167       -0.00013
       52.92847      218.85925       -0.00005
       53.12378      219.66684       -0.00014
       53.31909      220.47446       -0.00005
       53.51440      221.28204       -0.00014
       53.70971      222.08965       -0.00005
       53.90501      222.89723       -0.00014
       54.10032      223.70485       -0.00005
       54.29563      224.51244       -0.00013
       54.49094      225.32005       -0.00006
       54.68624      226.12764       -0.00012
       54.88156      226.93524       -0.00007
       55.07686      227.74283       -0.00011
       55.27217      228.55043       -0.00008
       55.46748      229.35805       -0.00010
       55.66278      230.16563       -0.00009
       55.85809      230.97324       -0.00009
       56.05340      231.78082       -0.00010
       56.24871      232.58842       -0.00008
       56.44402      233.39601       -0.00011
       56.63933      234.20363       -0.00007
       56.83463      235.01123       -0.00012
       57.02994      235.81883       -0.00006
       57.22525      236.62642       -0.00013
