#  w(THz)       w(meV)     S(0.1800,w)    Ss(0.1800,w)
    31.640   130.831        0.06547        0.00122
    31.835   131.639        0.14339        0.00268
    32.031   132.446        0.08330        0.00156
    32.226   133.254        0.12473        0.00233
    32.421   134.061        0.10247        0.00191
    32.616   134.869        0.10538        0.00197
    32.812   135.677        0.12165        0.00227
    33.007   136.484        0.08668        0.00162
    33.202   137.292        0.13954        0.00261
    33.398   138.099        0.06989        0.00130
    33.593   138.907        0.15495        0.00289
    33.788   139.715        0.05611        0.00105
    33.984   140.522        0.16688        0.00312
    34.179   141.330        0.04622        0.00086
    34.374   142.137        0.17459        0.00326
    34.570   142.945        0.04081        0.00076
    34.765   143.753        0.17763        0.00332
    34.960   144.560        0.04015        0.00075
    35.155   145.368        0.17590        0.00328
    35.351   146.175        0.04421        0.00083
    35.546   146.983        0.16961        0.00317
    35.741   147.791        0.05261        0.00098
    35.937   148.598        0.15927        0.00297
    36.132   149.406        0.06468        0.00121
    36.327   150.213        0.14568        0.00272
    36.523   151.021        0.07955        0.00149
    36.718   151.829        0.12981        0.00242
    36.913   152.636        0.09613        0.00180
    37.109   153.444        0.11279        0.00211
    37.304   154.251        0.11327        0.00212
    37.499   155.059        0.09582        0.00179
    37.694   155.867        0.12979        0.00242
    37.890   156.674        0.08004        0.00149
    38.085   157.482        0.14457        0.00270
    38.280   158.289        0.06650        0.00124
    38.476   159.097        0.15663        0.00292
    38.671   159.905        0.05611        0.00105
    38.866   160.712        0.16520        0.00308
    39.062   161.520        0.04950        0.00092
    39.257   162.327        0.16974        0.00317
    39.452   163.135        0.04707        0.00088
    39.648   163.943        0.17003        0.00318
    39.843   164.750        0.04891        0.00091
    40.038   165.558        0.16611        0.00310
    40.233   166.365        0.05482        0.00102
    40.429   167.173        0.15833        0.00296
    40.624   167.981        0.06433        0.00120
    40.819   168.788        0.14727        0.00275
    41.015   169.596        0.07673        0.00143
    41.210   170.403        0.13375        0.00250
    41.405   171.211        0.09112        0.00170
    41.601   172.019        0.11874        0.00222
    41.796   172.826        0.10649        0.00199
    41.991   173.634        0.10328        0.00193
    42.187   174.441        0.12178        0.00227
    42.382   175.249        0.08843        0.00165
    42.577   176.057        0.13593        0.00254
    42.772   176.864        0.07521        0.00140
    42.968   177.672        0.14800        0.00276
    43.163   178.479        0.06449        0.00120
    43.358   179.287        0.15719        0.00294
    43.554   180.095        0.05697        0.00106
    43.749   180.902        0.16292        0.00304
    43.944   181.710        0.05312        0.00099
    44.140   182.517        0.16484        0.00308
    44.335   183.325        0.05314        0.00099
    44.530   184.133        0.16289        0.00304
    44.726   184.940        0.05697        0.00106
    44.921   185.748        0.15725        0.00294
    45.116   186.555        0.06431        0.00120
    45.311   187.363        0.14835        0.00277
    45.507   188.170        0.07459        0.00139
    45.702   188.978        0.13687        0.00256
    45.897   189.786        0.08707        0.00163
    46.093   190.593        0.12361        0.00231
    46.288   191.401        0.10087        0.00188
    46.483   192.208        0.10951        0.00204
    46.679   193.016        0.11502        0.00215
    46.874   193.824        0.09556        0.00178
    47.069   194.631        0.12855        0.00240
    47.265   195.439        0.08269        0.00154
    47.460   196.246        0.14053        0.00262
    47.655   197.054        0.07179        0.00134
    47.850   197.862        0.15017        0.00280
    48.046   198.669        0.06357        0.00119
    48.241   199.477        0.15684        0.00293
    48.436   200.284        0.05855        0.00109
    48.632   201.092        0.16012        0.00299
    48.827   201.900        0.05705        0.00107
    49.022   202.707        0.15983        0.00298
    49.218   203.515        0.05912        0.00110
    49.413   204.322        0.15603        0.00291
    49.608   205.130        0.06457        0.00121
    49.804   205.938        0.14902        0.00278
    49.999   206.745        0.07300        0.00136
    50.194   207.553        0.13934        0.00260
    50.389   208.360        0.08377        0.00156
    50.585   209.168        0.12767        0.00238
    50.780   209.976        0.09613        0.00180
    50.975   210.783        0.11483        0.00214
    51.171   211.591        0.10921        0.00204
    51.366   212.398        0.10173        0.00190
    51.561   213.206        0.12211        0.00228
    51.757   214.014        0.08927        0.00167
    51.952   214.821        0.13393        0.00250
    52.147   215.629        0.07828        0.00146
    52.343   216.436        0.14389        0.00269
    52.538   217.244        0.06952        0.00130
    52.733   218.052        0.15131        0.00283
    52.928   218.859        0.06355        0.00119
    53.124   219.667        0.15573        0.00291
    53.319   220.474        0.06075        0.00113
    53.514   221.282        0.15686        0.00293
    53.710   222.090        0.06129        0.00114
    53.905   222.897        0.15468        0.00289
    54.100   223.705        0.06508        0.00122
    54.296   224.512        0.14935        0.00279
    54.491   225.320        0.07184        0.00134
    54.686   226.128        0.14129        0.00264
    54.882   226.935        0.08106        0.00151
    55.077   227.743        0.13107        0.00245
    55.272   228.550        0.09209        0.00172
    55.467   229.358        0.11943        0.00223
    55.663   230.166        0.10415        0.00194
    55.858   230.973        0.10716        0.00200
    56.053   231.781        0.11640        0.00217
    56.249   232.588        0.09513        0.00178
    56.444   233.396        0.12800        0.00239
    56.639   234.204        0.08416        0.00157
    56.835   235.011        0.13816        0.00258
    57.030   235.819        0.07498        0.00140
    57.225   236.626        0.14620        0.00273
    57.421   237.434        0.06822        0.00127
    57.616   238.242        0.15157        0.00283
    57.811   239.049        0.06431        0.00120
    58.006   239.857        0.15395        0.00287
    58.202   240.664        0.06350        0.00119
    58.397   241.472        0.15320        0.00286
    58.592   242.280        0.06580        0.00123
    58.788   243.087        0.14939        0.00279
    58.983   243.895        0.07104        0.00133
    59.178   244.702        0.14281        0.00267
