# cluster size, average deviation spherical shape,  average dev axial symmetry
     1      0.0000000      0.0000000
     2      0.0000000      0.0000000
     3      0.0000000      0.0000000
     4      0.0000000      0.0000000
     5      0.0000000      0.0000000
     6      0.0000000      0.0000000
     7      0.3785654      0.2960402
     8      0.3671010      0.3254297
     9      0.3013198      0.2671654
    10      0.4829195      0.3496068
    11      0.4342035      0.2338128
    12      0.3639953      0.2355232
    13      0.0000000      0.0000000
    14      0.0000000      0.0000000
    15      0.0000000      0.0000000
    16      0.4000440      0.2357819
    17      0.0000000      0.0000000
    18      0.0000000      0.0000000
    19      0.0000000      0.0000000
    20      0.0000000      0.0000000
    21      0.0000000      0.0000000
    22      0.0000000      0.0000000
    23      0.0000000      0.0000000
    24      0.0000000      0.0000000
    25      0.3383208      0.1127838
    26      0.4591079      0.1634245
    27      0.2994992      0.0643054
    28      0.4139191      0.1753736
    29      0.0000000      0.0000000
    30      0.3366075      0.2020222
    31      0.0000000      0.0000000
    32      0.2431910      0.1554628
    33      0.0000000      0.0000000
    34      0.2557112      0.0865199
    35      0.2939142      0.2052376
    36      0.2775912      0.1930690
    37      0.2732026      0.1611025
    38      0.2255319      0.1635774
    39      0.2305475      0.1467176
    40      0.2803233      0.1339077
    41      0.2323699      0.1423410
    42      0.1895767      0.1142612
    43      0.2288560      0.1611986
    44      0.0000000      0.0000000
    45      0.2794211      0.1087873
    46      0.2220120      0.1234989
    47      0.2731597      0.1666611
    48      0.2710814      0.1390203
    49      0.2335922      0.1387665
    50      0.2780346      0.1555999
    51      0.2331786      0.1761171
    52      0.2526595      0.1298885
    53      0.2872069      0.2006253
    54      0.0000000      0.0000000
    55      0.2769887      0.1851693
    56      0.1804341      0.1139434
    57      0.1954676      0.1057265
    58      0.1962784      0.1054173
    59      0.1613212      0.1292802
    60      0.2365656      0.1802963
    61      0.0000000      0.0000000
    62      0.0000000      0.0000000
    63      0.2137368      0.0716266
    64      0.1494623      0.1572174
    65      0.2210148      0.1106033
    66      0.1985641      0.0590998
    67      0.2111639      0.1582023
    68      0.0000000      0.0000000
    69      0.0000000      0.0000000
    70      0.1398664      0.1550177
    71      0.0000000      0.0000000
    72      0.1903297      0.0881321
    73      0.2474342      0.1686020
    74      0.2129919      0.1140468
    75      0.1690693      0.0862507
    76      0.2056580      0.1435759
    77      0.1621526      0.1405397
    78      0.1885046      0.0979035
    79      0.1802458      0.1150421
    80      0.1381374      0.1009038
    81      0.2001371      0.1172763
    82      0.1570302      0.0356712
    83      0.1444055      0.0857553
    84      0.1921225      0.1329555
    85      0.0000000      0.0000000
    86      0.1722077      0.1176818
    87      0.2306391      0.1530479
    88      0.1179524      0.0628558
    89      0.1354894      0.0900314
    90      0.1335530      0.0745984
    91      0.0513687      0.0023370
    92      0.1491415      0.1214222
    93      0.1384515      0.1314978
    94      0.1342413      0.1292950
    95      0.1272307      0.1322282
    96      0.0000000      0.0000000
    97      0.1337613      0.1314660
    98      0.0000000      0.0000000
    99      0.0000000      0.0000000
   100      0.1757999      0.0819009
   101      0.1839868      0.0398525
   102      0.1428892      0.0715647
   103      0.1677068      0.0653579
   104      0.1473814      0.0676970
   105      0.1351964      0.0748051
   106      0.1265114      0.0799040
   107      0.1052832      0.0656171
   108      0.1223526      0.0818601
   109      0.1204971      0.0903933
   110      0.1197606      0.0761209
   111      0.1569230      0.1126474
   112      0.1293433      0.1088761
   113      0.1528692      0.1111471
   114      0.1156534      0.0742890
   115      0.0000000      0.0000000
   116      0.0000000      0.0000000
   117      0.0917348      0.0809684
   118      0.0962860      0.0843112
   119      0.0745451      0.0524857
   120      0.0843407      0.0438767
   121      0.0701875      0.0563072
   122      0.0676876      0.0494129
   123      0.0610780      0.0412864
   124      0.0984707      0.1036837
   125      0.0848121      0.0816820
   126      0.0000000      0.0000000
   127      0.0630024      0.0592299
   128      0.1313030      0.1016037
   129      0.1104144      0.0790343
   130      0.0789213      0.0692018
   131      0.0623569      0.0555220
   132      0.0000000      0.0000000
   133      0.0870223      0.0563740
   134      0.1017685      0.0667644
