#       Q              S_11(Q)
       6.0547061       0.9289087
       6.0832663       0.9118912
       6.1118259       0.9624737
       6.1403861       0.9770545
       6.1689458       1.0367262
       6.1975060       1.0272715
       6.2260661       0.9922211
       6.2546258       1.0346187
       6.2831860       1.0117923
       6.3117456       1.0493815
       6.3403058       1.0341280
       6.3688655       1.0403475
       6.3974257       1.0151019
       6.4259853       1.0582240
       6.4545455       1.1183456
       6.4831052       0.9959005
       6.5116653       0.9417583
       6.5402250       0.9282992
       6.5687852       0.9449619
       6.5973449       0.9240078
       6.6259050       0.8937595
       6.6544647       0.9452979
       6.6830249       0.9685785
       6.7115846       1.0305345
       6.7401447       0.9786660
       6.7687049       0.9611384
       6.7972646       1.0086031
       6.8258247       1.0536455
       6.8543844       0.9926521
       6.8829446       0.9486812
       6.9115043       0.9504665
       6.9400644       1.0004485
       6.9686241       0.9966305
       6.9971843       0.9764897
       7.0257440       0.9169258
       7.0543041       0.9757009
       7.0828638       1.0009478
       7.1114240       0.9973153
       7.1399837       1.0440056
       7.1685438       1.0299793
       7.1971035       1.0365922
       7.2256637       1.0412343
       7.2542233       1.0068240
       7.2827835       0.9859450
       7.3113432       0.9602448
       7.3399034       1.0275850
       7.3684635       1.0361722
       7.3970232       1.0490913
       7.4255834       1.0458246
       7.4541430       1.0675764
       7.4827032       1.0490370
       7.5112629       0.9692919
       7.5398231       0.9827469
       7.5683827       0.9743387
       7.5969429       0.9375501
       7.6255026       0.9801762
       7.6540627       1.0309398
       7.6826224       1.0314795
       7.7111826       1.0429707
       7.7397423       0.9791153
       7.7683024       0.9022241
       7.7968621       0.9986956
       7.8254223       0.9848636
       7.8539820       0.9988033
       7.8825421       1.0596950
       7.9111023       0.9955799
       7.9396620       0.9196135
       7.9682221       0.9124973
