#           Q       S_NN(Q)          n(Q)
      4.0269508      1.1561358           3
      4.0555110      1.0982958           3
      4.0840707      1.1765579           3
      4.1126308      1.0588745           3
      4.1411905      1.0310833           3
      4.1697507      0.9746341           3
      4.1983104      0.9078566           3
      4.2268705      0.9381872           3
      4.2554302      1.0165970           3
      4.2839904      0.9678842           3
      4.3125501      0.9977767           3
      4.3411102      1.0585840           3
      4.3696699      0.9919999           3
      4.3982301      0.8779087           3
      4.4267898      0.8916597           3
      4.4553499      0.9109057           3
      4.4839096      0.8934017           3
      4.5124698      0.8783982           3
      4.5410299      0.9602019           3
      4.5695896      0.9589937           3
      4.5981498      0.8966893           3
      4.6267095      0.9486896           3
      4.6552696      0.9090220           3
      4.6838293      0.8613623           3
      4.7123895      0.8819177           3
      4.7409492      1.0132549           3
      4.7695093      0.9721837           3
      4.7980690      0.9552587           3
      4.8266292      0.8975629           3
      4.8551888      0.8622921           3
      4.8837490      0.9239269           3
      4.9123087      0.9156228           3
      4.9408689      0.9247577           3
      4.9694285      0.9357947           3
      4.9979887      0.9719638           3
      5.0265484      0.9718090           3
      5.0551085      0.9591473           3
      5.0836687      0.9981039           3
      5.1122284      0.9892824           3
      5.1407886      0.9833599           3
      5.1693482      0.9510559           3
      5.1979084      1.0015513           3
      5.2264681      1.0757390           3
      5.2550282      0.9752332           3
      5.2835879      0.9911253           3
      5.3121481      1.0321878           3
      5.3407078      1.1081333           3
      5.3692679      1.0475041           3
      5.3978276      0.9717331           3
      5.4263878      1.0375556           3
      5.4549475      0.9742635           3
      5.4835076      0.9519205           3
      5.5120673      1.0271200           3
      5.5406275      0.9989020           3
      5.5691872      0.9345713           3
      5.5977473      0.9555853           3
      5.6263075      0.9986410           3
      5.6548672      1.0130821           3
      5.6834273      1.0250032           3
      5.7119870      0.9663383           3
      5.7405472      0.9802729           3
      5.7691069      1.0800732           3
      5.7976670      1.0804522           3
      5.8262267      1.0984130           3
      5.8547869      1.1299121           3
      5.8833466      1.0221012           3
      5.9119067      1.0005939           3
      5.9404664      1.0195618           3
      5.9690266      1.1001699           3
      5.9975863      1.0058335           3
      6.0261464      0.9587259           3
      6.0547061      0.9289087           3
      6.0832663      0.9118912           3
      6.1118259      0.9624737           3
      6.1403861      0.9770546           3
      6.1689458      1.0367262           3
      6.1975060      1.0272715           3
      6.2260661      0.9922211           3
      6.2546258      1.0346187           3
      6.2831860      1.0117922           3
      6.3117456      1.0493815           3
      6.3403058      1.0341280           3
      6.3688655      1.0403475           3
      6.3974257      1.0151019           3
      6.4259853      1.0582240           3
      6.4545455      1.1183456           3
      6.4831052      0.9959005           3
      6.5116653      0.9417583           3
      6.5402250      0.9282992           3
      6.5687852      0.9449619           3
      6.5973449      0.9240077           3
      6.6259050      0.8937594           3
      6.6544647      0.9452979           3
      6.6830249      0.9685785           3
      6.7115846      1.0305344           3
      6.7401447      0.9786660           3
      6.7687049      0.9611385           3
      6.7972646      1.0086031           3
      6.8258247      1.0536455           3
      6.8543844      0.9926521           3
      6.8829446      0.9486812           3
