#      r        psi_cum 4(r)   psi_cum 6(r)   psi_cum 8(r)   psi_cum10(r)   psi_cum12(r)
  22.13508     0.05569     0.07517     0.07328     0.06902     0.07101
  22.35424     0.05569     0.07517     0.07328     0.06902     0.07101
  22.57340     0.05569     0.07517     0.07328     0.06902     0.07101
  22.79256     0.05569     0.07517     0.07328     0.06902     0.07101
  23.01172     0.05569     0.07517     0.07328     0.06902     0.07101
  23.23088     0.05569     0.07517     0.07328     0.06902     0.07101
  23.45004     0.05569     0.07517     0.07328     0.06902     0.07101
  23.66920     0.05569     0.07517     0.07328     0.06902     0.07101
  23.88836     0.05569     0.07517     0.07328     0.06902     0.07101
  24.10751     0.05569     0.07517     0.07328     0.06902     0.07101
  24.32667     0.05569     0.07517     0.07328     0.06902     0.07101
  24.54583     0.05569     0.07517     0.07328     0.06902     0.07101
  24.76499     0.05569     0.07517     0.07328     0.06902     0.07101
  24.98415     0.05569     0.07517     0.07328     0.06902     0.07101
  25.20331     0.05569     0.07517     0.07328     0.06902     0.07101
  25.42247     0.05569     0.07517     0.07328     0.06902     0.07101
  25.64163     0.05569     0.07517     0.07328     0.06902     0.07101
  25.86079     0.05569     0.07517     0.07328     0.06902     0.07101
  26.07995     0.05569     0.07517     0.07328     0.06902     0.07101
  26.29911     0.05569     0.07517     0.07328     0.06902     0.07101
  26.51826     0.05569     0.07517     0.07328     0.06902     0.07101
  26.73742     0.05569     0.07517     0.07328     0.06902     0.07101
  26.95658     0.05569     0.07517     0.07328     0.06902     0.07101
  27.17574     0.05569     0.07517     0.07328     0.06902     0.07101
  27.39490     0.05569     0.07517     0.07328     0.06902     0.07101
  27.61406     0.05569     0.07517     0.07328     0.06902     0.07101
  27.83322     0.05569     0.07517     0.07328     0.06902     0.07101
  28.05238     0.05569     0.07517     0.07328     0.06902     0.07101
  28.27154     0.05569     0.07517     0.07328     0.06902     0.07101
  28.49070     0.05569     0.07517     0.07328     0.06902     0.07101
