#       r                rhoi_c        rho_+        rho_-
    -56.6161346     -0.0000032      0.0180903     -0.0180935
    -56.1161346     -0.0001194      0.0181232     -0.0182426
    -55.6161346      0.0000651      0.0179580     -0.0178929
    -55.1161346     -0.0000582      0.0179543     -0.0180125
    -54.6161346     -0.0000185      0.0178662     -0.0178848
    -54.1161346      0.0000180      0.0178784     -0.0178603
    -53.6161346     -0.0001083      0.0179040     -0.0180123
    -53.1161346      0.0000822      0.0181268     -0.0180447
    -52.6161346     -0.0000538      0.0180175     -0.0180713
    -52.1161346     -0.0000412      0.0181993     -0.0182405
    -51.6161346      0.0002160      0.0181773     -0.0179613
    -51.1161346      0.0000990      0.0179294     -0.0178303
    -50.6161346     -0.0001245      0.0180144     -0.0181389
    -50.1161346     -0.0000948      0.0182088     -0.0183036
    -49.6161346      0.0000693      0.0183138     -0.0182445
    -49.1161346      0.0000094      0.0182741     -0.0182647
    -48.6161346      0.0000815      0.0182111     -0.0181296
    -48.1161346      0.0001139      0.0183953     -0.0182814
    -47.6161346      0.0000042      0.0186288     -0.0186246
    -47.1161346     -0.0001467      0.0186569     -0.0188036
    -46.6161346     -0.0001330      0.0188977     -0.0190307
    -46.1161346      0.0000015      0.0188881     -0.0188867
    -45.6161346      0.0000471      0.0189016     -0.0188545
    -45.1161346     -0.0000098      0.0190576     -0.0190674
    -44.6161346     -0.0001316      0.0190575     -0.0191891
    -44.1161346      0.0000165      0.0190015     -0.0189850
    -43.6161346      0.0002329      0.0188264     -0.0185936
    -43.1161346     -0.0001134      0.0188575     -0.0189709
    -42.6161346     -0.0000370      0.0185722     -0.0186092
    -42.1161346      0.0000374      0.0185247     -0.0184872
    -41.6161346      0.0000800      0.0182240     -0.0181440
    -41.1161346      0.0000242      0.0179718     -0.0179476
    -40.6161346      0.0000217      0.0181446     -0.0181229
    -40.1161346     -0.0000139      0.0181128     -0.0181267
    -39.6161346     -0.0000979      0.0181185     -0.0182164
    -39.1161346      0.0000879      0.0183590     -0.0182711
    -38.6161346     -0.0000111      0.0183321     -0.0183431
    -38.1161346     -0.0001626      0.0184199     -0.0185825
    -37.6161346      0.0002506      0.0185546     -0.0183040
    -37.1161346     -0.0000682      0.0187581     -0.0188263
    -36.6161346      0.0000868      0.0189370     -0.0188503
    -36.1161346     -0.0003750      0.0189282     -0.0193031
    -35.6161346      0.0001778      0.0190573     -0.0188795
    -35.1161346      0.0000564      0.0188166     -0.0187602
    -34.6161346      0.0000707      0.0190848     -0.0190141
    -34.1161346      0.0000207      0.0190319     -0.0190112
    -33.6161346     -0.0002000      0.0187723     -0.0189723
    -33.1161346      0.0001193      0.0192202     -0.0191009
    -32.6161346      0.0002032      0.0193555     -0.0191523
    -32.1161346     -0.0000712      0.0191952     -0.0192664
    -31.6161346     -0.0002626      0.0192271     -0.0194897
    -31.1161346      0.0000440      0.0193977     -0.0193537
    -30.6161346      0.0001677      0.0194741     -0.0193064
    -30.1161346     -0.0001963      0.0192556     -0.0194519
    -29.6161346      0.0000040      0.0193775     -0.0193736
    -29.1161346     -0.0001221      0.0193973     -0.0195194
    -28.6161346      0.0000376      0.0194733     -0.0194357
    -28.1161346      0.0000189      0.0195361     -0.0195173
    -27.6161346      0.0000792      0.0193243     -0.0192451
    -27.1161346      0.0001869      0.0194723     -0.0192853
    -26.6161346     -0.0000235      0.0192437     -0.0192673
    -26.1161346      0.0000465      0.0192592     -0.0192127
    -25.6161346      0.0000360      0.0189996     -0.0189636
    -25.1161346     -0.0001437      0.0189992     -0.0191430
    -24.6161346     -0.0000157      0.0190072     -0.0190229
    -24.1161346     -0.0001912      0.0188818     -0.0190730
    -23.6161346      0.0000272      0.0188300     -0.0188028
    -23.1161346     -0.0000910      0.0187151     -0.0188060
    -22.6161346      0.0001126      0.0185173     -0.0184047
    -22.1161346     -0.0001488      0.0181789     -0.0183277
    -21.6161346      0.0001994      0.0181425     -0.0179431
    -21.1161346     -0.0000243      0.0177489     -0.0177732
    -20.6161346      0.0000349      0.0174253     -0.0173904
    -20.1161346     -0.0001132      0.0171627     -0.0172759
    -19.6161346      0.0000264      0.0169247     -0.0168983
    -19.1161346     -0.0000059      0.0169796     -0.0169854
    -18.6161346      0.0000712      0.0173014     -0.0172302
    -18.1161346     -0.0001933      0.0172782     -0.0174714
    -17.6161346      0.0000449      0.0173411     -0.0172963
    -17.1161346      0.0003106      0.0176047     -0.0172941
    -16.6161346      0.0001111      0.0175040     -0.0173929
    -16.1161346      0.0000910      0.0177479     -0.0176569
    -15.6161346     -0.0000006      0.0179280     -0.0179285
    -15.1161346     -0.0002483      0.0182545     -0.0185027
    -14.6161346      0.0001946      0.0185433     -0.0183487
    -14.1161346     -0.0001753      0.0186508     -0.0188261
    -13.6161346      0.0000028      0.0189142     -0.0189114
    -13.1161346     -0.0000579      0.0191651     -0.0192230
    -12.6161346     -0.0000761      0.0196571     -0.0197332
    -12.1161346      0.0002970      0.0198803     -0.0195833
    -11.6161346     -0.0000125      0.0200228     -0.0200354
    -11.1161346     -0.0001397      0.0199853     -0.0201249
    -10.6161346      0.0000872      0.0202340     -0.0201469
    -10.1161346     -0.0001630      0.0201239     -0.0202868
     -9.6161346      0.0000358      0.0203389     -0.0203031
     -9.1161346      0.0001031      0.0202831     -0.0201800
     -8.6161346     -0.0001033      0.0202526     -0.0203559
     -8.1161346     -0.0000483      0.0201594     -0.0202077
     -7.6161346     -0.0001910      0.0201337     -0.0203247
     -7.1161346     -0.0001248      0.0199349     -0.0200598
     -6.6161346     -0.0000268      0.0198114     -0.0198381
     -6.1161346      0.0004325      0.0197997     -0.0193671
     -5.6161346      0.0001055      0.0197431     -0.0196376
     -5.1161346     -0.0001745      0.0196402     -0.0198147
     -4.6161346      0.0000121      0.0198110     -0.0197988
     -4.1161346     -0.0000437      0.0198455     -0.0198891
     -3.6161346      0.0001392      0.0198613     -0.0197221
     -3.1161346     -0.0001533      0.0195580     -0.0197113
     -2.6161346     -0.0000423      0.0196676     -0.0197099
     -2.1161346      0.0002172      0.0197975     -0.0195803
     -1.6161346     -0.0001760      0.0195244     -0.0197005
     -1.1161346      0.0000005      0.0195784     -0.0195779
     -0.6161346     -0.0000107      0.0193733     -0.0193840
     -0.1161346     -0.0000975      0.0191797     -0.0192771
      0.3838654      0.0001376      0.0190492     -0.0189116
      0.8838654      0.0000771      0.0189366     -0.0188596
      1.3838654      0.0000445      0.0186951     -0.0186506
      1.8838654     -0.0002630      0.0186081     -0.0188711
      2.3838654      0.0000362      0.0185089     -0.0184728
      2.8838654     -0.0000824      0.0180740     -0.0181564
      3.3838654      0.0000703      0.0177237     -0.0176534
      3.8838654     -0.0000579      0.0175783     -0.0176362
      4.3838654      0.0000393      0.0173704     -0.0173311
      4.8838654      0.0001060      0.0170977     -0.0169916
      5.3838654     -0.0000197      0.0169283     -0.0169480
      5.8838654     -0.0000267      0.0167143     -0.0167409
      6.3838654      0.0003424      0.0167313     -0.0163888
      6.8838654     -0.0001808      0.0167454     -0.0169261
      7.3838654      0.0001299      0.0169050     -0.0167751
      7.8838654      0.0000826      0.0169713     -0.0168887
      8.3838654     -0.0000730      0.0170290     -0.0171020
      8.8838654     -0.0002290      0.0173920     -0.0176210
      9.3838654     -0.0001056      0.0175348     -0.0176404
      9.8838654     -0.0002099      0.0174601     -0.0176700
     10.3838654      0.0000751      0.0174573     -0.0173823
     10.8838654      0.0002224      0.0175869     -0.0173645
     11.3838654     -0.0000580      0.0175111     -0.0175691
     11.8838654      0.0001927      0.0178550     -0.0176623
     12.3838654      0.0001233      0.0179532     -0.0178299
     12.8838654      0.0000380      0.0179072     -0.0178692
     13.3838654     -0.0000647      0.0179354     -0.0180001
     13.8838654     -0.0001973      0.0179399     -0.0181372
     14.3838654      0.0000769      0.0181689     -0.0180920
     14.8838654     -0.0001708      0.0181721     -0.0183429
     15.3838654     -0.0001106      0.0182415     -0.0183521
     15.8838654     -0.0000201      0.0183189     -0.0183390
     16.3838654      0.0001688      0.0182825     -0.0181137
     16.8838654     -0.0000137      0.0180419     -0.0180556
     17.3838654     -0.0000821      0.0178274     -0.0179095
     17.8838654      0.0001245      0.0179907     -0.0178662
     18.3838654     -0.0000058      0.0177409     -0.0177466
     18.8838654      0.0000683      0.0176811     -0.0176128
     19.3838654      0.0000687      0.0176899     -0.0176212
     19.8838654     -0.0000950      0.0176001     -0.0176951
     20.3838654     -0.0000642      0.0177162     -0.0177804
     20.8838654      0.0000697      0.0176617     -0.0175920
     21.3838654      0.0000903      0.0173746     -0.0172843
     21.8838654     -0.0001399      0.0171471     -0.0172870
     22.3838654      0.0000313      0.0171785     -0.0171472
     22.8838654     -0.0000318      0.0171709     -0.0172027
     23.3838654     -0.0000986      0.0173833     -0.0174818
     23.8838654      0.0000033      0.0172213     -0.0172180
     24.3838654      0.0000301      0.0172274     -0.0171973
     24.8838654      0.0000684      0.0172892     -0.0172208
     25.3838654      0.0002771      0.0175961     -0.0173190
     25.8838654     -0.0000565      0.0177783     -0.0178348
     26.3838654     -0.0001665      0.0181305     -0.0182970
     26.8838654      0.0002755      0.0185301     -0.0182546
     27.3838654      0.0001185      0.0188032     -0.0186847
     27.8838654     -0.0000310      0.0193366     -0.0193676
     28.3838654     -0.0002771      0.0196682     -0.0199453
     28.8838654      0.0002928      0.0203834     -0.0200906
     29.3838654     -0.0000860      0.0206624     -0.0207484
     29.8838654     -0.0002137      0.0211285     -0.0213422
     30.3838654     -0.0000100      0.0214891     -0.0214992
     30.8838654      0.0000433      0.0214556     -0.0214123
     31.3838654     -0.0001872      0.0215170     -0.0217042
     31.8838654      0.0000927      0.0215144     -0.0214217
     32.3838654     -0.0002322      0.0213185     -0.0215508
     32.8838654      0.0000106      0.0214609     -0.0214502
     33.3838654     -0.0003170      0.0209831     -0.0213001
     33.8838654      0.0002077      0.0209163     -0.0207087
     34.3838654     -0.0000394      0.0204793     -0.0205187
     34.8838654      0.0001094      0.0201610     -0.0200515
     35.3838654      0.0002626      0.0201219     -0.0198593
     35.8838654      0.0001126      0.0197189     -0.0196063
     36.3838654      0.0001076      0.0197495     -0.0196419
     36.8838654     -0.0002193      0.0195095     -0.0197288
     37.3838654      0.0000802      0.0194109     -0.0193307
     37.8838654     -0.0001218      0.0192031     -0.0193249
     38.3838654      0.0000614      0.0190959     -0.0190345
     38.8838654     -0.0000246      0.0188847     -0.0189094
     39.3838654     -0.0001174      0.0188565     -0.0189739
     39.8838654      0.0000533      0.0189053     -0.0188521
     40.3838654     -0.0000743      0.0187705     -0.0188448
     40.8838654     -0.0001843      0.0187473     -0.0189315
     41.3838654      0.0001786      0.0187093     -0.0185307
     41.8838654      0.0002080      0.0186124     -0.0184044
     42.3838654      0.0001028      0.0186485     -0.0185457
     42.8838654     -0.0001288      0.0189384     -0.0190671
     43.3838654      0.0001309      0.0190878     -0.0189570
     43.8838654     -0.0001894      0.0191495     -0.0193390
     44.3838654     -0.0001832      0.0193927     -0.0195759
     44.8838654      0.0002986      0.0194318     -0.0191332
     45.3838654     -0.0001628      0.0194456     -0.0196084
     45.8838654      0.0001938      0.0198309     -0.0196370
     46.3838654     -0.0002265      0.0198947     -0.0201212
     46.8838654      0.0000794      0.0199962     -0.0199168
     47.3838654     -0.0000838      0.0202361     -0.0203199
     47.8838654      0.0000683      0.0203984     -0.0203301
     48.3838654      0.0001280      0.0207421     -0.0206141
     48.8838654      0.0001728      0.0212426     -0.0210698
     49.3838654     -0.0001694      0.0214863     -0.0216557
     49.8838654      0.0001000      0.0216173     -0.0215173
     50.3838654     -0.0001512      0.0218413     -0.0219925
     50.8838654     -0.0001068      0.0219049     -0.0220117
     51.3838654     -0.0000310      0.0217864     -0.0218174
     51.8838654     -0.0001001      0.0218151     -0.0219152
     52.3838654      0.0000500      0.0219795     -0.0219296
     52.8838654      0.0001157      0.0222096     -0.0220939
     53.3838654     -0.0001577      0.0219581     -0.0221158
     53.8838654      0.0001914      0.0221835     -0.0219921
     54.3838654     -0.0000532      0.0220463     -0.0220995
     54.8838654      0.0001532      0.0219531     -0.0218000
     55.3838654     -0.0003394      0.0213914     -0.0217308
     55.8838654      0.0001802      0.0213495     -0.0211693
     56.3838654      0.0001071      0.0210288     -0.0209217
     56.8838654      0.0000561      0.0209640     -0.0209080
     57.3838654     -0.0000389      0.0207861     -0.0208250
     57.8838654     -0.0001927      0.0205921     -0.0207848
     58.3838654     -0.0000190      0.0203955     -0.0204145
     58.8838654      0.0001466      0.0202155     -0.0200690
     59.3838654      0.0001293      0.0202504     -0.0201211
     59.8838654     -0.0000331      0.0201338     -0.0201669
     60.3838654     -0.0001083      0.0204514     -0.0205597
     60.8838654     -0.0001759      0.0204807     -0.0206566
     61.3838654      0.0000514      0.0205374     -0.0204860
     61.8838654     -0.0000093      0.0203234     -0.0203328
     62.3838654      0.0001354      0.0206225     -0.0204870
     62.8838654     -0.0001736      0.0203623     -0.0205360
