#       r                 g_21(r)         g_22(r)         g_23(r)         g_24(r)         g_25(r)         g_26(r)         g_27(r)
         0.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.75000         0.00000         0.00000        27.19494         0.00000         0.00000         0.00003         0.00000
         3.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00272         0.00000
         3.25000         0.00000         0.00000         0.00005         0.00000         0.01085         0.06131         0.00396
         3.50000         0.00000         0.00000         0.00850         0.00000         0.44170         0.38660         0.27184
         3.75000         0.00000         0.00000         0.07959        14.62949         1.41897         0.93836         1.24321
         4.00000         0.03604         0.00003         0.22439         0.00000         1.68211         1.31447         1.70545
         4.25000         1.35852         0.00498         0.34657         0.00100         1.47324         1.41050         1.54593
         4.50000         4.38897         0.03888         0.42673         0.04843         1.24667         1.36496         1.30411
         4.75000         4.70666         0.11285         0.47932         0.27379         1.09505         1.25802         1.13194
         5.00000         3.34941         0.19890         0.51710         0.55644         1.00730         1.13429         1.02693
         5.25000         2.10617         0.27443         0.55155         0.71995         0.95904         1.03859         0.96750
         5.50000         1.33281         0.33588         0.59000         0.76325         0.93644         0.98982         0.93709
         5.75000         0.93846         0.39623         0.64196         0.73734         0.91759         0.96623         0.91889
         6.00000         0.75698         0.46425         0.68811         0.70718         0.90183         0.95406         0.90599
         6.25000         0.74177         0.58957         0.75115         0.74208         0.92206         0.95273         0.92528
         6.50000         0.75283         0.73306         0.83261         0.80135         0.96157         0.97125         0.96672
         6.75000         0.75236         0.86209         0.93419         0.85896         0.98760         1.00052         0.99458
         7.00000         0.76490         0.97864         1.01747         0.89680         1.00002         1.02861         1.00884
         7.25000         0.79672         1.11236         1.08304         0.93601         1.01209         1.03898         1.01753
         7.50000         0.82777         1.23783         1.11247         1.00332         1.02643         1.03166         1.03255
         7.75000         0.84639         1.31806         1.14817         1.09333         1.04254         1.01842         1.04634
         8.00000         0.85576         1.35942         1.15545         1.16774         1.04521         1.00385         1.04483
         8.25000         0.87932         1.36569         1.14958         1.21274         1.02350         0.99125         1.01906
         8.50000         0.89957         1.36143         1.11980         1.23289         0.99298         0.97864         0.98693
         8.75000         0.90180         1.33758         1.07674         1.23530         0.96695         0.96751         0.96139
         9.00000         0.88313         1.28688         1.03259         1.21427         0.95235         0.95684         0.94856
         9.25000         0.88002         1.20417         0.99675         1.17547         0.94622         0.95031         0.94433
         9.50000         0.89666         1.12720         0.97901         1.12075         0.94838         0.94788         0.94636
         9.75000         0.91954         1.04968         0.97786         1.05755         0.95382         0.95046         0.95258
        10.00000         0.94803         0.99820         0.97943         1.00325         0.96206         0.95489         0.96089
        10.25000         0.97588         0.96511         0.98526         0.96193         0.97098         0.96180         0.97018
