#    Conf       T(K)      KE (Kcal/mol)  
 21201000      142.35234    15911.47949
 21202500      142.59923    15939.07715
 21204000      145.07275    16215.55566
 21205500      142.73238    15953.95898
 21207000      143.25308    16012.16113
 21208500      143.76657    16069.55664
 21210000      141.68921    15837.35938
 21211500      143.87247    16081.39258
 21213000      142.06290    15879.12695
 21214500      143.44136    16033.20605
 21216000      143.63013    16054.30469
 21217500      143.02953    15987.17383
 21219000      143.26559    16013.56055
 21220500      142.17137    15891.25293
 21222000      143.99315    16094.88281
 21223500      143.43636    16032.64648
 21225000      142.36302    15912.67480
 21226500      143.02702    15986.89355
 21228000      141.49805    15815.99219
 21229500      143.22910    16009.47949
 21231000      143.42497    16031.37500
 21232500      143.03491    15987.77637
 21234000      141.28270    15791.91992
 21235500      142.93262    15976.34180
 21237000      142.22977    15897.77930
 21238500      142.78792    15960.16797
 21240000      143.45827    16035.09570
 21241500      143.88774    16083.09961
 21243000      143.07927    15992.73340
 21244500      142.24364    15899.32910
 21246000      143.68686    16060.64648
 21247500      143.05704    15990.24902
 21249000      143.42117    16030.94922
 21250500      142.89748    15972.41406
 21252000      142.68333    15948.47754
 21253500      140.84541    15743.04395
 21255000      142.21724    15896.37988
 21256500      143.59056    16049.88184
 21258000      143.98543    16094.01855
 21259500      143.88734    16083.05664
 21261000      143.27832    16014.98242
 21262500      141.85048    15855.38477
 21264000      142.39941    15916.74219
 21265500      142.69409    15949.68066
 21267000      142.46042    15923.56152
 21268500      144.23285    16121.67480
 21270000      142.93016    15976.06543
 21271500      142.97333    15980.89258
 21273000      145.37421    16249.25098
 21274500      144.00690    16096.41895
 21276000      141.86487    15856.99316
 21277500      142.42442    15919.53711
 21279000      143.37772    16026.09180
 21280500      142.23657    15898.54004
 21282000      141.87866    15858.53516
 21283500      144.16028    16113.56348
 21285000      144.03481    16099.53906
 21286500      144.10190    16107.03809
 21288000      143.50002    16039.76270
 21289500      143.04965    15989.42285
 21291000      143.07979    15992.79199
 21292500      143.80818    16074.20801
 21294000      143.27286    16014.37109
 21295500      143.45822    16035.09082
 21297000      142.00951    15873.16016
 21298500      141.97446    15869.24219
 21300000      142.11244    15884.66504
 21301500      143.01984    15986.08984
 21303000      142.45294    15922.72559
 21304500      143.78038    16071.10059
 21306000      142.94301    15977.50293
 21307500      141.69551    15838.06348
 21309000      140.77687    15735.38184
 21310500      144.12416    16109.52539
 21312000      143.10126    15995.19141
 21313500      142.58849    15937.87500
 21315000      144.03072    16099.08105
 21316500      142.80238    15961.78418
 21318000      144.11479    16108.47852
 21319500      143.32478    16020.17480
 21321000      143.21094    16007.45117
 21322500      142.88075    15970.54395
 21324000      142.81941    15963.68750
 21325500      142.93950    15977.10938
 21327000      144.36992    16136.99707
 21328500      142.29468    15905.03418
 21330000      141.81268    15851.15918
 21331500      143.14386    15999.95313
 21333000      143.37720    16026.03320
 21334500      143.92387    16087.13965
 21336000      143.64268    16055.70996
 21337500      143.97852    16093.24609
 21339000      142.56151    15934.86133
 21340500      142.78175    15959.47852
 21342000      143.95399    16090.50586
 21343500      144.23399    16121.80273
 21345000      142.32559    15908.49023
 21346500      141.47331    15813.22754
 21348000      143.18608    16004.67285
 21349500      142.55554    15934.19434
 21351000      144.24400    16122.92188
 21352500      143.51213    16041.11719
 21354000      144.78262    16183.12695
 21355500      143.58917    16049.72852
 21357000      141.28288    15791.94238
 21358500      143.40480    16029.12012
 21360000      143.87233    16081.37793
 21361500      144.05499    16101.79395
 21363000      142.73750    15954.53223
 21364500      143.60905    16051.95020
 21366000      143.01263    15985.28516
 21367500      143.41681    16030.46191
 21369000      143.53326    16043.47754
 21370500      143.22656    16009.19727
 21372000      142.35199    15911.44043
 21373500      143.04999    15989.45996
 21375000      142.28819    15904.30957
 21376500      143.58018    16048.72266
 21378000      143.26556    16013.55566
 21379500      142.56117    15934.82324
 21381000      143.13931    15999.44434
 21382500      141.95810    15867.41406
 21384000      142.15190    15889.07617
 21385500      142.05533    15878.28223
 21387000      143.07692    15992.47070
 21388500      143.65320    16056.88477
 21390000      142.09485    15882.69922
 21391500      143.56349    16046.85840
 21393000      143.90724    16085.28027
 21394500      143.06105    15990.69727
 21396000      142.97557    15981.14160
 21397500      142.20555    15895.07422
 21399000      144.13748    16111.01563
 21400500      143.09193    15994.14941
 21402000      143.64088    16055.50781
 21403500      141.05006    15765.91895
 21405000      143.51979    16041.97363
 21406500      141.73242    15842.18848
 21408000      143.66710    16058.43750
 21409500      143.76224    16069.07227
 21411000      143.33545    16021.36719
 21412500      141.84525    15854.80078
 21414000      143.40167    16028.76953
 21415500      143.47064    16036.47949
 21417000      143.60890    16051.93359
 21418500      143.22665    16009.20703
 21420000      143.17111    16002.99902
 21421500      142.40689    15917.57813
 21423000      141.91454    15862.54492
 21424500      144.52916    16154.79590
 21426000      144.95763    16202.68750
 21427500      143.60068    16051.01367
 21429000      142.62061    15941.46484
 21430500      143.70033    16062.15332
 21432000      142.46806    15924.41602
 21433500      143.11815    15997.07910
 21435000      142.63420    15942.98535
 21436500      142.84894    15966.98730
 21438000      143.71251    16063.51465
 21439500      143.38365    16026.75586
 21441000      142.68182    15948.30859
 21442500      142.25876    15901.02051
 21444000      142.44310    15921.62500
 21445500      143.43126    16032.07617
 21447000      142.28979    15904.49023
 21448500      142.43800    15921.05566
 21450000      142.98674    15982.39063
 21451500      143.60535    16051.53516
 21453000      143.52023    16042.02246
 21454500      142.46288    15923.83594
 21456000      143.80881    16074.27734
 21457500      142.58577    15937.57227
 21459000      142.73569    15954.32910
 21460500      143.21251    16007.62598
 21462000      144.19632    16117.59277
 21463500      143.14798    16000.41309
 21465000      141.86636    15857.16016
 21466500      143.17606    16003.55176
 21468000      143.21245    16007.61816
 21469500      143.28506    16015.73633
 21471000      143.50513    16040.33301
 21472500      143.21323    16007.70605
 21474000      141.78011    15847.51953
 21475500      142.72905    15953.58691
 21477000      142.85052    15967.16504
 21478500      142.70810    15951.24512
 21480000      144.91371    16197.77832
 21481500      146.27405    16349.83105
 21483000      144.40933    16141.40234
 21484500      142.10461    15883.79102
 21486000      142.58069    15937.00391
 21487500      142.41940    15918.97656
 21489000      144.68069    16171.73242
 21490500      143.54973    16045.31836
 21492000      143.63652    16055.02051
 21493500      142.22794    15897.57422
 21495000      144.21130    16119.26660
 21496500      143.91325    16085.95215
 21498000      145.08536    16216.96484
 21499500      142.15929    15889.90234
 21501000      142.88258    15970.74902
 21502500      144.61763    16164.68359
 21504000      143.84607    16078.44238
 21505500      142.95648    15979.00977
 21507000      143.36516    16024.68848
 21508500      143.06854    15991.53418
 21510000      144.32253    16131.69824
 21511500      141.83609    15853.77539
 21513000      143.02034    15986.14648
 21514500      142.41441    15918.41797
 21516000      143.42229    16031.07520
 21517500      143.79402    16072.62500
 21519000      141.78223    15847.75586
 21520500      143.25917    16012.84082
 21522000      142.86162    15968.40430
 21523500      143.51630    16041.58105
 21525000      142.71523    15952.04199
 21526500      143.00372    15984.28906
 21528000      142.84612    15966.67285
 21529500      141.52963    15819.52148
 21531000      142.60707    15939.95313
 21532500      143.23404    16010.03223
 21534000      143.95996    16091.17188
 21535500      142.15430    15889.34375
 21537000      142.88521    15971.04297
 21538500      141.90514    15861.49414
 21540000      144.25977    16124.68359
 21541500      142.54611    15933.13965
 21543000      142.33939    15910.03320
 21544500      142.61124    15940.41895
 21546000      144.28720    16127.75098
 21547500      142.50696    15928.76270
 21549000      144.69333    16173.14551
 21550500      143.01500    15985.54980
 21552000      143.22493    16009.01465
 21553500      144.41896    16142.47852
 21555000      142.93411    15976.50781
 21556500      142.69258    15949.51074
 21558000      143.64648    16056.13477
 21559500      143.51845    16041.82227
 21561000      142.95958    15979.35547
 21562500      143.78856    16072.01367
 21564000      143.90506    16085.03711
 21565500      142.07704    15880.70801
 21567000      144.07719    16104.27539
 21568500      143.19742    16005.93945
 21570000      144.06927    16103.39160
 21571500      143.33113    16020.88477
 21573000      142.36305    15912.67871
 21574500      141.56662    15823.65723
 21576000      143.62968    16054.25684
 21577500      143.42717    16031.62012
 21579000      143.51797    16041.76953
 21580500      144.62735    16165.77051
 21582000      143.63823    16055.21191
 21583500      144.16161    16113.71094
 21585000      143.35620    16023.68652
 21586500      142.97859    15981.48047
 21588000      143.63518    16054.87012
 21589500      143.21581    16007.99512
 21591000      142.10573    15883.91504
 21592500      143.86447    16080.49902
 21594000      142.88791    15971.34375
 21595500      143.78543    16071.66504
 21597000      144.29640    16128.77930
 21598500      142.43266    15920.45801
 21600000      141.97993    15869.85449
 21601500      142.52776    15931.08691
 21603000      144.82640    16188.01953
 21604500      143.11467    15996.69043
 21606000      143.27325    16014.41602
 21607500      143.96487    16091.72266
 21609000      142.61533    15940.87500
 21610500      144.21706    16119.91016
 21612000      142.45454    15922.90332
 21613500      141.77382    15846.81543
 21615000      143.49825    16039.56445
 21616500      142.74681    15955.57227
 21618000      142.98631    15982.34277
 21619500      142.87265    15969.63867
 21621000      142.89621    15972.27148
 21622500      144.41008    16141.48535
 21624000      144.95567    16202.46973
 21625500      143.19211    16005.34570
 21627000      142.30695    15906.40625
 21628500      142.58908    15937.94141
 21630000      142.77989    15959.27051
 21631500      142.28133    15903.54199
 21633000      142.39926    15916.72559
 21634500      144.72945    16177.18262
 21636000      143.16623    16002.45410
 21637500      143.14609    16000.20313
 21639000      144.19221    16117.13281
 21640500      142.19225    15893.58691
 21642000      142.89780    15972.44922
 21643500      144.13675    16110.93359
 21645000      143.19044    16005.16016
 21646500      142.12723    15886.31934
 21648000      142.90587    15973.35156
 21649500      143.19115    16005.23828
 21651000      141.46147    15811.90332
 21652500      144.40991    16141.46680
 21654000      142.75832    15956.85840
 21655500      141.76599    15845.94141
 21657000      142.02115    15874.46191
 21658500      144.25761    16124.44336
 21660000      143.33165    16020.94238
 21661500      144.30775    16130.04785
 21663000      143.05580    15990.10938
 21664500      143.37257    16025.51758
 21666000      142.96660    15980.13965
 21667500      144.70523    16174.47559
 21669000      142.78717    15960.08398
 21670500      143.18953    16005.05762
 21672000      143.82234    16075.79004
