#    Conf       T(K)      KE (Kcal/mol)  
 22204500      143.26848    16013.88184
 22206000      143.70760    16062.96484
 22207500      141.57829    15824.96094
 22209000      142.71758    15952.30371
 22210500      144.71375    16175.42773
 22212000      141.97520    15869.32617
 22213500      143.85080    16078.97168
 22215000      142.95691    15979.05566
 22216500      143.19011    16005.12207
 22218000      142.81015    15962.65332
 22219500      144.27206    16126.05762
 22221000      140.93207    15752.72949
 22222500      144.21063    16119.19141
 22224000      142.47386    15925.06348
 22225500      142.25000    15900.04102
 22227000      142.97031    15980.55469
 22228500      143.13782    15999.27637
 22230000      141.81619    15851.55176
 22231500      140.90334    15749.51758
 22233000      143.11203    15996.39551
 22234500      144.10777    16107.69434
 22236000      143.81335    16074.78516
 22237500      143.67444    16059.25879
 22239000      143.93790    16088.70703
 22240500      142.84798    15966.88086
 22242000      143.93596    16088.49023
 22243500      142.34425    15910.57715
 22245000      144.69357    16173.17285
 22246500      142.08992    15882.14844
 22248000      143.47395    16036.84863
 22249500      142.84282    15966.30371
 22251000      143.42166    16031.00391
 22252500      143.12268    15997.58594
 22254000      142.80429    15961.99805
 22255500      142.52254    15930.50391
 22257000      143.04950    15989.40527
 22258500      142.82076    15963.83691
 22260000      142.71758    15952.30469
 22261500      143.25290    16012.14160
 22263000      142.59985    15939.14648
 22264500      144.13309    16110.52344
 22266000      143.23502    16010.14258
 22267500      144.02525    16098.47070
 22269000      142.30101    15905.74219
 22270500      142.03943    15876.50488
 22272000      142.65570    15945.38965
 22273500      142.70172    15950.53320
 22275000      143.96007    16091.18555
 22276500      142.62740    15942.22461
 22278000      143.55370    16045.76172
 22279500      143.22482    16009.00293
 22281000      142.97585    15981.17285
 22282500      142.98630    15982.34180
 22284000      142.10399    15883.71973
 22285500      143.51524    16041.46387
 22287000      143.54944    16045.28711
 22288500      142.86990    15969.33105
 22290000      143.55592    16046.01172
 22291500      141.96449    15868.12891
 22293000      142.07681    15880.68262
 22294500      143.42586    16031.47266
 22296000      143.06065    15990.65332
 22297500      143.86319    16080.35645
 22299000      142.94350    15977.55762
 22300500      141.92207    15863.38770
 22302000      144.68475    16172.18750
 22303500      141.41228    15806.40527
 22305000      143.88553    16082.85254
 22306500      144.61028    16163.86230
 22308000      142.38258    15914.86133
 22309500      142.02528    15874.92285
 22311000      143.09897    15994.93555
 22312500      142.63277    15942.82520
 22314000      142.80199    15961.74023
 22315500      143.15207    16000.87109
 22317000      143.47739    16037.23242
 22318500      144.03192    16099.21582
 22320000      142.60699    15939.94336
 22321500      142.36928    15913.37402
 22323000      142.54584    15933.10840
 22324500      142.99217    15982.99805
 22326000      143.30583    16018.05664
 22327500      142.54900    15933.46094
 22329000      144.29607    16128.74121
 22330500      143.64059    16055.47461
 22332000      143.54672    16044.98340
 22333500      143.16774    16002.62207
 22335000      140.43645    15697.33008
 22336500      144.10887    16107.81836
 22338000      143.73068    16065.54492
 22339500      141.57195    15824.25195
 22341000      144.09721    16106.51367
 22342500      142.28658    15904.12988
 22344000      143.61798    16052.94727
 22345500      143.89290    16083.67578
 22347000      143.82028    16075.56055
 22348500      143.37387    16025.66211
 22350000      142.39352    15916.08398
 22351500      143.67448    16059.26367
 22353000      142.99135    15982.90625
 22354500      143.29039    16016.33008
 22356000      143.58815    16049.61426
 22357500      143.74707    16067.37695
 22359000      143.92615    16087.39258
 22360500      142.46741    15924.34180
 22362000      142.73877    15954.67383
 22363500      144.99805    16207.20508
 22365000      142.61673    15941.03320
 22366500      143.53651    16043.84277
 22368000      143.21254    16007.62891
 22369500      141.52034    15818.48242
 22371000      143.07545    15992.30664
 22372500      143.06172    15990.77246
 22374000      143.91069    16085.66602
 22375500      143.27716    16014.85352
 22377000      142.80418    15961.98633
 22378500      142.67725    15947.79785
 22380000      143.36014    16024.12695
 22381500      142.34496    15910.65625
 22383000      143.65164    16056.71094
 22384500      143.05748    15990.29785
 22386000      142.89706    15972.36621
 22387500      142.88332    15970.83105
 22389000      144.17082    16114.74121
 22390500      145.23318    16233.48730
 22392000      142.65218    15944.99512
 22393500      143.11201    15996.39355
 22395000      143.45116    16034.30176
 22396500      141.79115    15848.75391
 22398000      140.96828    15756.77637
 22399500      142.02693    15875.10742
 22401000      143.14929    16000.55957
 22402500      143.44484    16033.59473
