#       r                 g_11(r)         g_12(r)         g_13(r)         g_14(r)         g_15(r)         g_16(r)         g_17(r)
         0.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.01031         0.00000
         2.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.97724         0.00000
         2.75000         0.00000         0.00000         0.00000         0.00000         0.00000         2.21573         0.00000
         3.00000         0.00000         0.00000         0.00000         0.00000         0.00000         1.10926         0.00030
         3.25000         0.00000         0.00000         0.00126         0.00000         0.07144         0.41022         0.45586
         3.50000         0.00000         0.00000         0.39859         0.00000         1.93350         0.34612         2.73690
         3.75000         0.00000         0.00000         2.82802         0.00000         2.43339         0.84288         1.92066
         4.00000         0.00000         0.03554         4.27967         0.00000         1.06167         1.30139         0.80109
         4.25000         0.00026         1.33967         3.47634         0.00910         0.66367         1.13197         0.59775
         4.50000         0.01045         4.32809         2.39654         0.49285         0.73432         0.92732         0.70988
         4.75000         0.08251         4.64137         1.65752         2.46418         0.90112         0.88394         0.87837
         5.00000         0.26432         3.30295         1.22208         3.74037         1.02714         0.89922         1.00865
         5.25000         0.51925         2.07695         0.97153         3.30559         1.05698         0.91015         1.06225
         5.50000         0.75625         1.31432         0.84410         2.36272         1.00948         0.89328         1.03303
         5.75000         0.88577         0.92545         0.77283         1.62163         0.92577         0.87025         0.95368
         6.00000         0.91496         0.74647         0.76135         1.15765         0.84698         0.86001         0.86205
         6.25000         0.95342         0.73148         0.79649         0.95410         0.80515         0.85570         0.79063
         6.50000         0.93940         0.74239         0.87708         0.84415         0.77928         0.85340         0.75282
         6.75000         0.92838         0.74193         0.98365         0.78735         0.81059         0.85340         0.79298
         7.00000         0.93496         0.75429         1.05920         0.77265         0.89338         0.86999         0.88200
         7.25000         1.00066         0.78566         1.01630         0.80530         0.97813         0.90958         0.97135
         7.50000         1.09389         0.81629         0.91400         0.88047         1.02913         0.95891         1.02648
         7.75000         1.19159         0.83465         0.83733         0.96611         1.04354         0.99948         1.04444
         8.00000         1.24759         0.84389         0.80975         1.04686         1.03164         1.02743         1.03670
         8.25000         1.26990         0.86712         0.81521         1.07602         1.01508         1.04144         1.01901
         8.50000         1.24595         0.88709         0.84000         1.02906         1.00478         1.04113         1.00796
         8.75000         1.21691         0.88929         0.87471         0.95755         1.00477         1.03309         1.00681
         9.00000         1.16666         0.87088         0.91387         0.92841         1.00984         1.02299         1.01137
         9.25000         1.11520         0.86782         0.95242         0.92768         1.01519         1.01448         1.01651
         9.50000         1.06164         0.88422         0.98144         0.93895         1.01597         1.00807         1.01765
         9.75000         1.01767         0.90678         1.00644         0.95185         1.01010         1.00562         1.01235
        10.00000         0.98430         0.93487         1.02861         0.96986         0.99998         1.00363         1.00217
        10.25000         0.95894         0.96234         1.03807         0.97563         0.98924         1.00157         0.99159
