#       r                 g_61(r)         g_62(r)         g_63(r)         g_64(r)         g_65(r)         g_66(r)         g_67(r)
        19.25000         0.99165         0.99313         0.99325         0.98915         1.01446         1.00039         1.00037
        19.50000         0.99109         0.99266         0.99279         0.98889         1.01381         0.99971         0.99976
        19.75000         0.99019         0.99224         0.99233         0.98850         1.01312         0.99901         0.99907
        20.00000         0.98954         0.99157         0.99162         0.98783         1.01261         0.99838         0.99857
        20.25000         0.98919         0.99107         0.99064         0.98738         1.01189         0.99773         0.99781
        20.50000         0.98835         0.99041         0.99047         0.98680         1.01112         0.99699         0.99714
        20.75000         0.98774         0.98938         0.98952         0.98617         1.01043         0.99636         0.99636
        21.00000         0.98692         0.98891         0.98894         0.98575         1.00983         0.99571         0.99576
        21.25000         0.98657         0.98790         0.98808         0.98523         1.00914         0.99509         0.99512
        21.50000         0.98636         0.98720         0.98760         0.98459         1.00843         0.99445         0.99446
        21.75000         0.98553         0.98671         0.98700         0.98395         1.00790         0.99380         0.99396
        22.00000         0.98520         0.98561         0.98616         0.98354         1.00734         0.99325         0.99329
        22.25000         0.98493         0.98465         0.98531         0.98279         1.00672         0.99263         0.99279
        22.50000         0.98442         0.98359         0.98465         0.98242         1.00610         0.99198         0.99209
        22.75000         0.98417         0.98327         0.98403         0.98193         1.00538         0.99135         0.99142
        23.00000         0.98339         0.98247         0.98340         0.98115         1.00470         0.99080         0.99077
        23.25000         0.98282         0.98185         0.98253         0.98069         1.00414         0.99008         0.99017
        23.50000         0.98238         0.98135         0.98191         0.97991         1.00338         0.98952         0.98950
        23.75000         0.98206         0.98032         0.98138         0.97944         1.00287         0.98882         0.98894
        24.00000         0.98149         0.98003         0.98084         0.97892         1.00210         0.98811         0.98815
        24.25000         0.98079         0.97933         0.97978         0.97848         1.00141         0.98753         0.98753
