#       r             rho(1)         rho(2)         rho(3)         rho(4)         rho(5)         rho(6)         rho(7)
    -83.1161346      0.0017949      0.0015851      0.0015403      0.0016412      0.0148411      0.0302323      0.0152278
    -82.6161346      0.0017509      0.0015291      0.0015419      0.0015651      0.0150877      0.0303059      0.0152174
    -82.1161346      0.0017196      0.0015243      0.0014931      0.0015899      0.0153319      0.0307638      0.0154768
    -81.6161346      0.0017413      0.0014939      0.0015451      0.0015843      0.0151413      0.0308439      0.0154544
    -81.1161346      0.0016804      0.0014851      0.0015627      0.0015107      0.0154632      0.0309536      0.0155801
    -80.6161346      0.0016684      0.0014915      0.0016732      0.0015187      0.0155248      0.0307839      0.0154912
    -80.1161346      0.0015851      0.0015755      0.0015980      0.0015811      0.0155296      0.0310184      0.0153215
    -79.6161346      0.0015379      0.0015539      0.0016092      0.0015243      0.0154392      0.0306614      0.0153639
    -79.1161346      0.0015827      0.0016324      0.0016612      0.0015948      0.0154440      0.0306301      0.0152742
    -78.6161346      0.0015771      0.0016348      0.0016564      0.0015411      0.0154304      0.0305597      0.0154095
    -78.1161346      0.0014715      0.0016292      0.0016612      0.0014915      0.0152086      0.0309384      0.0153527
    -77.6161346      0.0015499      0.0016636      0.0016804      0.0015299      0.0153927      0.0303700      0.0152814
    -77.1161346      0.0015595      0.0016804      0.0015924      0.0015491      0.0153943      0.0308271      0.0154223
    -76.6161346      0.0015123      0.0016812      0.0016236      0.0014907      0.0152454      0.0305661      0.0152222
    -76.1161346      0.0015835      0.0017389      0.0015980      0.0015603      0.0154368      0.0305405      0.0151085
    -75.6161346      0.0016052      0.0016876      0.0015948      0.0015707      0.0151902      0.0305149      0.0153687
    -75.1161346      0.0016324      0.0016452      0.0015667      0.0015603      0.0151686      0.0303211      0.0150653
    -74.6161346      0.0015243      0.0015875      0.0016428      0.0015643      0.0153775      0.0305093      0.0153207
    -74.1161346      0.0015747      0.0015739      0.0017309      0.0015227      0.0151013      0.0305717      0.0153511
    -73.6161346      0.0016700      0.0015579      0.0016604      0.0015363      0.0153335      0.0303267      0.0151726
    -73.1161346      0.0016124      0.0015403      0.0016460      0.0015115      0.0153647      0.0301970      0.0150357
    -72.6161346      0.0016260      0.0014947      0.0016516      0.0015403      0.0151013      0.0302202      0.0148924
    -72.1161346      0.0016156      0.0016100      0.0016876      0.0015948      0.0150565      0.0299088      0.0149676
    -71.6161346      0.0015843      0.0015507      0.0016860      0.0016028      0.0149036      0.0298552      0.0149988
    -71.1161346      0.0015555      0.0016412      0.0016748      0.0016116      0.0149772      0.0296983      0.0148451
    -70.6161346      0.0015988      0.0016388      0.0015899      0.0016012      0.0150020      0.0297199      0.0147723
    -70.1161346      0.0015011      0.0016388      0.0016212      0.0016028      0.0149068      0.0297815      0.0149020
    -69.6161346      0.0015403      0.0016556      0.0015795      0.0017244      0.0147202      0.0296727      0.0148860
    -69.1161346      0.0016292      0.0016068      0.0015635      0.0016076      0.0148948      0.0300825      0.0152903
    -68.6161346      0.0015667      0.0016636      0.0015819      0.0016724      0.0149412      0.0299809      0.0150677
    -68.1161346      0.0016252      0.0016236      0.0016004      0.0016316      0.0152550      0.0304468      0.0151974
    -67.6161346      0.0016556      0.0016572      0.0016092      0.0016372      0.0151349      0.0304060      0.0154087
    -67.1161346      0.0015972      0.0015779      0.0016388      0.0015755      0.0151894      0.0309360      0.0154960
    -66.6161346      0.0015747      0.0015547      0.0016764      0.0015315      0.0153183      0.0304356      0.0154215
    -66.1161346      0.0014659      0.0015563      0.0016756      0.0014635      0.0155929      0.0309384      0.0153431
    -65.6161346      0.0015515      0.0015587      0.0016780      0.0015155      0.0153471      0.0310881      0.0155496
    -65.1161346      0.0015243      0.0015899      0.0016156      0.0015019      0.0153863      0.0307582      0.0155745
    -64.6161346      0.0015291      0.0016004      0.0016444      0.0016060      0.0155608      0.0311849      0.0156601
    -64.1161346      0.0016452      0.0016796      0.0015507      0.0015459      0.0155576      0.0311897      0.0155849
    -63.6161346      0.0016988      0.0015932      0.0015475      0.0015787      0.0156785      0.0313234      0.0156705
    -63.1161346      0.0016572      0.0016004      0.0014691      0.0015659      0.0155657      0.0313170      0.0159483
    -62.6161346      0.0015948      0.0015299      0.0015563      0.0015563      0.0157418      0.0317221      0.0157538
    -62.1161346      0.0015051      0.0015331      0.0015035      0.0015675      0.0159812      0.0312034      0.0155617
    -61.6161346      0.0015083      0.0015451      0.0014835      0.0015996      0.0157858      0.0314067      0.0155737
    -61.1161346      0.0014923      0.0015259      0.0014987      0.0015331      0.0154856      0.0309007      0.0153039
    -60.6161346      0.0014466      0.0015123      0.0015059      0.0016276      0.0154968      0.0306117      0.0151822
    -60.1161346      0.0015083      0.0015627      0.0014587      0.0016868      0.0153015      0.0305373      0.0150821
    -59.6161346      0.0014971      0.0016100      0.0015299      0.0015948      0.0152550      0.0303043      0.0152150
    -59.1161346      0.0015003      0.0015427      0.0014755      0.0016804      0.0151181      0.0303764      0.0149036
    -58.6161346      0.0014402      0.0015283      0.0015019      0.0016868      0.0151277      0.0301258      0.0150397
    -58.1161346      0.0015627      0.0015299      0.0015275      0.0015475      0.0149524      0.0300850      0.0148772
    -57.6161346      0.0016444      0.0015459      0.0014987      0.0015627      0.0149548      0.0298424      0.0148563
    -57.1161346      0.0016796      0.0015988      0.0014819      0.0016388      0.0148035      0.0298552      0.0149732
    -56.6161346      0.0016812      0.0015395      0.0015843      0.0016548      0.0149140      0.0299112      0.0150613
    -56.1161346      0.0016772      0.0015139      0.0016652      0.0016492      0.0149676      0.0302955      0.0151149
    -55.6161346      0.0016364      0.0015851      0.0016748      0.0015811      0.0150205      0.0300521      0.0153063
    -55.1161346      0.0017044      0.0015956      0.0016572      0.0015635      0.0151445      0.0304420      0.0150677
    -54.6161346      0.0017028      0.0016180      0.0016596      0.0015932      0.0152286      0.0304116      0.0148844
    -54.1161346      0.0017309      0.0016452      0.0016700      0.0015291      0.0150741      0.0299112      0.0151510
    -53.6161346      0.0016468      0.0016884      0.0016468      0.0015507      0.0149980      0.0300657      0.0153119
    -53.1161346      0.0016044      0.0016436      0.0015851      0.0015899      0.0150717      0.0304580      0.0152638
    -52.6161346      0.0015483      0.0016452      0.0016124      0.0016108      0.0153551      0.0306494      0.0152758
    -52.1161346      0.0015307      0.0016884      0.0016708      0.0016188      0.0152822      0.0305717      0.0151702
    -51.6161346      0.0016244      0.0016564      0.0016788      0.0016268      0.0151902      0.0305805      0.0153559
    -51.1161346      0.0016396      0.0015956      0.0016356      0.0015563      0.0152334      0.0308599      0.0156593
    -50.6161346      0.0016212      0.0016044      0.0016076      0.0015723      0.0154143      0.0313010      0.0158387
    -50.1161346      0.0016140      0.0016524      0.0015755      0.0015435      0.0156065      0.0314868      0.0159940
    -49.6161346      0.0016228      0.0015019      0.0015715      0.0016436      0.0158563      0.0318494      0.0158651
    -49.1161346      0.0016004      0.0015811      0.0015275      0.0015115      0.0159339      0.0318630      0.0158435
    -48.6161346      0.0015299      0.0015275      0.0015051      0.0015155      0.0159051      0.0317934      0.0160628
    -48.1161346      0.0015371      0.0014194      0.0015235      0.0014875      0.0158851      0.0320816      0.0161565
    -47.6161346      0.0015107      0.0015003      0.0015475      0.0015315      0.0160108      0.0320736      0.0160460
    -47.1161346      0.0015803      0.0014643      0.0015539      0.0015075      0.0162029      0.0319679      0.0157330
    -46.6161346      0.0015795      0.0015627      0.0015611      0.0014827      0.0160052      0.0317229      0.0160300
    -46.1161346      0.0015691      0.0015603      0.0015267      0.0014891      0.0158146      0.0317045      0.0156673
    -45.6161346      0.0015291      0.0015932      0.0015547      0.0015131      0.0159539      0.0311938      0.0155560
    -45.1161346      0.0015515      0.0015867      0.0015251      0.0015387      0.0157218      0.0310520      0.0151437
    -44.6161346      0.0014474      0.0014987      0.0015259      0.0016380      0.0155224      0.0305069      0.0149796
    -44.1161346      0.0013922      0.0015819      0.0015779      0.0016084      0.0152222      0.0300433      0.0150973
    -43.6161346      0.0014522      0.0015187      0.0015115      0.0016452      0.0149228      0.0302851      0.0150957
    -43.1161346      0.0015059      0.0016268      0.0015563      0.0015691      0.0150733      0.0303171      0.0152038
    -42.6161346      0.0015083      0.0016012      0.0016284      0.0016756      0.0151117      0.0303347      0.0152630
    -42.1161346      0.0016564      0.0016204      0.0016132      0.0016140      0.0152326      0.0307654      0.0153351
    -41.6161346      0.0016388      0.0016684      0.0016372      0.0015411      0.0152222      0.0306862      0.0155889
    -41.1161346      0.0016956      0.0015723      0.0016324      0.0015203      0.0153663      0.0308655      0.0153751
    -40.6161346      0.0017028      0.0015956      0.0016484      0.0015459      0.0155336      0.0311497      0.0158130
    -40.1161346      0.0016636      0.0016004      0.0015699      0.0016460      0.0154600      0.0314491      0.0158907
    -39.6161346      0.0016492      0.0016572      0.0016276      0.0015603      0.0157162      0.0318518      0.0162814
    -39.1161346      0.0016388      0.0015667      0.0015883      0.0015371      0.0159243      0.0318798      0.0158923
    -38.6161346      0.0015835      0.0015635      0.0015899      0.0015611      0.0161565      0.0321336      0.0158435
    -38.1161346      0.0015315      0.0016572      0.0015067      0.0016084      0.0160908      0.0316541      0.0160660
