#       r                 g_41(r)         g_42(r)         g_43(r)         g_44(r)         g_45(r)         g_46(r)         g_47(r)
         0.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00001         0.00000
         3.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00071         0.00000
         3.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00890         0.00000
         3.50000         0.00000         0.00000         0.00073         0.00000         0.00278         0.07922         0.00190
         3.75000         0.00000        14.83528         0.05267         0.00000         0.17393         0.36580         0.12662
         4.00000         0.00000         0.00000         0.36599         0.00000         0.89258         0.84088         0.76973
         4.25000         0.00923         0.00101         0.77236         0.00003         1.50108         1.18262         1.45378
         4.50000         0.49978         0.04911         0.94966         0.01208         1.58090         1.27356         1.60364
         4.75000         2.49884         0.27764         0.94034         0.28134         1.40800         1.24017         1.44618
         5.00000         3.79298         0.56427         0.84850         1.13742         1.19606         1.18286         1.22699
         5.25000         3.35209         0.73007         0.75853         1.85856         1.01210         1.08672         1.03181
         5.50000         2.39596         0.77399         7.58179         1.91301         0.87622         0.97848         0.88703
         5.75000         1.64444         0.74771         0.64089         1.61792         0.78100         0.90058         0.78512
         6.00000         1.17394         0.71712         0.61467         1.28025         0.72830         0.85949         0.73179
         6.25000         0.96752         0.75252         0.62398         1.06796         0.73726         0.83943         0.73741
         6.50000         0.85602         0.81262         0.65747         0.91659         0.79722         0.84258         0.79801
         6.75000         0.79843         0.87105         0.72542         0.80703         0.90229         0.87736         0.89963
         7.00000         0.78352         0.90942         0.81061         0.73717         0.99337         0.94300         0.99289
         7.25000         0.81663         0.94917         0.90429         0.69853         1.04071         1.01260         1.04402
         7.50000         0.89286         1.01743         0.97871         0.69564         1.05304         1.05711         1.06009
         7.75000         0.97970         1.10871         1.02574         0.73187         1.04301         1.06580         1.05485
         8.00000         1.06159         1.18417         1.06157         0.79735         1.03421         1.05289         1.04166
         8.25000         1.09116         1.22980         1.08226         0.87577         1.03726         1.03474         1.03837
         8.50000         1.04353         1.25024         1.09219         0.94671         1.03799         1.02205         1.03479
         8.75000         0.97102         1.25267         1.09604         0.98760         1.02999         1.00970         1.02421
         9.00000         0.94147         1.23135         1.08262         1.01883         1.01452         1.00105         1.01042
         9.25000         0.94073         1.19201         1.05792         1.04155         1.00076         0.99529         0.99807
         9.50000         0.95216         1.13652         1.04622         1.04789         0.99105         0.99075         0.99011
         9.75000         0.96524         1.07243         1.04670         1.03843         0.98267         0.98820         0.98278
        10.00000         0.98350         1.01737         1.05385         1.00614         0.97915         0.98586         0.97932
        10.25000         0.98936         0.97546         1.06726         0.97063         0.97891         0.98466         0.98007
