#       r                 g_31(r)         g_32(r)         g_33(r)         g_34(r)         g_35(r)         g_36(r)         g_37(r)
         0.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00002         0.00000
         2.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00140         0.00000
         2.50000         0.00000         0.00000         0.00000         0.00000         0.00003         0.03300         0.00006
         2.75000         0.00000        27.57749         0.00409         0.00000         0.06740         0.24979         0.04157
         3.00000         0.00000         0.00000         0.09115         0.00000         0.80793         0.71840         0.62756
         3.25000         0.00128         0.00005         0.32209         0.00000         1.53357         1.10575         1.46578
         3.50000         0.40420         0.00862         0.49215         0.00072         1.54997         1.25695         1.58867
         3.75000         2.86781         0.08071         0.54834         0.05194         1.34738         1.26408         1.39568
         4.00000         4.33988         0.22755         0.56292         0.36092         1.16405         1.22701         1.19789
         4.25000         3.52524         0.35144         0.55571         0.76165         1.03248         1.13638         1.05134
         4.50000         2.43025         0.43273         0.54164         0.93648         0.94063         1.03093         0.95041
         4.75000         1.68084         0.48606         0.54451         0.92730         0.88430         0.95849         0.88780
         5.00000         1.23927         0.52437         0.54958         0.83673         0.85244         0.92235         0.85264
         5.25000         0.98519         0.55931         0.57484         0.74801         0.84468         0.90740         0.84516
         5.50000         0.85597         0.59830         0.61521         7.47662         0.87418         0.91030         0.87318
         5.75000         0.78370         0.65099         0.67520         0.63200         0.94000         0.93490         0.93609
         6.00000         0.77206         0.69779         0.76083         0.60615         1.00046         0.98003         1.00105
         6.25000         0.80769         0.76172         0.84606         0.61532         1.03077         1.02455         1.03607
         6.50000         0.88942         0.84432         0.91393         0.64835         1.02682         1.04412         1.03945
         6.75000         0.99748         0.94733         0.96852         0.71536         1.00801         1.03236         1.01960
         7.00000         1.07410         1.03179         1.00034         0.79937         0.99685         1.01105         1.00486
         7.25000         1.03060         1.09828         1.02700         0.89175         0.99497         0.99068         0.99739
         7.50000         0.92686         1.12812         1.04654         0.96513         0.99051         0.97664         0.98672
         7.75000         0.84911         1.16432         1.03869         1.01151         0.98099         0.96984         0.97513
         8.00000         0.82114         1.17170         1.02901         1.04684         0.97423         0.96759         0.96876
         8.25000         0.82668         1.16575         1.01091         1.06725         0.97399         0.96848         0.96961
         8.50000         0.85182         1.13555         0.99047         1.07704         0.97518         0.97168         0.97339
         8.75000         0.88701         1.09188         0.98664         1.08084         0.98021         0.97686         0.97909
         9.00000         0.92672         1.04711         0.99057         1.06760         0.98591         0.98306         0.98589
         9.25000         0.96582         1.01077         1.00578         1.04325         0.99196         0.98836         0.99098
         9.50000         0.99524         0.99278         1.01063         1.03170         0.99552         0.98967         0.99579
         9.75000         1.02060         0.99162         1.00945         1.03218         0.99517         0.98757         0.99497
        10.00000         1.04308         0.99321         0.99714         1.03923         0.99059         0.98493         0.99046
        10.25000         1.05267         0.99912         0.99012         1.05245         0.98425         0.98219         0.98395
