#       r                 g_71(r)         g_72(r)         g_73(r)         g_74(r)         g_75(r)         g_76(r)         g_77(r)
         0.25000         0.00000         0.00000         0.00000         0.00000       313.30228         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000         0.00000         0.00000        37.36633         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00165         0.00000
         1.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.90256         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         2.37574         0.00000
         2.25000         0.00000         0.00000         0.00000         0.00000         0.00012         0.69384         0.00002
         2.50000         0.00000         0.00000         0.00006         0.00000         0.95937         0.25348         0.40563
         2.75000         0.00000         0.00000         0.04216         0.00000         4.21515         0.66643         4.85870
         3.00000         0.00030         0.00000         0.63639         0.00000         2.69266         1.67371         2.56127
         3.25000         0.46228         0.00402         1.48640         0.00000         0.84737         2.37565         0.77773
         3.50000         2.77540         0.27566         1.61101         0.00193         0.72325         1.77805         0.71094
         3.75000         1.94768         1.26070         1.41531         0.12840         0.93025         1.24088         0.91262
         4.00000         0.81236         1.72944         1.21475         0.78056         1.18170         1.16253         1.14736
         4.25000         0.60616         1.56768         1.06613         1.47423         1.39491         1.18880         1.34995
         4.50000         0.71986         1.32246         0.96378         1.62620         1.48855         1.19400         1.45087
         4.75000         0.89072         1.14787         0.90028         1.46652         1.43513         1.18176         1.41918
         5.00000         1.02284         1.04138         0.86463         1.24425         1.29138         1.18458         1.29163
         5.25000         1.07719         0.98111         0.85705         1.04633         1.13045         1.19127         1.13314
         5.50000         1.04756         0.95027         0.88546         0.89950         0.98989         1.16742         0.98465
         5.75000         0.96710         0.93182         0.94926         0.79616         0.91722         1.11255         0.90301
         6.00000         0.87418         0.91873         1.01513         0.74208         0.94886         1.05213         0.93185
         6.25000         0.80175         0.93829         1.05064         0.74779         1.03594         1.01966         1.01608
         6.50000         0.76341         0.98031         1.05408         0.80923         1.11753         1.02526         1.09592
         6.75000         0.80414         1.00857         1.03395         0.91228         1.16016         1.05269         1.13988
         7.00000         0.89441         1.02303         1.01899         1.00685         1.15458         1.08117         1.13601
         7.25000         0.98502         1.03184         1.01142         1.05870         1.11182         1.09893         1.09605
         7.50000         1.04092         1.04708         1.00060         1.07500         1.06465         1.09988         1.05171
         7.75000         1.05913         1.06105         0.98885         1.06969         1.03936         1.08722         1.02556
         8.00000         1.05128         1.05953         0.98239         1.05631         1.03769         1.06916         1.02247
         8.25000         1.03335         1.03339         0.98325         1.05298         1.04947         1.05434         1.03336
         8.50000         1.02214         1.00082         0.98708         1.04934         1.06335         1.04637         1.04698
         8.75000         1.02097         0.97492         0.99286         1.03862         1.06963         1.04495         1.05405
         9.00000         1.02559         0.96191         0.99976         1.02463         1.06514         1.04652         1.04991
         9.25000         1.03081         0.95761         1.00492         1.01211         1.05284         1.04781         1.03869
         9.50000         1.03196         0.95968         1.00980         1.00404         1.03783         1.04716         1.02408
         9.75000         1.02659         0.96598         1.00896         0.99661         1.02691         1.04388         1.01304
        10.00000         1.01626         0.97441         1.00440         0.99310         1.02368         1.03925         1.00984
        10.25000         1.00554         0.98383         0.99780         0.99385         1.02846         1.03530         1.01381
        10.50000         0.99814         0.99071         0.99425         0.99647         1.03635         1.03352         1.02146
        10.75000         0.99574         0.99646         0.99249         1.00135         1.04242         1.03474         1.02754
        11.00000         0.99986         1.00171         0.99350         1.00696         1.04500         1.03719         1.03016
        11.25000         1.00582         1.00673         0.99617         1.01047         1.04357         1.03926         1.02881
        11.50000         1.01206         1.01005         0.99992         1.01334         1.03994         1.03982         1.02538
        11.75000         1.01579         1.01461         1.00316         1.01430         1.03546         1.03882         1.02134
        12.00000         1.01539         1.01558         1.00567         1.01362         1.03202         1.03685         1.01789
        12.25000         1.01297         1.01599         1.00746         1.01471         1.03022         1.03414         1.01589
        12.50000         1.00893         1.01515         1.00737         1.01417         1.03044         1.03152         1.01571
        12.75000         1.00564         1.01214         1.00599         1.01263         1.03141         1.02898         1.01678
        13.00000         1.00441         1.00879         1.00536         1.01213         1.03150         1.02749         1.01680
        13.25000         1.00207         1.00809         1.00490         1.00955         1.02875         1.02727         1.01411
        13.50000         1.00103         1.00739         1.00388         1.00815         1.02639         1.02752         1.01191
        13.75000         1.00025         1.00583         1.00403         1.00506         1.02503         1.02710         1.01059
        14.00000         1.00077         1.00535         1.00387         1.00304         1.02451         1.02619         1.01010
        14.25000         1.00127         1.00428         1.00247         1.00078         1.02484         1.02564         1.01035
        14.50000         1.00159         1.00317         1.00276         0.99974         1.02496         1.02519         1.01062
        14.75000         1.00192         1.00301         1.00194         0.99880         1.02572         1.02497         1.01097
        15.00000         1.00277         1.00085         1.00102         0.99881         1.02612         1.02464         1.01166
        15.25000         1.00365         1.00080         1.00079         0.99787         1.02567         1.02444         1.01104
        15.50000         1.00468         0.99998         0.99990         0.99775         1.02487         1.02428         1.01029
        15.75000         1.00440         0.99919         0.99921         0.99734         1.02337         1.02391         1.00908
        16.00000         1.00411         0.99842         0.99876         0.99702         1.02240         1.02332         1.00773
        16.25000         1.00370         0.99664         0.99832         0.99598         1.02151         1.02235         1.00727
        16.50000         1.00203         0.99664         0.99844         0.99474         1.02123         1.02161         1.00693
        16.75000         1.00136         0.99545         0.99757         0.99453         1.02081         1.02090         1.00631
        17.00000         0.99998         0.99473         0.99699         0.99345         1.02057         1.02020         1.00614
        17.25000         0.99936         0.99344         0.99670         0.99299         1.01987         1.01960         1.00552
        17.50000         0.99830         0.99296         0.99596         0.99206         1.01906         1.01897         1.00464
        17.75000         0.99707         0.99261         0.99619         0.99141         1.01827         1.01847         1.00390
        18.00000         0.99633         0.99327         0.99569         0.99064         1.01729         1.01786         1.00282
        18.25000         0.99576         0.99324         0.99544         0.99052         1.01697         1.01725         1.00267
        18.50000         0.99436         0.99302         0.99463         0.98992         1.01626         1.01645         1.00183
        18.75000         0.99360         0.99325         0.99385         0.98971         1.01576         1.01575         1.00149
        19.00000         0.99267         0.99332         0.99397         0.98961         1.01522         1.01515         1.00077
