# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
    74     9.98163     0.03532     7.24196     0.10094     0.24639     0.32515     0.25589     0.23688
    75    13.82237     5.70678    15.49987     0.16241     0.19278     0.27389     0.22251     0.26389
    76     9.44063    14.13294     1.58703     0.18148     0.24728     0.37800     0.27372     0.28286
    77     2.29105     5.13008    13.42292     0.14988     0.26711     0.35754     0.23991     0.23091
    78     6.71863     6.49053    10.78832     0.20729     0.26486     0.35946     0.27579     0.22371
    79     9.79998    12.31520     3.38638     0.14564     0.34714     0.29909     0.29911     0.25805
    80    16.71149     5.51229    16.40002     0.21512     0.39379     0.27153     0.30510     0.33423
    81     5.07622     3.23145    12.12694     0.18774     0.29980     0.31678     0.26183     0.24027
    82     8.83237     3.84667    13.74174     0.14363     0.34503     0.38753     0.30632     0.30700
    83     1.52708    15.15464     3.40075     0.12870     0.23531     0.21703     0.28083     0.26195
    84     2.66053     0.32308     9.56859     0.28429     0.31663     0.31746     0.27918     0.24862
    85     2.86479     9.12371    10.48172     0.24682     0.32531     0.31477     0.29900     0.32813
    86    12.91786     3.79499     5.85608     0.23702     0.35156     0.33145     0.27025     0.28966
    87    12.68572    12.35262     7.10877     0.08037     0.33761     0.28903     0.25595     0.26142
    88     1.35653    10.92795    13.41930     0.19695     0.29788     0.40231     0.31938     0.30380
    89     9.43299    12.94280     6.71673     0.19245     0.28600     0.23738     0.21008     0.21585
    90     1.80918    15.65890     0.90599     0.16641     0.23457     0.32841     0.26372     0.25003
    91    15.89341    12.60480     2.10516     0.14232     0.31351     0.24412     0.30389     0.26381
    92    15.02555     6.82892    14.73665     0.24730     0.33386     0.31230     0.22914     0.33198
    93     8.33041    16.04236     9.27370     0.19374     0.34677     0.30096     0.28351     0.27575
    94    14.73457    15.50408     2.84089     0.25350     0.38486     0.36877     0.28384     0.30164
    95     4.13291     2.39496     1.69641     0.14539     0.24275     0.26565     0.24370     0.28115
    96     2.17013    13.70582    14.80703     0.20821     0.31131     0.26519     0.27431     0.31048
    97     5.55706     5.85568    15.46606     0.15187     0.26627     0.33353     0.27376     0.25801
    98     6.86875     7.55000     1.62633     0.13268     0.22876     0.34744     0.26848     0.31152
    99     2.36458     6.22496     2.35014     0.05782     0.29615     0.26934     0.25130     0.28716
   100     1.52490     3.42163    10.70656     0.12997     0.25444     0.23430     0.14613     0.32378
   101    12.35852     2.11016    14.63411     0.15250     0.49387     0.23949     0.22236     0.24894
   102     3.50133    11.75883     5.83663     0.26311     0.31792     0.21482     0.27894     0.32561
   103    12.43503     1.50348     6.34573     0.27582     0.21452     0.36292     0.24960     0.26325
   104    14.70658     8.15988     3.49737     0.28876     0.25010     0.30337     0.29589     0.33666
   105     9.38509     7.01698     8.51225     0.19054     0.29166     0.31969     0.24047     0.23165
   106     8.45669     5.66452    10.44865     0.13725     0.25667     0.21985     0.22339     0.27880
   107     9.40220    15.64637    16.77114     0.19331     0.36731     0.29893     0.28881     0.30021
   108    11.24381     8.08834    13.82952     0.09960     0.31117     0.28690     0.23253     0.25919
   109    12.60803    11.43983    14.52639     0.11521     0.21990     0.27751     0.18326     0.19475
   110    12.66536    12.26135     0.75465     0.18803     0.27464     0.27942     0.20783     0.23281
   111     6.36127     4.33826     4.37499     0.15466     0.42356     0.28122     0.23747     0.31489
   112     4.84071    15.28608     1.43307     0.17008     0.37583     0.32607     0.29145     0.32197
   113    16.20017     1.38357    14.31733     0.14349     0.25417     0.26283     0.25146     0.22682
   114     3.61424    15.32029    13.78303     0.12720     0.23427     0.28545     0.22426     0.29547
   115    15.23526    12.91649    10.31344     0.13462     0.31611     0.24136     0.28504     0.31156
   116     5.31316    16.42147     8.59015     0.17331     0.28334     0.36732     0.23521     0.29085
   117     0.53313     9.34442    15.65755     0.12860     0.39207     0.28609     0.28218     0.29985
   118     3.34184     6.50014     5.86067     0.25084     0.29338     0.30453     0.25167     0.30562
   119     5.81644    14.68664     1.10624     0.15917     0.29377     0.24997     0.20289     0.30756
   120     5.55833     1.43936    11.58052     0.18367     0.29861     0.35340     0.22171     0.28220
   121    13.48634     1.98674     6.44038     0.19973     0.24601     0.36586     0.34484     0.27167
   122     2.90115     6.01137    11.60680     0.10723     0.24562     0.33339     0.27296     0.22500
   123    10.44630    14.14526     8.95113     0.16727     0.27188     0.36829     0.29598     0.29039
   124     0.45575     8.93798    14.45591     0.08513     0.21496     0.29850     0.19487     0.21349
   125     6.37131     6.91719     2.82666     0.07811     0.39384     0.27179     0.23593     0.20146
   126    15.13774     9.94423    14.53367     0.12815     0.30256     0.24820     0.28023     0.28166
   127     4.07730     7.19042     5.71256     0.15275     0.26436     0.29131     0.28557     0.30106
   128     6.81786     8.27409    10.02535     0.20795     0.33809     0.23781     0.17895     0.26315
   129     8.96678     5.33337    11.53314     0.18254     0.34455     0.33024     0.27762     0.31881
   130     9.87852    14.59488    14.72403     0.23558     0.25289     0.31489     0.21000     0.30025
   131     4.50903     3.57320    11.30026     0.21847     0.36228     0.28025     0.26694     0.38593
   132    16.65085    14.69072    11.76716     0.14084     0.26175     0.33131     0.20831     0.28756
   133    13.70028     5.62680     7.87338     0.14790     0.41472     0.26420     0.24419     0.30189
   134     4.99904    14.58962     5.13532     0.18300     0.23477     0.30342     0.29487     0.30934
   135    14.30910     6.56853     9.82259     0.13767     0.34078     0.27868     0.29516     0.34190
   136     4.35877     6.06249     1.81886     0.15681     0.29163     0.24772     0.20785     0.25929
   137     2.75098    13.63803    13.76745     0.24241     0.31781     0.33223     0.24655     0.32537
   138     3.79772    10.78382    16.24704     0.16588     0.30473     0.37281     0.27039     0.28595
   139    10.77606    11.81705    15.71576     0.12547     0.28885     0.28302     0.21103     0.23224
   140     4.82372    13.19168    15.65583     0.11454     0.35801     0.24784     0.26097     0.32038
   141    15.24429     2.35198    10.02523     0.23333     0.27883     0.21464     0.23565     0.29444
   142     2.00063     3.97223     9.89371     0.14560     0.39514     0.33699     0.28031     0.31905
   143     3.31584     9.14172     3.66741     0.19602     0.23202     0.24813     0.30375     0.23478
   144     8.54818     2.86710    16.20028     0.18807     0.33547     0.26813     0.23434     0.30831
   145     6.05524     0.71855     6.91409     0.14370     0.28866     0.32126     0.33164     0.29464
   146    14.25125    15.15142    11.50988     0.12483     0.37620     0.23289     0.25208     0.24707
   147     3.97343     7.85555     7.26551     0.16211     0.26961     0.30576     0.29157     0.28267
   148     3.63252     1.93297     5.75595     0.11208     0.29543     0.19462     0.23083     0.24818
   149    14.44120    16.58141    15.22782     0.10731     0.32259     0.21191     0.20094     0.28510
   150    15.43259     7.70426    10.80312     0.10185     0.36882     0.24517     0.18038     0.24458
   151     0.77851    10.92855    15.22563     0.29092     0.46801     0.36662     0.35235     0.42212
   152    16.35628     7.50528     7.07822     0.13676     0.23986     0.33649     0.27607     0.30170
   153     1.18621     9.00983     3.09989     0.08347     0.35974     0.35359     0.26245     0.34653
   154     1.47738     1.41789    16.38934     0.23678     0.38226     0.38457     0.29551     0.23122
   155    12.71611     6.77194    13.72237     0.16503     0.30265     0.19364     0.25437     0.30559
   156    12.71535    12.83252    16.34944     0.16511     0.19149     0.35238     0.23513     0.27987
   157     6.32772     5.93231     1.10589     0.19181     0.19121     0.28820     0.27806     0.24266
   158    11.84597     6.02818    11.03402     0.20072     0.21599     0.29756     0.19758     0.26974
   159    16.72568     2.21394    14.93575     0.17098     0.28703     0.23709     0.26675     0.31993
   160    14.18900     2.16317     7.38028     0.16489     0.35027     0.23669     0.24302     0.21337
   161     8.09017     9.43304     5.68423     0.20052     0.26097     0.26314     0.26835     0.25298
   162     0.69410     6.32547     9.35834     0.14913     0.35022     0.31592     0.28958     0.30271
   163    11.60342    13.83888     2.83292     0.17914     0.27624     0.34920     0.28685     0.24994
   164    10.74640    12.56793    16.66170     0.13629     0.29530     0.26825     0.16823     0.19612
   165     8.97001     8.09875    11.83954     0.21892     0.34943     0.33798     0.25413     0.32455
   166    13.53466     7.15587     9.94943     0.26595     0.29823     0.26127     0.32658     0.42007
   167    13.92191     7.93930     0.72540     0.24629     0.36127     0.34921     0.27573     0.28635
   168     7.87887     7.93511    11.74829     0.18965     0.35994     0.15770     0.22343     0.26145
   169    11.38942     3.65847     3.17547     0.08477     0.36755     0.21093     0.19799     0.32218
   170     8.57619     6.03663    16.04589     0.11576     0.38848     0.27481     0.24387     0.25381
   171    16.69237    15.46967    13.43976     0.15565     0.18269     0.33040     0.26347     0.25878
   172     5.94333     6.98668     1.58475     0.20730     0.23781     0.26378     0.29076     0.25137
   173    13.53833    11.98805     0.02373     0.12501     0.28075     0.25996     0.21749     0.27030
   174     9.11734    13.25999     3.88107     0.10126     0.37950     0.33571     0.22372     0.30155
   175    16.09195     3.80193     4.42739     0.24901     0.29188     0.33153     0.28050     0.29164
   176    11.08022     6.24462     9.31528     0.19491     0.32483     0.28681     0.21164     0.25073
   177     3.98055     1.13681    13.50112     0.19175     0.30700     0.28811     0.31725     0.28170
   178    14.96082     3.60740    15.00112     0.16747     0.17608     0.35079     0.24357     0.20089
   179     6.26093     8.63099    16.27644     0.14757     0.32582     0.32723     0.26711     0.32490
   180     0.10600     4.27261     5.89164     0.15349     0.26352     0.25227     0.25737     0.31079
   181    13.06972     0.80322     8.47737     0.14672     0.27376     0.23357     0.25579     0.28617
   182    11.92194    14.64297     7.36362     0.14357     0.26980     0.24058     0.20482     0.27030
   183     0.16796     0.89389     6.60514     0.15696     0.45309     0.28220     0.23676     0.31006
   184     9.98620    12.28898     2.28775     0.11818     0.37778     0.30249     0.22852     0.33580
   185     5.16271     7.04070     4.95806     0.19021     0.26987     0.30126     0.26336     0.24291
   186    16.54369    10.11720     2.39897     0.16421     0.22117     0.28472     0.29266     0.36075
   187     1.90961    13.60952     2.51291     0.15831     0.33251     0.24529     0.22551     0.26109
   188     8.43344     1.58382     9.83249     0.11277     0.22445     0.22834     0.25798     0.27618
   189     6.43430     6.83293     0.62110     0.20522     0.26499     0.37312     0.27436     0.31529
   190     2.38917     1.16100    15.48042     0.21059     0.37223     0.29868     0.32024     0.32754
   191    13.55127     8.81883    13.92207     0.15849     0.23660     0.26411     0.21172     0.22284
   192    12.68530     6.03284     7.90116     0.29586     0.27012     0.36123     0.22636     0.22148
   193     8.60163    14.82277    14.66189     0.15215     0.20718     0.25011     0.18087     0.22955
   194    11.33638    16.63902     0.17335     0.20173     0.31502     0.20821     0.27087     0.23891
   195    15.28187     9.48089    16.66754     0.18513     0.24624     0.34635     0.16916     0.22244
   196     5.23636     5.51574    16.34083     0.13379     0.26111     0.32978     0.23812     0.24919
   197    12.65158     9.16869     3.68063     0.11388     0.18755     0.28086     0.29961     0.17617
   198    13.52228    11.49260    11.25277     0.13301     0.28899     0.30371     0.28240     0.25563
   199    11.96187     1.81498    10.50845     0.15961     0.30599     0.32745     0.31426     0.24379
   200     6.84520    14.33062    14.63349     0.15901     0.32811     0.16511     0.30639     0.29898
   201    12.46425     8.17500     3.49481     0.21427     0.23302     0.21315     0.23468     0.22051
   202     7.77557     3.48833    16.46972     0.25318     0.26854     0.28110     0.27193     0.24263
   203     8.58002    10.20852    16.28736     0.23054     0.26750     0.32784     0.28532     0.33518
   204     8.04667    10.57931     4.27288     0.18844     0.35578     0.21064     0.25952     0.27157
   205    15.94404    13.71074    14.88287     0.14091     0.38443     0.14361     0.24708     0.24498
   206     4.16547    11.97826     3.82059     0.15763     0.31058     0.31501     0.19619     0.18678
   207     2.81541    10.32763    15.98049     0.18651     0.19879     0.30802     0.21256     0.25348
   208     0.20663     4.03908     1.08284     0.18147     0.28167     0.24872     0.28589     0.36236
   209     9.55514     7.61901     5.42284     0.12931     0.36537     0.31963     0.30942     0.22209
