#    Conf       T(K)      KE (Kcal/mol)  PE Kcal/mol     Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
   604340        1.44432       17.21634   -18947.55859        3.48113        3.48721        3.49648        3.45969        0.09174       -0.11524        0.05778
   604350        1.45058       17.29092   -18962.61133        3.45812        3.42727        3.46962        3.47747        0.08785       -0.05493       -0.01258
   604360        1.44735       17.25241   -18933.09961        3.48044        3.42460        3.48144        3.53529        0.08449       -0.01575       -0.05688
   604370        1.43568       17.11338   -18863.28711        3.54007        3.48307        3.49618        3.64097        0.11304       -0.03469       -0.06854
   604380        1.44035       17.16901   -18875.79297        3.53622        3.46470        3.46798        3.67599        0.10706       -0.09851       -0.11924
   604390        1.44446       17.21797   -18885.95898        3.53983        3.35698        3.56941        3.69310        0.09777       -0.14659       -0.17318
   604400        1.44663       17.24389   -18887.32031        3.55178        3.28064        3.73536        3.63934        0.04096       -0.14217       -0.14632
   604410        1.44867       17.26819   -18888.99023        3.55677        3.19681        3.86388        3.60964        0.04736       -0.10207       -0.13281
   604420        1.44388       17.21108   -18857.41211        3.58086        3.16382        3.93251        3.64624        0.06077       -0.02782       -0.15041
   604430        1.43898       17.15269   -18825.60156        3.60222        3.22581        3.92379        3.65706        0.02693       -0.04409       -0.11920
   604440        1.44534       17.22849   -18850.01172        3.57812        3.29231        3.81273        3.62933       -0.01815       -0.08990       -0.06765
   604450        1.44342       17.20556   -18833.14453        3.58684        3.32464        3.78027        3.65563       -0.06327       -0.13796       -0.10980
   604460        1.44425       17.21550   -18830.23438        3.58486        3.33440        3.71287        3.70732       -0.03626       -0.17502       -0.12470
   604470        1.45477       17.34091   -18875.81836        3.55248        3.34624        3.63036        3.68084        0.00682       -0.15589       -0.15389
   604480        1.45768       17.37561   -18884.58008        3.56156        3.45010        3.62230        3.61229        0.01439       -0.11034       -0.10383
   604490        1.43476       17.10240   -18765.46289        3.68309        3.60147        3.70742        3.74038       -0.05372       -0.07339       -0.07677
   604500        1.42591       16.99693   -18715.95703        3.74598        3.66708        3.72539        3.84549       -0.09595       -0.06758       -0.03450
   604510        1.43255       17.07610   -18742.04492        3.74023        3.69918        3.68064        3.84089       -0.04724       -0.00726       -0.05303
   604520        1.43772       17.13773   -18759.31250        3.73574        3.67022        3.70693        3.83007        0.00756        0.02752       -0.06994
   604530        1.42591       16.99694   -18690.78320        3.80138        3.72653        3.82322        3.85438        0.04192        0.03882        0.00594
   604540        1.41921       16.91705   -18645.70313        3.84090        3.81187        3.85013        3.86071        0.06192        0.05169        0.00975
   604550        1.43805       17.14165   -18725.44336        3.77234        3.74333        3.76890        3.80479        0.08568        0.07435        0.03935
   604560        1.44148       17.18245   -18726.59180        3.77185        3.67884        3.75556        3.88115        0.11695        0.06522        0.09026
   604570        1.44163       17.18434   -18710.72852        3.79179        3.72095        3.69189        3.96253        0.15970        0.00476        0.06989
   604580        1.44200       17.18865   -18695.10742        3.81606        3.83319        3.65767        3.95733        0.15482       -0.04664        0.07098
   604590        1.43763       17.13656   -18655.16992        3.85862        3.83953        3.77053        3.96581        0.14787       -0.04714        0.05487
   604600        1.45569       17.35192   -18726.66797        3.80032        3.78614        3.72070        3.89414        0.15928       -0.02135       -0.03097
   604610        1.46336       17.44327   -18746.82031        3.77858        3.74065        3.67177        3.92331        0.10738        0.00205       -0.10416
   604620        1.46106       17.41584   -18719.06445        3.79517        3.73284        3.62517        4.02751        0.10265        0.03391       -0.13759
   604630        1.47108       17.53529   -18754.94336        3.75556        3.67688        3.61883        3.97098        0.12552        0.09287       -0.14921
   604640        1.47415       17.57198   -18758.85352        3.74332        3.58289        3.75590        3.89116        0.07337        0.11685       -0.14064
   604650        1.47149       17.54021   -18737.05078        3.75612        3.65434        3.79075        3.82325       -0.01853        0.05992       -0.15393
   604660        1.48631       17.71689   -18806.00391        3.69670        3.70890        3.67330        3.70789        0.01610       -0.02585       -0.09292
   604670        1.47049       17.52835   -18725.64063        3.76582        3.77252        3.75109        3.77384        0.02790       -0.03983       -0.02097
   604680        1.46079       17.41266   -18678.77148        3.80661        3.80736        3.77403        3.83845       -0.00135       -0.01065       -0.00124
   604690        1.46504       17.46338   -18703.67383        3.78274        3.78249        3.76305        3.80267        0.02322       -0.01078        0.01506
   604700        1.46600       17.47477   -18714.44727        3.77046        3.69152        3.83273        3.78713        0.02862       -0.00056        0.06646
   604710        1.46716       17.48863   -18729.09961        3.75640        3.63769        3.85930        3.77221       -0.03115        0.03156        0.17130
   604720        1.47325       17.56125   -18771.82617        3.71748        3.59724        3.78163        3.77355       -0.06860        0.06832        0.23494
   604730        1.47326       17.56129   -18788.73633        3.69697        3.56961        3.75352        3.76778       -0.02923        0.08522        0.16279
   604740        1.46241       17.43199   -18756.42578        3.71318        3.61356        3.72740        3.79857        0.04908        0.13572        0.09629
   604750        1.46563       17.47033   -18799.11719        3.66210        3.60426        3.65442        3.72761        0.02398        0.15767        0.10397
   604760        1.47031       17.52618   -18854.54297        3.60468        3.58125        3.56966        3.66312        0.00198        0.12164        0.14094
   604770        1.45366       17.32769   -18807.78516        3.64658        3.63032        3.60854        3.70088        0.05636        0.03296        0.17697
   604780        1.44929       17.27561   -18823.49414        3.64754        3.61961        3.62299        3.70003        0.05098       -0.02448        0.16253
   604790        1.45255       17.31446   -18875.55078        3.61569        3.59858        3.54539        3.70310        0.02275       -0.00870        0.09698
   604800        1.43968       17.16103   -18842.57813        3.64098        3.61627        3.59360        3.71308        0.03255        0.00326        0.02542
   604810        1.43145       17.06295   -18826.24219        3.64258        3.57135        3.69382        3.66258        0.01189       -0.04845       -0.05313
   604820        1.42271       16.95876   -18800.25195        3.65076        3.58251        3.75249        3.61728        0.01986       -0.11370       -0.08979
   604830        1.42051       16.93257   -18800.40625        3.63744        3.62180        3.72969        3.56083        0.06065       -0.11524       -0.08971
   604840        1.44267       17.19673   -18917.88672        3.53115        3.55005        3.68518        3.35821        0.09781       -0.07020       -0.08517
   604850        1.44554       17.23085   -18937.32813        3.51709        3.51563        3.65422        3.38141        0.06835        0.03683       -0.03678
   604860        1.42331       16.96595   -18830.50586        3.61736        3.56874        3.74044        3.54290       -0.04884        0.10704       -0.10909
   604870        1.40916       16.79728   -18761.74023        3.68456        3.63299        3.73695        3.68373       -0.08774        0.11918       -0.18023
   604880        1.39983       16.68600   -18713.51953        3.72862        3.64090        3.72613        3.81883       -0.01608        0.13463       -0.16480
   604890        1.39995       16.68751   -18708.75195        3.73455        3.62946        3.68140        3.89278       -0.00591        0.15091       -0.10074
   604900        1.41304       16.84347   -18764.94336        3.68658        3.64192        3.56220        3.85563       -0.05916        0.11027       -0.08366
   604910        1.42593       16.99710   -18817.63867        3.64141        3.63114        3.57960        3.71349       -0.06657       -0.00411       -0.04252
   604920        1.42510       16.98729   -18800.32227        3.65325        3.68469        3.63059        3.64447       -0.05938       -0.08594        0.02511
   604930        1.43960       17.16014   -18858.52148        3.60790        3.66756        3.59689        3.55926       -0.03787       -0.07439        0.08118
   604940        1.43323       17.08415   -18812.10156        3.65715        3.74056        3.64548        3.58540       -0.00945       -0.05923        0.05724
   604950        1.42104       16.93880   -18736.15430        3.73059        3.83246        3.64617        3.71313       -0.07473       -0.04711       -0.02068
   604960        1.42977       17.04287   -18763.17578        3.71124        3.81274        3.59868        3.72229       -0.12772       -0.00142       -0.05486
   604970        1.44171       17.18529   -18805.07031        3.67501        3.78102        3.57567        3.66835       -0.08401       -0.04237       -0.06626
   604980        1.45307       17.32060   -18844.43359        3.64663        3.72950        3.57970        3.63069       -0.04425       -0.10905       -0.02347
   604990        1.44580       17.23394   -18792.01758        3.70111        3.74268        3.62997        3.73067       -0.04594       -0.13153        0.05204
   605000        1.44208       17.18968   -18758.57617        3.74187        3.71645        3.71670        3.79244       -0.00778       -0.11749        0.06612
   605010        1.42168       16.94648   -18641.85547        3.84252        3.78486        3.84956        3.89315        0.04912       -0.17373        0.02231
   605020        1.42707       17.01074   -18652.71094        3.81941        3.77431        3.78592        3.89799        0.00520       -0.26000       -0.06738
   605030        1.45593       17.35470   -18779.66016        3.68582        3.58492        3.65349        3.81905       -0.00762       -0.30957       -0.06026
   605040        1.46901       17.51068   -18829.35156        3.62440        3.52989        3.55529        3.78801        0.01769       -0.29500       -0.05633
   605050        1.46238       17.43161   -18783.52344        3.66283        3.57401        3.59050        3.82399       -0.02337       -0.26075       -0.03883
   605060        1.45587       17.35402   -18740.94922        3.71637        3.65603        3.62202        3.87107       -0.02833       -0.22834       -0.00142
   605070        1.44561       17.23174   -18680.98047        3.78460        3.69404        3.69517        3.96460       -0.02366       -0.21902        0.05009
   605080        1.45505       17.34421   -18720.08789        3.75393        3.61254        3.73786        3.91139        0.04415       -0.21886        0.02886
   605090        1.47084       17.53249   -18792.11523        3.68292        3.48262        3.74760        3.81853        0.05511       -0.22064       -0.05150
   605100        1.46657       17.48160   -18766.55078        3.69590        3.45290        3.83668        3.79813        0.04906       -0.16863       -0.12603
   605110        1.46078       17.41256   -18735.77734        3.71823        3.51226        3.88100        3.76144        0.04829       -0.10568       -0.12557
   605120        1.47551       17.58819   -18809.70117        3.65953        3.49752        3.77199        3.70907        0.06134       -0.07394       -0.09052
   605130        1.45954       17.39776   -18732.95898        3.72834        3.59779        3.78166        3.80557        0.04340       -0.06514       -0.11653
   605140        1.46327       17.44229   -18756.69336        3.70670        3.62533        3.70583        3.78894       -0.03606       -0.07617       -0.13016
   605150        1.49094       17.77202   -18902.52539        3.58003        3.50382        3.61447        3.62179       -0.12325       -0.08419       -0.09341
   605160        1.48467       17.69738   -18884.09180        3.60099        3.60898        3.60833        3.58566       -0.16020       -0.01926       -0.10494
   605170        1.45891       17.39028   -18772.91016        3.70747        3.77150        3.70534        3.64557       -0.13550        0.01329       -0.09602
   605180        1.44489       17.22314   -18722.71484        3.76030        3.75155        3.78536        3.74398       -0.13122        0.00939       -0.09631
   605190        1.44071       17.17335   -18722.38867        3.76457        3.65623        3.83943        3.79805       -0.16390        0.01552       -0.03340
   605200        1.44428       17.21593   -18760.96289        3.73205        3.69142        3.78329        3.72146       -0.19063        0.03930        0.00959
   605210        1.44580       17.23402   -18789.54883        3.69976        3.62206        3.70382        3.77339       -0.14894        0.01970        0.04770
   605220        1.44441       17.21740   -18803.60352        3.67287        3.57472        3.70477        3.73912       -0.11895       -0.00196        0.11141
   605230        1.44405       17.21314   -18822.54883        3.63903        3.62898        3.67758        3.61052       -0.19818        0.03373        0.18356
   605240        1.43280       17.07900   -18785.90430        3.64973        3.64386        3.72824        3.57708       -0.25784        0.00194        0.13759
   605250        1.43857       17.14783   -18832.42188        3.59384        3.57951        3.71120        3.49081       -0.26642       -0.02379        0.09335
   605260        1.44804       17.26064   -18895.55859        3.52573        3.57599        3.61047        3.39074       -0.21038       -0.00367        0.10423
   605270        1.45616       17.35752   -18951.31836        3.46894        3.53011        3.50322        3.37350       -0.17856        0.03421        0.08180
   605280        1.44881       17.26985   -18929.45508        3.48366        3.47319        3.55268        3.42512       -0.18907        0.02171        0.01458
   605290        1.42860       17.02895   -18842.03320        3.56031        3.46235        3.70391        3.51466       -0.13205       -0.01972        0.06697
   605300        1.40926       16.79843   -18755.73047        3.63907        3.51094        3.83002        3.57623       -0.09033       -0.01688        0.14562
   605310        1.40945       16.80068   -18762.57813        3.63558        3.52469        3.78876        3.59328       -0.11817       -0.02479        0.09348
   605320        1.42197       16.94998   -18827.21875        3.57891        3.39480        3.69856        3.64337       -0.16469       -0.01566        0.07144
   605330        1.41982       16.92426   -18816.09180        3.58882        3.36958        3.63770        3.75918       -0.15697        0.02609        0.08310
   605340        1.42271       16.95876   -18828.30469        3.58201        3.45401        3.56171        3.73030       -0.12953        0.02822        0.09350
   605350        1.43054       17.05212   -18863.46484        3.55333        3.46309        3.60057        3.59632       -0.08982        0.00839        0.16741
   605360        1.43957       17.15978   -18904.01172        3.52330        3.49947        3.66603        3.40440       -0.08804        0.02084        0.18539
   605370        1.43041       17.05051   -18853.91211        3.58025        3.68394        3.70367        3.35315       -0.12775        0.07407        0.13889
   605380        1.41124       16.82204   -18752.94141        3.67676        3.80105        3.77956        3.44967       -0.15758        0.03161        0.11771
   605390        1.43247       17.07508   -18851.94141        3.59772        3.69495        3.62355        3.47465       -0.11210       -0.01419        0.11262
   605400        1.43992       17.16393   -18881.49219        3.57592        3.66695        3.55324        3.50758       -0.07961       -0.07957        0.10173
   605410        1.43489       17.10391   -18849.23047        3.61489        3.72650        3.59926        3.51889       -0.04766       -0.09944        0.10801
   605420        1.42357       16.96903   -18785.49609        3.68256        3.76262        3.67659        3.60846       -0.07837       -0.08707        0.15861
   605430        1.42071       16.93492   -18762.94922        3.70470        3.72131        3.70277        3.69002       -0.11958       -0.12866        0.16389
   605440        1.43735       17.13330   -18836.50586        3.63126        3.58241        3.67374        3.63763       -0.07649       -0.15150        0.14750
   605450        1.45093       17.29510   -18894.75586        3.56716        3.47780        3.72446        3.49922        0.01094       -0.13300        0.12926
   605460        1.45029       17.28754   -18883.56250        3.57156        3.53331        3.74641        3.43497        0.08656       -0.07951        0.07294
   605470        1.44046       17.17039   -18827.75586        3.62357        3.60942        3.78259        3.47868        0.13675       -0.03156        0.08201
   605480        1.43101       17.05773   -18773.98242        3.67347        3.67560        3.75582        3.58897        0.09571       -0.01706        0.15110
   605490        1.43473       17.10201   -18785.35938        3.66150        3.70567        3.68446        3.59438        0.00205       -0.09342        0.09501
   605500        1.43926       17.15602   -18800.29688        3.64101        3.70437        3.62580        3.59288       -0.01747       -0.16075        0.05957
   605510        1.44684       17.24634   -18830.57422        3.60999        3.64560        3.66504        3.51932        0.02777       -0.11737        0.04151
   605520        1.44623       17.23909   -18820.52930        3.61842        3.71621        3.67194        3.46711        0.06333       -0.08926       -0.03217
   605530        1.45257       17.31465   -18845.96289        3.59915        3.74023        3.58646        3.47075        0.07742       -0.00491        0.00413
   605540        1.45625       17.35861   -18859.15820        3.59028        3.66809        3.57106        3.53169       -0.00292        0.06032        0.06232
   605550        1.45376       17.32888   -18842.94141        3.61187        3.69332        3.54976        3.59252       -0.02462        0.04657        0.03716
   605560        1.44836       17.26451   -18813.36719        3.64740        3.71254        3.58129        3.64837        0.01225        0.01691       -0.03088
   605570        1.43552       17.11149   -18747.13086        3.71006        3.74186        3.73671        3.65161        0.04147       -0.00477       -0.04872
   605580        1.43631       17.12086   -18748.22070        3.70653        3.73197        3.77935        3.60828        0.02382        0.00595       -0.01170
   605590        1.45522       17.34624   -18839.35547        3.62698        3.61670        3.75888        3.50536        0.02360        0.05216        0.07617
   605600        1.44935       17.27633   -18807.55273        3.65851        3.66692        3.72816        3.58046        0.03161        0.09926        0.09931
   605610        1.44641       17.24125   -18791.17383        3.68261        3.73319        3.68324        3.63140        0.01702        0.08269        0.10228
   605620        1.44763       17.25583   -18795.71094        3.68350        3.75827        3.68022        3.61200        0.08167        0.02290        0.08818
   605630        1.44931       17.27586   -18803.00781        3.67506        3.69395        3.76047        3.57078        0.04908        0.01777        0.04362
   605640        1.45718       17.36961   -18841.64648        3.63393        3.64861        3.74262        3.51054        0.05983       -0.01006        0.04395
   605650        1.47120       17.53671   -18912.58984        3.56773        3.56556        3.61995        3.51769        0.10505       -0.11060        0.05638
   605660        1.46683       17.48472   -18894.78125        3.58963        3.52472        3.64967        3.59448        0.11871       -0.12153        0.04252
   605670        1.44809       17.26133   -18808.11719        3.67429        3.49474        3.82502        3.70311        0.03962       -0.08231        0.05392
   605680        1.44105       17.17739   -18781.87305        3.69921        3.47412        3.88622        3.73728       -0.05939       -0.07124        0.07762
   605690        1.43717       17.13111   -18772.91016        3.70159        3.54697        3.82385        3.73395       -0.08913        0.02838        0.08239
   605700        1.42911       17.03508   -18745.01172        3.72492        3.64550        3.85854        3.67073       -0.14848        0.17397        0.02640
   605710        1.41097       16.81878   -18668.10938        3.79536        3.75852        3.91801        3.70954       -0.18152        0.20617       -0.00984
   605720        1.40473       16.74440   -18650.47266        3.81566        3.78041        3.92373        3.74284       -0.14870        0.14940       -0.00948
   605730        1.41774       16.89953   -18728.45313        3.74873        3.69137        3.83291        3.72192       -0.08780        0.11821        0.03528
   605740        1.41596       16.87829   -18732.52344        3.73830        3.62070        3.79046        3.80375       -0.05188        0.11528        0.00150
   605750        1.41906       16.91519   -18760.74414        3.70254        3.58447        3.72692        3.79624       -0.01758        0.11536       -0.01749
   605760        1.43251       17.07552   -18840.58008        3.62154        3.44685        3.64215        3.77563       -0.01845        0.09071       -0.00843
   605770        1.43372       17.09000   -18859.99805        3.59215        3.35018        3.66384        3.76243       -0.03957        0.09300       -0.03918
   605780        1.42778       17.01923   -18844.28125        3.59604        3.38400        3.69605        3.70806        0.01516        0.10819       -0.05827
   605790        1.42269       16.95856   -18832.64648        3.60058        3.46825        3.63769        3.69579       -0.01645        0.15046       -0.10316
   605800        1.42555       16.99265   -18859.85156        3.57559        3.47614        3.59017        3.66046       -0.03153        0.08448       -0.00215
   605810        1.43459       17.10038   -18917.21875        3.52631        3.36493        3.59392        3.62008       -0.02076        0.00974        0.08755
   605820        1.43449       17.09917   -18928.70898        3.51254        3.28295        3.70158        3.55310       -0.05012       -0.01351        0.07061
   605830        1.42921       17.03623   -18914.18555        3.52085        3.33295        3.77310        3.45651       -0.09060        0.02704        0.01450
   605840        1.42544       16.99126   -18906.35547        3.52399        3.39830        3.71645        3.45723       -0.07400        0.03150       -0.08307
   605850        1.41868       16.91076   -18882.28516        3.54007        3.45384        3.59941        3.56697       -0.05055       -0.00958       -0.12493
   605860        1.41673       16.88752   -18880.09570        3.53242        3.45930        3.51911        3.61886       -0.01250       -0.01123       -0.09166
   605870        1.43227       17.07268   -18963.09961        3.45048        3.39503        3.42047        3.53593        0.00044       -0.02097       -0.07032
   605880        1.43860       17.14813   -18999.35547        3.41588        3.43433        3.39328        3.42004       -0.01571       -0.07298       -0.01910
   605890        1.42624       17.00079   -18941.69141        3.46986        3.52952        3.50568        3.37437       -0.03482       -0.05339        0.04760
   605900        1.42910       17.03496   -18959.05078        3.46356        3.51655        3.58030        3.29384       -0.06016       -0.03407        0.06052
   605910        1.42125       16.94140   -18921.20508        3.49712        3.54643        3.65726        3.28768       -0.09016       -0.06710        0.02591
   605920        1.42357       16.96906   -18932.27148        3.48546        3.44047        3.70059        3.31534       -0.10855       -0.11936       -0.02462
   605930        1.42387       16.97259   -18931.05859        3.47910        3.39225        3.61978        3.42527       -0.08716       -0.15821       -0.03998
   605940        1.42608       16.99893   -18937.25586        3.46866        3.35931        3.58373        3.46294       -0.08904       -0.09189       -0.03787
   605950        1.43190       17.06827   -18959.27148        3.45220        3.38605        3.63303        3.33752       -0.11616        0.01072       -0.03166
   605960        1.43339       17.08608   -18958.03711        3.46268        3.48351        3.64313        3.26139       -0.11187        0.05853       -0.03019
   605970        1.41424       16.85785   -18851.72461        3.56182        3.65710        3.75073        3.27765       -0.17014        0.04496       -0.01945
   605980        1.41030       16.81084   -18817.81836        3.59234        3.69246        3.84655        3.23801       -0.21487       -0.01959        0.00967
   605990        1.43192       17.06856   -18907.19531        3.51649        3.57189        3.82258        3.15499       -0.17568        0.00800        0.02277
   606000        1.43744       17.13432   -18913.52344        3.52458        3.57557        3.73589        3.26229       -0.12720        0.05614       -0.03393
   606010        1.41355       16.84957   -18771.40820        3.67071        3.69204        3.78669        3.53340       -0.10904        0.07176       -0.10636
   606020        1.41122       16.82177   -18734.22266        3.71959        3.75933        3.77587        3.62357       -0.12537        0.06744       -0.12959
   606030        1.42520       16.98840   -18775.43945        3.68267        3.76132        3.70950        3.57720       -0.14258        0.03185       -0.05720
   606040        1.44132       17.18053   -18826.75977        3.62803        3.69664        3.64689        3.54056       -0.20511        0.03056        0.02511
   606050        1.45218       17.31002   -18853.80469        3.59471        3.61104        3.59925        3.57383       -0.20087        0.04140        0.04015
   606060        1.45182       17.30579   -18828.47070        3.60748        3.59585        3.64091        3.58568       -0.16742        0.02307        0.08889
   606070        1.45242       17.31289   -18811.87109        3.61334        3.57839        3.73983        3.52181       -0.14677       -0.00436        0.12694
   606080        1.46116       17.41703   -18839.52734        3.58136        3.55163        3.72416        3.46828       -0.09893       -0.01128        0.06047
   606090        1.46765       17.49443   -18859.79492        3.56269        3.54785        3.70025        3.43997       -0.02298        0.04866        0.03260
   606100        1.46826       17.50168   -18854.38867        3.57275        3.59022        3.72245        3.40558        0.02066        0.11596       -0.00092
   606110        1.47155       17.54088   -18866.06445        3.57610        3.58361        3.62482        3.51987        0.00500        0.13694       -0.03298
   606120        1.45067       17.29206   -18759.96680        3.68353        3.67586        3.69806        3.67666       -0.02100        0.13483        0.02144
   606130        1.44443       17.21770   -18728.02734        3.72872        3.68513        3.79377        3.70727       -0.05626        0.07561        0.11936
   606140        1.45927       17.39458   -18801.64844        3.67253        3.61041        3.80800        3.59918       -0.07535        0.00263        0.08442
   606150        1.46517       17.46482   -18831.97461        3.63824        3.64991        3.72954        3.53528       -0.04210       -0.01332       -0.00625
   606160        1.47086       17.53270   -18863.61328        3.60619        3.64223        3.65038        3.52597       -0.07308        0.03656       -0.03825
   606170        1.46073       17.41198   -18818.70117        3.64945        3.72041        3.67643        3.55151       -0.10015        0.16287       -0.05362
   606180        1.43825       17.14403   -18713.42188        3.74760        3.81273        3.81862        3.61146       -0.11230        0.27085       -0.03999
   606190        1.43273       17.07824   -18692.50000        3.77594        3.79312        3.89015        3.64456       -0.04336        0.29987        0.03271
   606200        1.43161       17.06488   -18692.10547        3.78463        3.77008        3.91461        3.66921       -0.01129        0.21319        0.10934
   606210        1.44166       17.18459   -18746.52539        3.74565        3.67783        3.78594        3.77317       -0.06481        0.11461        0.09974
   606220        1.44228       17.19198   -18753.58594        3.74515        3.69551        3.70021        3.83973       -0.14271        0.07618        0.01373
   606230        1.43871       17.14942   -18739.70703        3.76327        3.78385        3.70236        3.80359       -0.11164        0.05573       -0.05454
   606240        1.43980       17.16250   -18748.55273        3.75133        3.80629        3.73281        3.71488       -0.03146       -0.00130       -0.05925
   606250        1.46691       17.48561   -18887.48047        3.62085        3.66089        3.61860        3.58306        0.05947       -0.07557        0.01355
   606260        1.47835       17.62194   -18950.58203        3.55885        3.58761        3.52631        3.56262        0.03019       -0.11379        0.10199
   606270        1.46696       17.48616   -18903.54492        3.59891        3.67112        3.56058        3.56504       -0.02071       -0.06098        0.09351
   606280        1.45017       17.28607   -18832.61523        3.66605        3.78612        3.61440        3.59763       -0.05246        0.04291       -0.00275
   606290        1.43441       17.09826   -18768.11328        3.72627        3.89968        3.65448        3.62464       -0.09510        0.04459       -0.05543
   606300        1.42802       17.02208   -18750.42578        3.74024        3.94081        3.66147        3.61844       -0.13432        0.07726       -0.05193
   606310        1.42653       17.00429   -18756.50000        3.72374        3.94229        3.59959        3.62932       -0.18571        0.15189       -0.00399
   606320        1.43416       17.09525   -18807.63672        3.66606        3.87749        3.55701        3.56368       -0.23698        0.15634        0.05620
   606330        1.44028       17.16825   -18851.25977        3.61342        3.82713        3.45635        3.55677       -0.22271        0.17283        0.06781
   606340        1.44923       17.27483   -18910.03320        3.55335        3.75341        3.36416        3.54247       -0.20712        0.11375        0.02905
   606350        1.44150       17.18279   -18887.56250        3.57200        3.75630        3.39973        3.55997       -0.14725        0.04337       -0.02110
   606360        1.42094       16.93772   -18801.86133        3.64629        3.76099        3.52390        3.65399       -0.06132       -0.02197       -0.04143
   606370        1.42536       16.99029   -18840.81836        3.61083        3.60951        3.64896        3.57403       -0.01230       -0.06402       -0.00876
   606380        1.41797       16.90221   -18820.25391        3.61789        3.51613        3.80599        3.53156       -0.00893       -0.11683       -0.02323
   606390        1.42552       16.99221   -18873.78125        3.56360        3.48406        3.72474        3.48200       -0.04145       -0.10184       -0.03252
   606400        1.43102       17.05781   -18917.05664        3.51549        3.43224        3.68758        3.42666       -0.05772       -0.02677        0.04108
   606410        1.41808       16.90359   -18868.70117        3.54750        3.47271        3.72348        3.44630       -0.01708        0.00556        0.07767
   606420        1.40691       16.77046   -18828.57031        3.57623        3.54660        3.67458        3.50751        0.00669       -0.01095        0.00497
   606430        1.40116       16.70193   -18813.54297        3.58263        3.54735        3.63023        3.57032       -0.05698       -0.04453       -0.10794
   606440        1.41326       16.84614   -18885.47266        3.51502        3.47918        3.53893        3.52695       -0.11148       -0.01797       -0.10104
   606450        1.42043       16.93156   -18931.54297        3.47744        3.42276        3.49109        3.51848       -0.08416        0.03384       -0.02930
   606460        1.40131       16.70368   -18845.18555        3.56145        3.53053        3.62083        3.53299       -0.03641        0.07962       -0.03634
   606470        1.39892       16.67522   -18839.85547        3.57902        3.56722        3.67346        3.49637       -0.02872        0.05928       -0.02244
   606480        1.41071       16.81572   -18901.90625        3.52866        3.45264        3.65268        3.48065       -0.02817        0.07256       -0.00015
   606490        1.42540       16.99086   -18975.65430        3.46011        3.33840        3.55690        3.48501       -0.00198        0.04735       -0.00701
   606500        1.43140       17.06231   -19004.02148        3.43149        3.40525        3.45841        3.43082        0.04054        0.00118       -0.04425
   606510        1.43053       17.05203   -18996.60352        3.44335        3.48358        3.40402        3.44245        0.01693       -0.01767       -0.05902
   606520        1.42186       16.94862   -18948.05273        3.49826        3.48336        3.48156        3.52985        0.00708       -0.02549       -0.08427
   606530        1.41194       16.83038   -18890.01172        3.56266        3.53042        3.54989        3.60766       -0.00589       -0.01764       -0.07657
   606540        1.40606       16.76029   -18847.49805        3.60655        3.55576        3.59531        3.66857       -0.07879        0.00492       -0.08165
   606550        1.40336       16.72809   -18814.89648        3.62784        3.55868        3.55938        3.76546       -0.10913       -0.03927       -0.09193
   606560        1.41610       16.87994   -18853.29492        3.58632        3.55474        3.45016        3.75405       -0.08084       -0.09356       -0.05618
   606570        1.42712       17.01130   -18878.24219        3.55809        3.57781        3.42577        3.67069       -0.02906       -0.07635       -0.06128
   606580        1.44989       17.28280   -18959.61914        3.48952        3.48549        3.44378        3.53929        0.04363        0.00478       -0.06159
   606590        1.45913       17.39290   -18974.56445        3.48894        3.43281        3.56007        3.47393        0.03085        0.04878       -0.04738
   606600        1.44802       17.26050   -18891.49414        3.57780        3.50051        3.72215        3.51075       -0.06957        0.09997       -0.03964
   606610        1.43574       17.11409   -18805.57617        3.66359        3.57364        3.80117        3.61596       -0.12036        0.14317        0.00622
   606620        1.44018       17.16697   -18805.12109        3.66702        3.56587        3.81479        3.62039       -0.05383        0.06015        0.01860
   606630        1.46300       17.43903   -18898.62695        3.58570        3.48826        3.76871        3.50014        0.05353       -0.06700       -0.02884
   606640        1.46125       17.41812   -18872.86719        3.60442        3.54672        3.79223        3.47433        0.14542       -0.07053       -0.03943
   606650        1.47033       17.52644   -18904.91406        3.57616        3.59198        3.72200        3.41452        0.25620        0.00257       -0.06494
   606660        1.48389       17.68804   -18963.04883        3.52756        3.56128        3.60399        3.41741        0.26639        0.02119       -0.04318
   606670        1.46785       17.49683   -18877.72070        3.60506        3.59336        3.69502        3.52681        0.20355        0.04158       -0.02478
   606680        1.45925       17.39437   -18832.61719        3.65462        3.60425        3.75138        3.60824        0.13601        0.10189       -0.01486
   606690        1.45441       17.33666   -18807.95508        3.68753        3.65110        3.75550        3.65600        0.06300        0.08390       -0.05399
   606700        1.43983       17.16285   -18735.46875        3.75893        3.69153        3.82915        3.75612        0.03013        0.06940       -0.09232
   606710        1.44235       17.19281   -18748.44531        3.75046        3.63576        3.83130        3.78432       -0.02259        0.02133       -0.05889
   606720        1.44335       17.20476   -18753.45508        3.73254        3.61825        3.84753        3.73184       -0.06510       -0.03542       -0.00016
   606730        1.45522       17.34629   -18812.92188        3.66194        3.60816        3.76415        3.61349       -0.04011       -0.07631       -0.04358
   606740        1.46565       17.47057   -18866.36719        3.60175        3.62274        3.68835        3.49417       -0.03223       -0.03622       -0.05311
