#    Conf       T(K)      KE (Kcal/mol)  
     7110        9.97489     6422.23682
     7120        9.97632     6423.15381
     7130        9.97856     6424.59521
     7140        9.98140     6426.42285
     7150        9.98457     6428.46777
     7160        9.98781     6430.55176
     7170        9.99086     6432.51367
     7180        9.99353     6434.23584
     7190        9.99574     6435.65869
     7200        9.99748     6436.77588
     7210        9.99879     6437.61865
     7220        9.99975     6438.23975
     7230       10.00044     6438.68652
     7240       10.00090     6438.98193
     7250       10.00110     6439.10986
     7260       10.00097     6439.02783
     7270       10.00046     6438.69580
     7280        9.99955     6438.10938
     7290        9.99833     6437.32422
     7300        9.99698     6436.45703
     7310        9.99576     6435.66846
     7320        9.99492     6435.13135
     7330        9.99472     6435.00098
     7340        9.99532     6435.39063
     7350        9.99683     6436.36035
     7360        9.99924     6437.91357
     7370       10.00248     6439.99609
     7380       10.00636     6442.49658
     7390       10.01064     6445.25293
     7400       10.01502     6448.07080
     7410       10.01920     6450.76465
     7420       10.02297     6453.19336
     7430       10.02621     6455.27490
     7440       10.02884     6456.97168
     7450       10.03085     6458.26123
     7460       10.03219     6459.12939
     7470       10.03287     6459.56348
     7480       10.03284     6459.54736
     7490       10.03207     6459.04639
     7500       10.03044     6458.00098
     7510       10.02785     6456.33496
     7520       10.02420     6453.98340
     7530       10.01946     6450.92822
     7540       10.01373     6447.23926
     7550       10.00729     6443.09570
     7560       10.00057     6438.76953
     7570        9.99404     6434.56641
     7580        9.98811     6430.74854
     7590        9.98304     6427.48438
     7600        9.97895     6424.84668
     7610        9.97585     6422.85010
     7620        9.97374     6421.49561
     7630        9.97266     6420.80078
     7640        9.97267     6420.80225
     7650        9.97380     6421.53467
     7660        9.97607     6422.99561
     7670        9.97935     6425.10791
     7680        9.98339     6427.70801
     7690        9.98784     6430.57031
     7700        9.99231     6433.45068
     7710        9.99648     6436.13428
     7720       10.00010     6438.46777
     7730       10.00306     6440.36865
     7740       10.00530     6441.81592
     7750       10.00687     6442.82373
     7760       10.00780     6443.42383
     7770       10.00816     6443.65186
     7780       10.00799     6443.54688
     7790       10.00737     6443.14600
     7800       10.00634     6442.48438
     7810       10.00496     6441.59766
     7820       10.00331     6440.53027
     7830       10.00148     6439.35449
     7840        9.99965     6438.17676
     7850        9.99802     6437.12451
     7860        9.99676     6436.31250
     7870        9.99598     6435.81494
     7880        9.99575     6435.66602
     7890        9.99607     6435.87354
     7900        9.99696     6436.44336
     7910        9.99842     6437.38281
     7920       10.00045     6438.69189
     7930       10.00302     6440.34521
     7940       10.00604     6442.28711
     7950       10.00938     6444.44238
     7960       10.01293     6446.72607
     7970       10.01654     6449.04834
     7980       10.02005     6451.30762
     7990       10.02328     6453.39160
     8000       10.02608     6455.19189
     8010       10.02831     6456.62598
     8020       10.02991     6457.65967
     8030       10.03092     6458.30811
     8040       10.03141     6458.62109
     8050       10.03146     6458.65674
     8060       10.03117     6458.46777
     8070       10.03058     6458.09277
     8080       10.02974     6457.55127
     8090       10.02864     6456.83789
     8100       10.02721     6455.91846
     8110       10.02538     6454.74365
     8120       10.02310     6453.27637
     8130       10.02036     6451.50928
     8140       10.01721     6449.47900
     8150       10.01378     6447.27539
     8160       10.01032     6445.04688
     8170       10.00710     6442.97217
     8180       10.00435     6441.19922
     8190       10.00215     6439.78760
     8200       10.00046     6438.69775
     8210        9.99912     6437.83301
     8220        9.99798     6437.10205
     8230        9.99699     6436.46631
     8240        9.99618     6435.94043
     8250        9.99560     6435.56689
     8260        9.99530     6435.37744
     8270        9.99529     6435.36621
     8280        9.99547     6435.48438
     8290        9.99574     6435.65771
     8300        9.99597     6435.80518
     8310        9.99606     6435.86377
     8320        9.99596     6435.79980
     8330        9.99566     6435.60938
     8340        9.99519     6435.30713
     8350        9.99457     6434.90137
     8360        9.99376     6434.38477
     8370        9.99278     6433.75098
     8380        9.99166     6433.02979
     8390        9.99054     6432.30859
     8400        9.98963     6431.72363
     8410        9.98915     6431.41650
     8420        9.98927     6431.48975
     8430        9.99002     6431.97656
     8440        9.99138     6432.84814
     8450        9.99321     6434.03223
     8460        9.99540     6435.43994
     8470        9.99780     6436.98340
     8480       10.00029     6438.58838
     8490       10.00280     6440.20361
     8500       10.00529     6441.80957
     8510       10.00779     6443.41602
     8520       10.01033     6445.05420
     8530       10.01297     6446.75488
     8540       10.01572     6448.52393
     8550       10.01852     6450.32520
     8560       10.02123     6452.06934
     8570       10.02365     6453.63037
     8580       10.02560     6454.88232
     8590       10.02693     6455.73877
     8600       10.02762     6456.18115
     8610       10.02772     6456.25049
     8620       10.02737     6456.02344
     8630       10.02668     6455.57568
     8640       10.02573     6454.96387
     8650       10.02455     6454.20703
     8660       10.02309     6453.26660
     8670       10.02118     6452.03662
     8680       10.01858     6450.36475
     8690       10.01509     6448.11572
     8700       10.01063     6445.24414
     8710       10.00537     6441.85889
     8720        9.99973     6438.22607
     8730        9.99423     6434.68457
     8740        9.98931     6431.51758
     8750        9.98520     6428.87500
     8760        9.98196     6426.78516
     8770        9.97952     6425.21338
     8780        9.97779     6424.10010
     8790        9.97666     6423.37598
     8800        9.97603     6422.96729
     8810        9.97578     6422.80518
     8820        9.97583     6422.84180
     8830        9.97618     6423.06641
     8840        9.97687     6423.51025
     8850        9.97801     6424.24512
     8860        9.97974     6425.35889
     8870        9.98218     6426.92676
     8880        9.98535     6428.97070
     8890        9.98917     6431.42920
     8900        9.99339     6434.14795
     8910        9.99767     6436.89893
     8920       10.00160     6439.42871
     8930       10.00485     6441.52588
     8940       10.00725     6443.06738
     8950       10.00875     6444.03662
     8960       10.00948     6444.50293
     8970       10.00962     6444.59619
     8980       10.00945     6444.48682
     8990       10.00928     6444.37793
     9000       10.00944     6444.47607
     9010       10.01016     6444.94434
     9020       10.01157     6445.85059
     9030       10.01359     6447.15234
     9040       10.01603     6448.72266
     9050       10.01864     6450.40088
     9060       10.02118     6452.03760
     9070       10.02346     6453.50293
     9080       10.02528     6454.67578
     9090       10.02645     6455.42871
     9100       10.02675     6455.62207
     9110       10.02597     6455.12109
     9120       10.02397     6453.83154
     9130       10.02073     6451.74707
     9140       10.01644     6448.98438
     9150       10.01148     6445.79492
     9160       10.00640     6442.52148
     9170       10.00172     6439.51074
     9180        9.99784     6437.01221
     9190        9.99492     6435.12939
     9200        9.99290     6433.83008
     9210        9.99161     6432.99658
     9220        9.99080     6432.47900
     9230        9.99026     6432.12744
     9240        9.98978     6431.82178
     9250        9.98926     6431.48438
     9260        9.98865     6431.09375
     9270        9.98801     6430.67969
     9280        9.98743     6430.30762
     9290        9.98704     6430.05859
     9300        9.98695     6430.00146
     9310        9.98723     6430.17627
     9320        9.98786     6430.58545
     9330        9.98883     6431.20996
     9340        9.99010     6432.02832
     9350        9.99166     6433.03418
     9360        9.99354     6434.24414
     9370        9.99579     6435.68896
     9380        9.99844     6437.39648
     9390       10.00150     6439.36816
     9400       10.00490     6441.55908
     9410       10.00849     6443.86572
     9420       10.01202     6446.13770
     9430       10.01523     6448.20898
     9440       10.01790     6449.92773
     9450       10.01986     6451.18799
     9460       10.02102     6451.93799
     9470       10.02140     6452.18066
     9480       10.02106     6451.95752
     9490       10.02007     6451.32373
     9500       10.01853     6450.33057
     9510       10.01649     6449.01758
     9520       10.01401     6447.41895
     9530       10.01114     6445.57520
     9540       10.00798     6443.53711
     9550       10.00460     6441.36523
     9560       10.00112     6439.12451
     9570        9.99764     6436.88232
     9580        9.99427     6434.70898
     9590        9.99111     6432.67529
     9600        9.98827     6430.84863
     9610        9.98584     6429.28467
     9620        9.98387     6428.01563
     9630        9.98236     6427.04443
     9640        9.98128     6426.34570
     9650        9.98055     6425.87695
     9660        9.98011     6425.59619
     9670        9.97992     6425.47119
     9680        9.97994     6425.48633
     9690        9.98019     6425.64355
     9700        9.98066     6425.94824
     9710        9.98136     6426.39746
     9720        9.98225     6426.96973
     9730        9.98325     6427.61816
     9740        9.98427     6428.27197
     9750        9.98515     6428.84277
     9760        9.98577     6429.23926
     9770        9.98600     6429.38965
     9780        9.98582     6429.27002
     9790        9.98529     6428.93018
     9800        9.98462     6428.50049
     9810        9.98410     6428.16455
     9820        9.98402     6428.11133
     9830        9.98459     6428.47900
     9840        9.98589     6429.31689
     9850        9.98783     6430.56543
     9860        9.99017     6432.07275
     9870        9.99259     6433.63232
     9880        9.99478     6435.03906
     9890        9.99649     6436.14111
     9900        9.99762     6436.86670
     9910        9.99817     6437.22021
     9920        9.99823     6437.26221
     9930        9.99796     6437.08740
     9940        9.99752     6436.80713
     9950        9.99709     6436.52588
     9960        9.99676     6436.31299
     9970        9.99656     6436.18799
     9980        9.99647     6436.12695
     9990        9.99640     6436.08447
