#       Q              S_11(Q)         S_22(Q)         S_33(Q)         S_44(Q)         S_55(Q)         S_66(Q)         S_77(Q)
       5.3615656       0.8391486       0.9768767       0.8985564       0.9628538       0.8280143       0.9002345       1.0892416
       5.4440513       1.0137162       0.7639006       0.7478292       0.9451700       0.9288219       1.1259240       0.8247198
       5.5265369       0.8776270       0.9246185       0.9764851       0.8681611       0.9390978       0.9811620       0.9877208
       5.6090226       1.0090085       0.8340088       1.0865350       1.0815357       0.8544694       0.8987502       1.0624528
       5.6915078       0.9110402       0.9293144       1.1061863       0.8427995       1.0254124       0.9646465       1.0387022
       5.7739935       0.8699173       0.9192683       0.8889131       1.0980159       1.2033914       0.9445825       1.0597521
       5.8564792       0.9333459       0.9417165       0.8691772       1.0201048       0.9817760       0.9891787       0.9814015
       5.9389648       0.9935706       0.9866495       0.9488565       0.9276878       1.0602199       0.9881368       0.9241392
       6.0214505       0.9457458       0.9776590       0.8439919       0.9149246       0.8198543       1.1237066       1.1409661
       6.1039362       0.9417705       1.0706955       0.8771303       0.9059895       1.1349272       1.0882664       1.0501869
       6.1864219       0.9062461       0.7883574       1.0875207       1.0850661       0.9877275       1.2687448       0.8441204
       6.2689075       1.1366937       0.8233520       0.9502980       1.0254551       0.9486984       1.1818911       0.9951197
       6.3513932       0.9227871       0.7130880       0.9539758       0.9867704       0.9993521       1.0678465       0.9020122
       6.4338784       0.9946873       1.0698394       1.0408578       0.9905202       0.9387481       1.3349711       0.9887279
       6.5163641       0.9402132       1.0127501       0.9810588       1.2122142       0.9712045       1.0652876       0.8989480
       6.5988498       1.0053709       0.9950391       1.1166158       1.1896561       0.9815389       1.0507642       0.8225336
       6.6813354       1.0065747       1.1068542       1.1870579       1.2112157       0.9292946       0.8802990       0.9267870
       6.7638211       1.0503131       1.0903754       1.1443393       1.2650208       0.9705271       0.8562537       0.9099523
       6.8463068       1.1241904       0.9632418       1.0892682       1.0537393       0.9257921       1.1378119       1.0124182
       6.9287925       1.1251699       0.9085944       1.0452703       1.0041187       0.9903539       0.8195780       0.9613854
       7.0112782       0.9827529       0.9588679       1.0932878       1.0127473       0.9710315       0.8831870       1.1244535
       7.0937638       1.0166485       1.2053922       1.0077387       1.0395360       1.0311618       0.9606067       1.1153163
       7.1762490       1.1128800       1.1773933       1.2971407       1.1673641       0.9122163       0.9834299       1.0513105
       7.2587347       1.0726554       0.9027158       0.9306222       1.1093299       0.9657212       0.8802559       1.1198585
       7.3412204       0.9450034       1.0575422       1.0917386       1.0599164       1.0700594       0.9328074       1.0667433
       7.4237061       0.8613769       1.0330580       1.1029286       1.0770144       1.2085811       0.8565280       0.9772636
       7.5061917       0.9101477       1.1489753       1.1648844       0.9779209       0.9720190       0.9227061       0.9780241
       7.5886774       0.8142403       1.0661113       1.0347335       1.1829128       0.9249994       0.9012297       1.0270356
       7.6711631       0.9289127       1.0088801       1.1621357       1.0008062       1.0296075       1.1099616       1.0255136
       7.7536488       1.0908964       0.8227197       1.0059638       0.9957710       0.9397227       0.9444696       1.0232900
       7.8361344       0.9645290       1.0381743       0.8402494       0.8151788       0.8281867       1.0677798       0.8595209
       7.9186201       1.0929261       1.1140774       0.8535901       0.9373778       0.9635212       1.0121218       1.0632594
       8.0011053       0.9900076       1.0844376       1.1510984       1.0653845       1.1859121       0.9692003       0.9973716
       8.0835915       0.9913301       0.9251505       1.0579046       0.9477664       0.9794405       1.1657109       0.9878706
       8.1660767       0.9971449       0.8365558       0.9821200       0.8793765       0.9065207       0.9168555       1.0327785
       8.2485628       1.0449854       0.7927652       0.8926125       0.8847413       0.9465934       1.1787124       0.8808371
       8.3310480       1.1679696       0.8623018       0.9987013       0.8857821       1.0218049       1.1795723       1.0946593
       8.4135332       1.1249775       1.2494205       1.1270019       0.8582813       1.1373609       1.0028827       1.1091751
       8.4960194       1.2407815       1.0694114       0.9035748       0.9203755       0.8429208       1.0181326       0.8884115
       8.5785046       1.0418758       1.3773786       0.8262398       1.1588558       0.9887803       0.8955823       0.9645505
       8.6609907       0.8906458       1.1476998       0.9510229       1.1201125       1.0312065       1.1220965       1.0728208
       8.7434759       1.0768180       1.0449530       0.9724826       1.0648708       0.9135081       1.0544592       0.8798552
       8.8259621       1.0201502       1.0019193       0.8652043       1.0078499       1.1285398       1.1403650       1.0770209
       8.9084473       0.8824225       1.0366038       0.9587177       0.9740310       0.9451238       0.9210400       1.2270049
       8.9909334       1.1461104       0.8943971       1.1124660       0.8908463       1.1944100       0.8825764       0.9383783
       9.0734186       1.1113453       0.7428249       1.0852091       1.0583203       1.0230690       0.8547223       1.1840652
       9.1559038       1.0578492       0.9599828       0.8838577       0.9682956       0.7603161       1.1165725       0.8114610
       9.2383900       0.8063067       1.0825264       0.9291679       1.0105897       1.0663925       1.0644583       0.8991905
       9.3208752       1.0032793       0.8945788       0.8955345       0.9532918       1.1207818       0.9822810       1.0508225
       9.4033613       0.8909914       1.1046996       1.0132703       1.0841525       1.0504986       1.0640899       1.0944722
       9.4858465       1.0977738       0.9670102       0.9603057       1.0354402       1.1591151       0.9535209       0.9528286
       9.5683327       1.1933217       1.0896559       1.0388683       0.7106195       0.9494339       0.7588526       0.8629214
       9.6508179       1.1598231       1.0740577       1.0225276       0.9057799       1.0994229       0.9771440       1.0155243
       9.7333040       1.1961343       1.1274418       1.0167141       1.0668349       1.0230733       0.9117972       1.0783919
       9.8157892       1.0514231       1.0380461       0.9024394       1.1918657       0.9667857       1.1787454       1.1516057
       9.8982744       1.0853995       0.8752626       0.7971843       1.0238485       0.8524516       1.0898973       1.0903237
       9.9807606       1.0400528       0.9842893       0.8992844       0.9936780       1.0246964       0.8994973       0.9772239
      10.0632458       1.1380459       0.9531624       0.9871933       1.0216078       0.9304596       0.9910724       0.9615794
      10.1457319       0.8269044       0.8259795       0.8817434       1.1515106       1.0598078       0.9377049       1.0660990
      10.2282171       0.6874151       0.7706891       1.0082883       0.9525216       1.0726080       1.1103531       1.1722261
      10.3107033       0.7730068       0.9465328       1.1966860       1.1285440       1.0187171       0.9352315       1.0920593
      10.3931885       0.8725600       0.9665009       1.0286057       1.1316886       0.9715257       0.8422466       1.1475542
      10.4756746       1.0892475       1.0680950       0.9597264       0.8241472       0.9776860       0.8903604       1.0595264
      10.5581598       0.8488091       0.9024137       1.1252562       0.8837782       0.9802681       1.0439366       1.2275783
      10.6406450       0.8527229       1.0147904       0.8499699       0.8813520       1.0086241       0.9698441       0.9397789
      10.7231312       0.8993814       0.9587092       0.9706361       0.8966364       0.9231260       1.0034422       1.0067742
      10.8056164       0.8543473       1.1848251       0.9381877       0.9652027       0.9847112       0.8154348       1.0398206
      10.8881025       0.8679965       1.0021169       1.1708562       1.0465606       0.8769011       0.9379632       0.9725129
      10.9705877       1.2282341       1.2142520       0.8603699       1.2363272       0.7833657       1.1703749       1.0270927
      11.0530739       1.0941999       1.0930654       0.8539990       1.2328811       0.9186599       0.9525762       1.0725148
      11.1355591       0.9779093       0.9556479       0.9993330       1.1778564       0.8917730       1.0019848       1.1616858
      11.2180452       1.0943458       0.9633533       1.0272232       0.9694346       1.1078143       0.9941409       1.1248990
      11.3005304       1.0633587       1.1311036       0.9833138       0.9926344       1.0126851       0.9826123       0.9689416
      11.3830156       0.9470357       0.9321547       1.0498112       0.8629769       0.9306159       1.2226690       0.9197919
      11.4655018       1.0174454       1.0091431       0.8578673       0.8592361       1.0020111       0.9897895       0.8359382
      11.5479870       0.9269338       1.0657017       0.9181042       0.9964018       0.8836434       1.1376711       1.0023446
      11.6304731       0.8047558       0.9615794       1.1469842       1.0672252       1.0515221       1.0921285       1.1827914
      11.7129583       0.7276618       0.8923962       0.9633430       0.9630235       1.0664299       1.0722054       1.1696292
      11.7954445       0.9740715       1.0873773       1.1381916       0.8955235       1.0001745       1.0871298       1.1321943
      11.8779297       1.1324916       0.8677438       0.8807417       0.9239489       0.8774384       1.1046031       1.0840952
      11.9604158       1.0401020       1.1150892       0.9036797       0.7921140       0.9460933       0.9053628       0.9723182
      12.0429010       1.0739036       0.9998228       1.2435617       0.9641636       0.9562833       1.0449362       1.2979810
      12.1253862       1.0902863       1.0545565       0.8857055       0.9221837       1.0248603       1.0504203       1.1403861
      12.2078724       0.9904781       0.9742427       0.8846268       1.1826086       1.0649152       0.9449327       0.9969433
      12.2903576       1.0576868       0.9280145       0.9481309       1.0548424       1.1174424       0.7799098       0.9277915
      12.3728437       1.1436249       1.0321090       1.0348432       1.1778270       1.0879520       0.9071817       0.8373743
      12.4553289       1.0949414       0.9561533       0.9681477       1.0506097       0.9451161       1.0529026       1.0022891
      12.5378151       1.1913520       0.8442363       0.8939204       1.0464305       1.1112847       1.2113680       1.0122432
      12.6203003       1.0097911       0.9177797       1.0189289       1.0734646       1.0350839       1.1337039       1.0771577
      12.7027864       1.1231679       0.9951876       1.0105442       1.1239849       1.0825061       0.9963297       0.8415855
      12.7852716       1.1470283       0.8836142       0.9937618       1.0623752       1.1824667       0.9082449       1.0766459
      12.8677568       1.1896802       0.9195265       0.9140952       0.9342178       0.9367082       0.9165473       1.0585372
      12.9502430       1.2910745       1.1312008       0.9548419       0.8269025       0.9757679       0.9162961       0.9667426
      13.0327282       1.0278629       1.0383179       1.0042027       0.9012148       0.8956550       0.7752452       0.8827889
      13.1152143       0.9619061       1.1222017       0.8519760       0.9571137       0.9470462       0.9327235       1.2508751
      13.1976995       0.9146450       0.9779419       0.8277714       0.7181252       1.0771728       1.0406744       0.9803239
      13.2801857       0.9782282       0.7712748       1.0028346       0.7383137       1.2180644       1.0110359       0.8779581
      13.3626709       0.9723278       1.0194404       0.7909487       0.9880137       1.0711462       0.7186142       0.9881507
      13.4451571       0.8124003       0.8049071       1.0482616       0.9882762       1.1395483       0.8134854       0.9754675
      13.5276423       1.2729821       0.8603691       0.9467261       1.1120871       0.7728978       0.9385691       0.9518501
      13.6101274       0.9509881       1.0250088       1.2310543       0.8860416       0.9346295       1.0897582       1.1261148
      13.6926136       1.0095336       0.9339005       1.2595054       0.9023948       0.8463998       1.0647861       0.9086118
      13.7750988       0.9515028       0.9548371       1.2292968       0.8526989       1.0113938       1.1580247       0.9780571
      13.8575850       1.0313909       0.8825581       0.9353722       0.8248710       0.9512065       1.0395211       0.8689023
      13.9400702       1.1105378       0.9006961       0.8461266       0.9292315       0.9416599       1.2467458       1.0545064
      14.0225563       1.0351160       0.8103065       1.1949525       0.8974828       0.8813220       0.8424839       1.0587837
      14.1050415       0.9869195       0.8748289       1.1758494       0.9987392       0.9082374       0.9475537       1.0425742
      14.1875277       1.2751456       0.8774399       1.0994253       1.0306138       1.0031273       0.9508565       1.0454804
      14.2700129       1.2907870       0.8506240       0.8623646       1.0129780       0.9481058       1.0218027       1.0182601
      14.3524981       0.9973390       0.9205284       1.0124186       0.8314730       0.8916852       0.9937546       0.9309561
      14.4349842       1.0150529       1.1462836       1.0237904       0.9959028       0.7833396       0.8559272       1.0202599
      14.5174694       0.8761024       1.0093392       0.8911920       1.1479505       1.0504222       0.9571595       1.1294316
      14.5999556       1.1273482       1.2049775       0.9242260       1.1323287       0.8632644       1.0894798       1.0306894
