#       r                 g_41(r)         g_42(r)         g_43(r)         g_44(r)         g_45(r)         g_46(r)         g_47(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.73261         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         3.00000         0.68882         0.01925         0.00000         0.00000         0.00000         0.00000         0.00000
         3.50000         0.27460         1.36167         1.12175         0.00000         0.00000         3.84296         0.00000
         4.00000         0.70605         0.54153         0.70903         0.00000         1.26844        14.63045         0.00000
         4.50000         0.51367         0.39714         0.41471         0.01714        17.29526         7.31310         2.85755
         5.00000         0.46215         0.49321         0.49529         0.24990         9.29151         3.09254        10.60350
         5.50000         0.46247         0.51525         0.50263         1.80167         3.12423         2.26930         6.44929
         6.00000         0.45820         0.46555         0.46049         3.66463         1.53577         2.02760         3.16074
         6.50000         0.48794         0.44068         0.45486         4.69240         1.57167         2.18390         1.97434
         7.00000         0.52111         0.51872         0.53094         5.27575         1.39069         3.01345         1.57670
         7.50000         0.60869         0.61579         0.60899         4.97876         1.57419         2.43073         1.69611
         8.00000         0.67906         0.69222         0.68720         4.07491         1.99134         2.50816         2.35488
         8.50000         0.71432         0.68878         0.67857         3.25646         2.45256         2.86352         2.53187
         9.00000         0.72432         0.70669         0.70315         3.25421         2.88655         3.19525         2.42672
         9.50000         0.71710         0.72124         0.71277         2.48783         3.45083         3.27478         2.79280
        10.00000         0.71575         0.70095         0.70980         2.04909         3.69705         3.26292         2.88088
        10.50000         0.72498         0.72360         0.71966         1.89643         3.52036         3.15887         2.96277
        11.00000         0.75139         0.75111         0.74939         1.94612         3.16962         2.87756         2.73476
        11.50000         0.76555         0.77146         0.76910         2.10756         2.88822         2.63807         2.74968
        12.00000         0.79433         0.80102         0.81073         2.33842         2.54826         2.54525         2.64112
        12.50000         0.81823         0.81309         0.81136         2.81865         2.42964         2.42186         2.41464
        13.00000         0.84164         0.83648         0.83925         3.07256         2.19241         2.35580         2.34090
        13.50000         0.87311         0.86967         0.86920         3.00644         2.14548         2.27698         2.27365
        14.00000         0.89134         0.88904         0.88722         2.86466         2.11416         2.24353         2.20808
        14.50000         0.92087         0.91655         0.91263         2.53423         2.10016         2.27032         2.15509
        15.00000         0.94553         0.93609         0.93177         2.32412         2.11262         2.26005         2.12613
        15.50000         0.96066         0.96024         0.95941         2.07106         2.24672         2.30817         2.10612
        16.00000         0.97887         0.97424         0.97664         1.97825         2.34087         2.22180         2.15396
        16.50000         0.99227         0.99395         0.99631         1.95141         2.39796         2.21360         2.16607
        17.00000         1.01417         1.01558         1.00903         1.92425         2.32899         2.19859         2.15502
        17.50000         1.01869         1.02445         1.02280         1.88619         2.20661         2.12325         2.13289
        18.00000         1.03746         1.02319         1.02437         1.91205         2.04714         2.04258         2.04178
        18.50000         1.04935         1.05318         1.05767         2.01106         1.93341         1.95727         1.92047
