#       r                 g_51(r)         g_52(r)         g_53(r)         g_54(r)         g_55(r)         g_56(r)         g_57(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.00000         0.00000         0.00000         0.00000         0.00000        31.15998         0.00000
         3.00000         0.00770         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         3.50000         0.27991         0.26964         0.37651         0.00000         0.00000         0.24770         0.00000
         4.00000         0.70903         0.93832         0.92152         1.26844         0.02168         1.92435        12.19656
         4.50000         0.73388         0.65634         0.61649        17.29526         0.95109         2.90896         0.39843
         5.00000         0.60324         0.53798         0.53174         9.29151         2.40878         3.10296         2.56497
         5.50000         0.53089         0.49546         0.49001         3.12423         2.82874         3.22751         3.00374
         6.00000         0.53667         0.49810         0.49424         1.53577         3.47175         3.40907         2.61105
         6.50000         0.58634         0.57669         0.57340         1.57167         3.84596         3.54395         2.53316
         7.00000         0.63980         0.61438         0.61084         1.39069         4.01439         3.47228         2.65559
         7.50000         0.64681         0.66563         0.66209         1.57419         3.66076         3.57588         2.80267
         8.00000         0.66231         0.70389         0.70701         1.99134         3.67610         3.69645         2.98429
         8.50000         0.67382         0.66391         0.66631         2.45256         3.99908         3.42589         3.32255
         9.00000         0.66922         0.67410         0.67871         2.88655         3.69367         2.75578         3.45143
         9.50000         0.69762         0.68228         0.68103         3.45083         2.77452         2.39740         3.19397
        10.00000         0.71705         0.71076         0.71058         3.69705         2.04215         2.44415         2.59609
        10.50000         0.75530         0.74235         0.73998         3.52036         2.02558         2.45007         2.29414
        11.00000         0.78552         0.79251         0.79050         3.16962         2.04945         2.53455         2.10830
        11.50000         0.82074         0.81289         0.81322         2.88822         2.21655         2.54943         2.20277
        12.00000         0.83859         0.82725         0.82671         2.54826         2.51811         2.57479         2.33179
        12.50000         0.86302         0.86671         0.86149         2.42964         2.61525         2.71473         2.41630
        13.00000         0.88680         0.87964         0.87363         2.19241         2.67179         2.59524         2.48425
        13.50000         0.89376         0.89221         0.89226         2.14548         2.77583         2.59526         2.47233
        14.00000         0.90736         0.90065         0.90321         2.11416         2.66264         2.47302         2.51511
        14.50000         0.92207         0.92415         0.92539         2.10016         2.52762         2.36201         2.36820
        15.00000         0.94173         0.93864         0.93667         2.11262         2.31563         2.22763         2.29479
        15.50000         0.96825         0.96538         0.96407         2.24672         2.18745         2.16612         2.19070
        16.00000         0.98948         0.99289         0.99476         2.34087         2.01828         2.17839         2.07832
        16.50000         1.00250         1.00211         1.00562         2.39796         1.99479         2.04263         1.99989
        17.00000         1.02831         1.02348         1.02066         2.32899         1.93988         2.01530         1.96271
        17.50000         1.04013         1.04719         1.04563         2.20661         1.92022         1.98799         1.94631
        18.00000         1.05848         1.05629         1.05179         2.04714         1.95065         1.99112         1.95252
        18.50000         1.07368         1.06442         1.06850         1.93341         1.94610         1.99862         1.93621
