#       r                 g_61(r)         g_62(r)         g_63(r)         g_64(r)         g_65(r)         g_66(r)         g_67(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.03878         0.00138         0.00000         0.00000        31.15998         0.00000         0.00000
         3.00000         0.36294         0.40241         0.47846         0.00000         0.00000         0.96271         0.00000
         3.50000         0.63908         0.77850         0.75656         3.84296         0.24770         3.24139         0.02123
         4.00000         0.63070         0.58760         0.57622        14.63045         1.92435         3.82701         1.55574
         4.50000         0.52139         0.50296         0.49054         7.31310         2.90896         2.99036         3.20885
         5.00000         0.48245         0.41130         0.41338         3.09254         3.10296         2.97106         2.69339
         5.50000         0.49818         0.47566         0.47394         2.26930         3.22751         3.13858         8.43457
         6.00000         0.56368         0.56464         0.56271         2.02760         3.40907         3.29334         1.96733
         6.50000         0.61141         0.60216         0.59538         2.18390         3.54395         3.16799         2.15103
         7.00000         0.60287         0.61527         0.61243         3.01345         3.47228         3.43331         2.56701
         7.50000         0.60583         0.60899         0.60822         2.43073         3.57588         3.31506         2.80576
         8.00000         0.61131         0.59971         0.60500         2.50816         3.69645         3.39124         3.19319
         8.50000         0.64294         0.63711         0.64540         2.86352         3.42589         2.81426         3.44031
         9.00000         0.68407         0.69275         0.68664         3.19525         2.75578         2.67325         3.31745
         9.50000         0.71258         0.72538         0.71335         3.27478         2.39740         2.79184         2.82166
        10.00000         0.73316         0.71961         0.73133         3.26292         2.44415         2.71244         2.54400
        10.50000         0.75613         0.73998         0.73896         3.15887         2.45007         2.60680         2.43511
        11.00000         0.78724         0.78505         0.77766         2.87756         2.53455         2.70247         2.42404
        11.50000         0.81873         0.80836         0.81145         2.63807         2.54943         2.58554         2.35968
        12.00000         0.84640         0.83889         0.83551         2.54525         2.57479         2.56394         2.37460
        12.50000         0.86568         0.87449         0.86694         2.42186         2.71473         2.62970         2.39241
        13.00000         0.88768         0.87923         0.88621         2.35580         2.59524         2.58959         2.48837
        13.50000         0.89393         0.89393         0.89359         2.27698         2.59526         2.52045         2.41897
        14.00000         0.91615         0.91496         0.90853         2.24353         2.47302         2.33302         2.42916
        14.50000         0.92043         0.91589         0.91969         2.27032         2.36201         2.35498         2.31988
        15.00000         0.94651         0.94914         0.94721         2.26005         2.22763         2.22840         2.26893
        15.50000         0.96698         0.96939         0.97098         2.30817         2.16612         2.21203         2.17444
        16.00000         0.99023         0.98777         0.98675         2.22180         2.17839         2.19806         2.09766
        16.50000         1.00663         1.00052         0.99765         2.21360         2.04263         2.08856         2.06145
        17.00000         1.02264         1.02739         1.02610         2.19859         2.01530         2.04565         2.05436
        17.50000         1.03844         1.03644         1.04112         2.12325         1.98799         1.99735         1.98487
        18.00000         1.05895         1.04595         1.04407         2.04258         1.99112         2.02891         2.00077
        18.50000         1.07393         1.07984         1.07726         1.95727         1.99862         1.95625         1.89536
