#           Q       S_NN(Q)          S_qq(Q)          n(Q)
     12.4553289      0.8996690      1.0509108           3
     12.5378151      0.7328092      0.9538215           3
     12.6203003      0.6518229      1.0172422           3
     12.7027864      1.0847262      0.9671669           3
     12.7852716      1.0433366      0.8608864           3
     12.8677568      1.0762663      1.0759057           3
     12.9502430      0.9754075      1.2436970           3
     13.0327282      1.0037369      1.0783917           3
     13.1152143      0.9962971      1.0548643           3
     13.1976995      1.0317652      1.0310748           3
     13.2801857      0.9684111      0.8162962           3
     13.3626709      0.7990080      1.0600495           3
     13.4451571      0.8338370      0.8702822           3
     13.5276423      1.0337042      0.9531074           3
     13.6101274      0.9045601      1.0173663           3
     13.6926136      0.9839268      1.0961868           3
     13.7750988      0.9518455      1.0248599           3
     13.8575850      0.8724346      1.0872715           3
     13.9400702      1.0362074      0.9160913           3
     14.0225563      0.9231341      0.7927050           3
     14.1050415      0.9502639      0.9051636           3
     14.1875277      0.9413286      1.1672298           3
     14.2700129      1.0059777      1.0255139           3
     14.3524981      0.9045979      1.0161136           3
     14.4349842      1.0973777      1.0698886           3
     14.5174694      0.9247621      0.9579846           3
     14.5999556      1.2022206      1.0892622           3
     14.6824408      1.1696472      1.1365151           3
     14.7649269      1.0381359      1.1403356           3
     14.8474121      1.1127782      1.0822780           3
     14.9298983      1.1527356      0.9895486           3
     15.0123835      1.4533449      0.9858547           3
     15.0948687      1.1651883      0.7678921           3
     15.1773548      1.0494845      1.0409431           3
     15.2598400      1.2732077      1.1055598           3
     15.3423262      1.0271797      0.7320985           3
     15.4248114      0.9487501      0.9593537           3
     15.5072975      0.8562745      0.8161365           3
     15.5897827      0.8845974      0.9749660           3
     15.6722689      0.9944004      0.9300809           3
     15.7547541      1.1164851      0.7800874           3
     15.8372402      1.1242592      1.0460138           3
     15.9197254      1.0558292      1.0349927           3
     16.0022106      1.1012931      1.0320922           3
     16.0846958      1.0669467      0.8921807           3
     16.1671829      1.0236083      1.0230578           3
     16.2496681      1.1394234      0.9795740           3
     16.3321533      0.9891654      0.9063145           3
     16.4146385      1.0935445      0.9837950           3
     16.4971256      1.1762956      0.9773235           3
     16.5796108      1.0696912      0.8172818           3
     16.6620960      1.0421278      0.9431106           3
     16.7445812      1.1464466      0.8796332           3
     16.8270664      1.2027296      1.0150797           3
     16.9095535      1.1542132      1.1713053           3
     16.9920387      1.1055052      1.0496012           3
     17.0745239      1.1411892      1.3369195           3
     17.1570091      0.9912640      1.4298820           3
     17.2394962      1.0152332      1.0112635           3
     17.3219814      1.0260818      1.1521974           3
