#       r                 g_21(r)         g_22(r)         g_23(r)         g_24(r)         g_25(r)         g_26(r)         g_27(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000        19.14113         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.15431         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         3.51926         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         1.07924         2.82988         3.15588         0.00000         0.00000         0.00138         0.00000
         3.00000         4.03325         6.17479         5.87394         0.01925         0.00000         0.40241         0.00000
         3.50000         4.34898         2.57613         2.61703         1.36167         0.26964         0.77850         0.00849
         4.00000         3.22114         3.25079         3.27459         0.54153         0.93832         0.58760         0.65590
         4.50000         3.22901         3.69083         3.70475         0.39714         0.65634         0.50296         1.10489
         5.00000         3.18532         3.33946         3.30704         0.49321         0.53798         0.41130         0.82884
         5.50000         3.15252         2.85094         2.84165         0.51525         0.49546         0.47566         0.58095
         6.00000         3.00188         2.87577         2.88269         0.46555         0.49810         0.56464         0.50389
         6.50000         2.97789         3.14395         3.15504         0.44068         0.57669         0.60216         0.55306
         7.00000         3.05715         3.13976         3.14605         0.51872         0.61438         0.61527         0.70562
         7.50000         3.01677         2.99911         2.98412         0.61579         0.66563         0.60899         0.74079
         8.00000         2.91845         2.84267         2.85161         0.69222         0.70389         0.59971         0.72423
         8.50000         2.82770         2.86280         2.86211         0.68878         0.66391         0.63711         0.74803
         9.00000         2.80637         2.82140         2.82137         0.70669         0.67410         0.69275         0.72416
         9.50000         2.76975         2.77800         2.77498         0.72124         0.68228         0.72538         0.73153
        10.00000         2.72897         2.71338         2.71843         0.70095         0.71076         0.71961         0.75096
        10.50000         2.67758         2.69461         2.69604         0.72360         0.74235         0.73998         0.76534
        11.00000         2.62711         2.63517         2.63221         0.75111         0.79251         0.78505         0.78684
        11.50000         2.58444         2.57651         2.57686         0.77146         0.81289         0.80836         0.80573
        12.00000         2.53071         2.53342         2.53649         0.80102         0.82725         0.83889         0.82050
        12.50000         2.48798         2.49874         2.49414         0.81309         0.86671         0.87449         0.84732
        13.00000         2.44037         2.43775         2.44414         0.83648         0.87964         0.87923         0.87815
        13.50000         2.39477         2.39915         2.39856         0.86967         0.89221         0.89393         0.88101
        14.00000         2.34707         2.35072         2.34706         0.88904         0.90065         0.91496         0.89360
        14.50000         2.29706         2.29937         2.30528         0.91655         0.92415         0.91589         0.91250
        15.00000         2.24649         2.24944         2.24603         0.93609         0.93864         0.94914         0.93208
        15.50000         2.20726         2.20238         2.20350         0.96024         0.96538         0.96939         0.96173
        16.00000         2.16385         2.17009         2.17164         0.97424         0.99289         0.98777         0.96674
        16.50000         2.11924         2.12719         2.12398         0.99395         1.00211         1.00052         0.99181
        17.00000         2.07518         2.07431         2.07714         1.01558         1.02348         1.02739         1.00786
        17.50000         2.03022         2.02670         2.02740         1.02445         1.04719         1.03644         1.01081
        18.00000         1.98934         1.99441         1.99391         1.02319         1.05629         1.04595         1.03064
        18.50000         1.94990         1.95036         1.95038         1.05318         1.06442         1.07984         1.03387
