#       r                 g_31(r)         g_32(r)         g_33(r)         g_34(r)         g_35(r)         g_36(r)         g_37(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000        19.14113         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.77768         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         3.42336         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.79479         3.15588         2.83487         0.00000         0.00000         0.00000         0.00000
         3.00000         4.02425         5.87394         6.11433         0.00000         0.00000         0.47846         0.00000
         3.50000         4.39530         2.61703         2.57698         1.12175         0.37651         0.75656         0.01840
         4.00000         3.28339         3.27459         3.31475         0.70903         0.92152         0.57622         0.72204
         4.50000         3.20603         3.70475         3.70933         0.41471         0.61649         0.49054         1.08690
         5.00000         3.16786         3.30704         3.28816         0.49529         0.53174         0.41338         0.80941
         5.50000         3.14344         2.84165         2.82701         0.50263         0.49001         0.47394         0.56575
         6.00000         3.00537         2.88269         2.88618         0.46049         0.49424         0.56271         0.49497
         6.50000         2.98633         3.15504         3.17082         0.45486         0.57340         0.59538         0.56436
         7.00000         3.05814         3.14605         3.14603         0.53094         0.61084         0.61243         0.70048
         7.50000         3.01725         2.98412         2.97762         0.60899         0.66209         0.60822         0.74049
         8.00000         2.91736         2.85161         2.85792         0.68720         0.70701         0.60500         0.71406
         8.50000         2.82758         2.86211         2.85468         0.67857         0.66631         0.64540         0.74502
         9.00000         2.80610         2.82137         2.83189         0.70315         0.67871         0.68664         0.74281
         9.50000         2.77127         2.77498         2.76317         0.71277         0.68103         0.71335         0.72990
        10.00000         2.73177         2.71843         2.72392         0.70980         0.71058         0.73133         0.74175
        10.50000         2.67542         2.69604         2.69853         0.71966         0.73998         0.73896         0.76755
        11.00000         2.62895         2.63221         2.63378         0.74939         0.79050         0.77766         0.78548
        11.50000         2.58341         2.57686         2.57276         0.76910         0.81322         0.81145         0.80659
        12.00000         2.53258         2.53649         2.53749         0.81073         0.82671         0.83551         0.82779
        12.50000         2.48791         2.49414         2.49552         0.81136         0.86149         0.86694         0.84248
        13.00000         2.44002         2.44414         2.44435         0.83925         0.87363         0.88621         0.87008
        13.50000         2.39478         2.39856         2.39862         0.86920         0.89226         0.89359         0.87939
        14.00000         2.34794         2.34706         2.35003         0.88722         0.90321         0.90853         0.89458
        14.50000         2.29750         2.30528         2.30347         0.91263         0.92539         0.91969         0.91585
        15.00000         2.24758         2.24603         2.24752         0.93177         0.93667         0.94721         0.93100
        15.50000         2.20664         2.20350         2.20406         0.95941         0.96407         0.97098         0.95695
        16.00000         2.16417         2.17164         2.17098         0.97664         0.99476         0.98675         0.97257
        16.50000         2.11978         2.12398         2.12560         0.99631         1.00562         0.99765         0.98805
        17.00000         2.07531         2.07714         2.07513         1.00903         1.02066         1.02610         1.00816
        17.50000         2.03090         2.02740         2.02851         1.02280         1.04563         1.04112         1.01016
        18.00000         1.99021         1.99391         1.99461         1.02437         1.05179         1.04407         1.02735
        18.50000         1.94918         1.95038         1.95131         1.05767         1.06850         1.07726         1.03859
